Ente,Candidato,Liste/Gruppi,Voti lista,,
AGAZZANO,PIER LUIGI BERSANI AGAZZANO,PARTITO DEMOCRATICO,279,,
AGAZZANO,,SINISTRA ECOLOGIA LIBERTA',27,,
AGAZZANO,,CENTRO DEMOCRATICO,1,,
AGAZZANO,SILVIO BERLUSCONI AGAZZANO,IL POPOLO DELLA LIBERTA',324,,
AGAZZANO,,FRATELLI D'ITALIA,64,,
AGAZZANO,,LEGA NORD,47,,
AGAZZANO,,LA DESTRA,4,,
AGAZZANO,,MIR - MODERATI IN RIVOLUZIONE,2,,
AGAZZANO,,INTESA POPOLARE,1,,
AGAZZANO,,GRANDE SUD - MPA,0,,
AGAZZANO,GIUSEPPE PIERO GRILLO AGAZZANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,240,,
AGAZZANO,MARIO MONTI AGAZZANO,SCELTA CIVICA CON MONTI PER L'ITALIA,79,,
AGAZZANO,,UNIONE DI CENTRO,7,,
AGAZZANO,,FUTURO E LIBERTA',2,,
AGAZZANO,ANTONIO INGROIA AGAZZANO,RIVOLUZIONE CIVILE,18,,
AGAZZANO,OSCAR FULVIO GIANNINO AGAZZANO,FARE PER FERMARE IL DECLINO,23,,
AGAZZANO,MARCO FERRANDO AGAZZANO,PARTITO COMUNISTA DEI LAVORATORI,3,,
AGAZZANO,ROBERTO FIORE AGAZZANO,FORZA NUOVA,2,,
AGAZZANO,GIACINTO MARCO PANNELLA AGAZZANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
AGAZZANO,SIMONE DI STEFANO AGAZZANO,CASAPOUND ITALIA,3,,
AGAZZANO,LUCA ROMAGNOLI AGAZZANO,FIAMMA TRICOLORE,0,,
AGAZZANO,MAGDI CRISTIANO ALLAM AGAZZANO,IO AMO L'ITALIA,4,,
AGAZZANO,FRANCO TORCHIA AGAZZANO,PRI,0,,
ALSENO,PIER LUIGI BERSANI ALSENO,PARTITO DEMOCRATICO,809,,
ALSENO,,SINISTRA ECOLOGIA LIBERTA',28,,
ALSENO,,CENTRO DEMOCRATICO,7,,
ALSENO,SILVIO BERLUSCONI ALSENO,IL POPOLO DELLA LIBERTA',774,,
ALSENO,,LEGA NORD,144,,
ALSENO,,FRATELLI D'ITALIA,75,,
ALSENO,,LA DESTRA,20,,
ALSENO,,INTESA POPOLARE,1,,
ALSENO,,GRANDE SUD - MPA,1,,
ALSENO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALSENO,GIUSEPPE PIERO GRILLO ALSENO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,759,,
ALSENO,MARIO MONTI ALSENO,SCELTA CIVICA CON MONTI PER L'ITALIA,174,,
ALSENO,,UNIONE DI CENTRO,17,,
ALSENO,,FUTURO E LIBERTA',9,,
