Ente,Candidato,Liste/Gruppi,Voti lista,,
CAPRIVA DEL FRIULI,PIER LUIGI BERSANI CAPRIVA DEL FRIULI,PARTITO DEMOCRATICO,305,,
CAPRIVA DEL FRIULI,,SINISTRA ECOLOGIA LIBERTA',30,,
CAPRIVA DEL FRIULI,,CENTRO DEMOCRATICO,3,,
CAPRIVA DEL FRIULI,SILVIO BERLUSCONI CAPRIVA DEL FRIULI,IL POPOLO DELLA LIBERTA',184,,
CAPRIVA DEL FRIULI,,LEGA NORD,66,,
CAPRIVA DEL FRIULI,,FRATELLI D'ITALIA,9,,
CAPRIVA DEL FRIULI,,MIR - MODERATI IN RIVOLUZIONE,5,,
CAPRIVA DEL FRIULI,,LA DESTRA,4,,
CAPRIVA DEL FRIULI,,GRANDE SUD - MPA,2,,
CAPRIVA DEL FRIULI,GIUSEPPE PIERO GRILLO CAPRIVA DEL FRIULI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,317,,
CAPRIVA DEL FRIULI,MARIO MONTI CAPRIVA DEL FRIULI,SCELTA CIVICA CON MONTI PER L'ITALIA,124,,
CAPRIVA DEL FRIULI,,UNIONE DI CENTRO,18,,
CAPRIVA DEL FRIULI,,FUTURO E LIBERTA',6,,
CAPRIVA DEL FRIULI,ANTONIO INGROIA CAPRIVA DEL FRIULI,RIVOLUZIONE CIVILE,16,,
CAPRIVA DEL FRIULI,OSCAR FULVIO GIANNINO CAPRIVA DEL FRIULI,FARE PER FERMARE IL DECLINO,14,,
CAPRIVA DEL FRIULI,ROBERTO FIORE CAPRIVA DEL FRIULI,FORZA NUOVA,11,,
CORMONS,PIER LUIGI BERSANI CORMONS,PARTITO DEMOCRATICO,1221,,
CORMONS,,SINISTRA ECOLOGIA LIBERTA',146,,
CORMONS,,CENTRO DEMOCRATICO,19,,
CORMONS,SILVIO BERLUSCONI CORMONS,IL POPOLO DELLA LIBERTA',713,,
CORMONS,,LEGA NORD,247,,
CORMONS,,FRATELLI D'ITALIA,55,,
CORMONS,,LA DESTRA,32,,
CORMONS,,MIR - MODERATI IN RIVOLUZIONE,13,,
CORMONS,,GRANDE SUD - MPA,4,,
CORMONS,GIUSEPPE PIERO GRILLO CORMONS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1320,,
CORMONS,MARIO MONTI CORMONS,SCELTA CIVICA CON MONTI PER L'ITALIA,570,,
CORMONS,,UNIONE DI CENTRO,95,,
CORMONS,,FUTURO E LIBERTA',28,,
CORMONS,ANTONIO INGROIA CORMONS,RIVOLUZIONE CIVILE,104,,
CORMONS,OSCAR FULVIO GIANNINO CORMONS,FARE PER FERMARE IL DECLINO,65,,
CORMONS,ROBERTO FIORE CORMONS,FORZA NUOVA,22,,
DOBERDO' DEL LAGO,PIER LUIGI BERSANI DOBERDO' DEL LAGO,PARTITO DEMOCRATICO,386,,
DOBERDO' DEL LAGO,,SINISTRA ECOLOGIA LIBERTA',57,,
DOBERDO' DEL LAGO,,CENTRO DEMOCRATICO,2,,
DOBERDO' DEL LAGO,SILVIO BERLUSCONI DOBERDO' DEL LAGO,IL POPOLO DELLA LIBERTA',68,,
DOBERDO' DEL LAGO,,LEGA NORD,28,,
DOBERDO' DEL LAGO,,FRATELLI D'ITALIA,8,,
DOBERDO' DEL LAGO,,MIR - MODERATI IN RIVOLUZIONE,1,,
DOBERDO' DEL LAGO,,LA DESTRA,1,,
DOBERDO' DEL LAGO,,GRANDE SUD - MPA,0,,
DOBERDO' DEL LAGO,GIUSEPPE PIERO GRILLO DOBERDO' DEL LAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,225,,
DOBERDO' DEL LAGO,MARIO MONTI DOBERDO' DEL LAGO,SCELTA CIVICA CON MONTI PER L'ITALIA,70,,
DOBERDO' DEL LAGO,,UNIONE DI CENTRO,17,,
DOBERDO' DEL LAGO,,FUTURO E LIBERTA',1,,
DOBERDO' DEL LAGO,ANTONIO INGROIA DOBERDO' DEL LAGO,RIVOLUZIONE CIVILE,55,,
DOBERDO' DEL LAGO,OSCAR FULVIO GIANNINO DOBERDO' DEL LAGO,FARE PER FERMARE IL DECLINO,24,,
