Ente,Candidato,Liste/Gruppi,Voti lista,,
ACCUMOLI,PIER LUIGI BERSANI ACCUMOLI,PARTITO DEMOCRATICO,63,,
ACCUMOLI,,SINISTRA ECOLOGIA LIBERTA',14,,
ACCUMOLI,,CENTRO DEMOCRATICO,0,,
ACCUMOLI,SILVIO BERLUSCONI ACCUMOLI,IL POPOLO DELLA LIBERTA',98,,
ACCUMOLI,,LA DESTRA,21,,
ACCUMOLI,,FRATELLI D'ITALIA,13,,
ACCUMOLI,,MIR - MODERATI IN RIVOLUZIONE,0,,
ACCUMOLI,,LEGA NORD,0,,
ACCUMOLI,,INTESA POPOLARE,0,,
ACCUMOLI,GIUSEPPE PIERO GRILLO ACCUMOLI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,49,,
ACCUMOLI,MARIO MONTI ACCUMOLI,SCELTA CIVICA CON MONTI PER L'ITALIA,15,,
ACCUMOLI,,UNIONE DI CENTRO,4,,
ACCUMOLI,,FUTURO E LIBERTA',2,,
ACCUMOLI,ANTONIO INGROIA ACCUMOLI,RIVOLUZIONE CIVILE,7,,
ACCUMOLI,OSCAR FULVIO GIANNINO ACCUMOLI,FARE PER FERMARE IL DECLINO,0,,
ACCUMOLI,MARCO FERRANDO ACCUMOLI,PARTITO COMUNISTA DEI LAVORATORI,2,,
ACCUMOLI,ROBERTO FIORE ACCUMOLI,FORZA NUOVA,1,,
ACCUMOLI,SIMONE DI STEFANO ACCUMOLI,CASAPOUND ITALIA,1,,
ACCUMOLI,LUCA ROMAGNOLI ACCUMOLI,FIAMMA TRICOLORE,1,,
ACCUMOLI,ANTONIO CORSI ACCUMOLI,TUTTI INSIEME PER L'ITALIA,0,,
ACCUMOLI,CARLA CORSETTI ACCUMOLI,DEMOCRAZIA ATEA,1,,
AMATRICE,PIER LUIGI BERSANI AMATRICE,PARTITO DEMOCRATICO,197,,
AMATRICE,,SINISTRA ECOLOGIA LIBERTA',32,,
AMATRICE,,CENTRO DEMOCRATICO,2,,
AMATRICE,SILVIO BERLUSCONI AMATRICE,IL POPOLO DELLA LIBERTA',382,,
AMATRICE,,FRATELLI D'ITALIA,177,,
AMATRICE,,LA DESTRA,80,,
AMATRICE,,LEGA NORD,4,,
AMATRICE,,MIR - MODERATI IN RIVOLUZIONE,2,,
AMATRICE,,INTESA POPOLARE,0,,
AMATRICE,GIUSEPPE PIERO GRILLO AMATRICE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,370,,
AMATRICE,MARIO MONTI AMATRICE,SCELTA CIVICA CON MONTI PER L'ITALIA,55,,
AMATRICE,,UNIONE DI CENTRO,11,,
AMATRICE,,FUTURO E LIBERTA',8,,
AMATRICE,ANTONIO INGROIA AMATRICE,RIVOLUZIONE CIVILE,31,,
