Ente,Candidato,Liste/Gruppi,Voti lista,,
ACQUAFREDDA,PIER LUIGI BERSANI ACQUAFREDDA,PARTITO DEMOCRATICO,164,,
ACQUAFREDDA,,SINISTRA ECOLOGIA LIBERTA',34,,
ACQUAFREDDA,,CENTRO DEMOCRATICO,0,,
ACQUAFREDDA,SILVIO BERLUSCONI ACQUAFREDDA,IL POPOLO DELLA LIBERTA',242,,
ACQUAFREDDA,,LEGA NORD,189,,
ACQUAFREDDA,,FRATELLI D'ITALIA,20,,
ACQUAFREDDA,,LA DESTRA,4,,
ACQUAFREDDA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ACQUAFREDDA,GIUSEPPE PIERO GRILLO ACQUAFREDDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,145,,
ACQUAFREDDA,MARIO MONTI ACQUAFREDDA,SCELTA CIVICA CON MONTI PER L'ITALIA,62,,
ACQUAFREDDA,,UNIONE DI CENTRO,12,,
ACQUAFREDDA,,FUTURO E LIBERTA',0,,
ACQUAFREDDA,ANTONIO INGROIA ACQUAFREDDA,RIVOLUZIONE CIVILE,1,,
ACQUAFREDDA,OSCAR FULVIO GIANNINO ACQUAFREDDA,FARE PER FERMARE IL DECLINO,22,,
ACQUAFREDDA,LUCA ROMAGNOLI ACQUAFREDDA,FIAMMA TRICOLORE,3,,
ACQUAFREDDA,MAGDI CRISTIANO ALLAM ACQUAFREDDA,IO AMO L'ITALIA,0,,
ADRO,PIER LUIGI BERSANI ADRO,PARTITO DEMOCRATICO,670,,
ADRO,,SINISTRA ECOLOGIA LIBERTA',41,,
ADRO,,CENTRO DEMOCRATICO,7,,
ADRO,SILVIO BERLUSCONI ADRO,LEGA NORD,1403,,
ADRO,,IL POPOLO DELLA LIBERTA',854,,
ADRO,,FRATELLI D'ITALIA,52,,
ADRO,,LA DESTRA,17,,
ADRO,,MIR - MODERATI IN RIVOLUZIONE,4,,
ADRO,GIUSEPPE PIERO GRILLO ADRO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,739,,
ADRO,MARIO MONTI ADRO,SCELTA CIVICA CON MONTI PER L'ITALIA,372,,
ADRO,,UNIONE DI CENTRO,61,,
ADRO,,FUTURO E LIBERTA',8,,
ADRO,ANTONIO INGROIA ADRO,RIVOLUZIONE CIVILE,45,,
ADRO,OSCAR FULVIO GIANNINO ADRO,FARE PER FERMARE IL DECLINO,95,,
ADRO,LUCA ROMAGNOLI ADRO,FIAMMA TRICOLORE,14,,
ADRO,MAGDI CRISTIANO ALLAM ADRO,IO AMO L'ITALIA,11,,
AGNOSINE,PIER LUIGI BERSANI AGNOSINE,PARTITO DEMOCRATICO,162,,
AGNOSINE,,SINISTRA ECOLOGIA LIBERTA',13,,
AGNOSINE,,CENTRO DEMOCRATICO,1,,
AGNOSINE,SILVIO BERLUSCONI AGNOSINE,LEGA NORD,354,,
AGNOSINE,,IL POPOLO DELLA LIBERTA',179,,
AGNOSINE,,FRATELLI D'ITALIA,13,,
AGNOSINE,,LA DESTRA,3,,
AGNOSINE,,MIR - MODERATI IN RIVOLUZIONE,1,,
AGNOSINE,GIUSEPPE PIERO GRILLO AGNOSINE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,196,,
AGNOSINE,MARIO MONTI AGNOSINE,SCELTA CIVICA CON MONTI PER L'ITALIA,107,,
AGNOSINE,,UNIONE DI CENTRO,15,,
AGNOSINE,,FUTURO E LIBERTA',1,,
AGNOSINE,ANTONIO INGROIA AGNOSINE,RIVOLUZIONE CIVILE,8,,
AGNOSINE,OSCAR FULVIO GIANNINO AGNOSINE,FARE PER FERMARE IL DECLINO,23,,
AGNOSINE,LUCA ROMAGNOLI AGNOSINE,FIAMMA TRICOLORE,2,,
AGNOSINE,MAGDI CRISTIANO ALLAM AGNOSINE,IO AMO L'ITALIA,1,,
ALFIANELLO,PIER LUIGI BERSANI ALFIANELLO,PARTITO DEMOCRATICO,328,,
ALFIANELLO,,SINISTRA ECOLOGIA LIBERTA',19,,
ALFIANELLO,,CENTRO DEMOCRATICO,2,,
ALFIANELLO,SILVIO BERLUSCONI ALFIANELLO,IL POPOLO DELLA LIBERTA',316,,
ALFIANELLO,,LEGA NORD,272,,
ALFIANELLO,,FRATELLI D'ITALIA,19,,
ALFIANELLO,,LA DESTRA,6,,
