Ente,Candidato,Liste/Gruppi,Voti lista,,
ALBAVILLA,PIER LUIGI BERSANI ALBAVILLA,PARTITO DEMOCRATICO,785,,
ALBAVILLA,,SINISTRA ECOLOGIA LIBERTA',62,,
ALBAVILLA,,CENTRO DEMOCRATICO,6,,
ALBAVILLA,SILVIO BERLUSCONI ALBAVILLA,IL POPOLO DELLA LIBERTA',938,,
ALBAVILLA,,LEGA NORD,577,,
ALBAVILLA,,FRATELLI D'ITALIA,77,,
ALBAVILLA,,LA DESTRA,12,,
ALBAVILLA,,MIR - MODERATI IN RIVOLUZIONE,11,,
ALBAVILLA,GIUSEPPE PIERO GRILLO ALBAVILLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,664,,
ALBAVILLA,MARIO MONTI ALBAVILLA,SCELTA CIVICA CON MONTI PER L'ITALIA,383,,
ALBAVILLA,,UNIONE DI CENTRO,30,,
ALBAVILLA,,FUTURO E LIBERTA',7,,
ALBAVILLA,ANTONIO INGROIA ALBAVILLA,RIVOLUZIONE CIVILE,43,,
ALBAVILLA,OSCAR FULVIO GIANNINO ALBAVILLA,FARE PER FERMARE IL DECLINO,91,,
ALBAVILLA,LUCA ROMAGNOLI ALBAVILLA,FIAMMA TRICOLORE,26,,
ALBAVILLA,MAGDI CRISTIANO ALLAM ALBAVILLA,IO AMO L'ITALIA,3,,
ALBESE CON CASSANO,PIER LUIGI BERSANI ALBESE CON CASSANO,PARTITO DEMOCRATICO,511,,
ALBESE CON CASSANO,,SINISTRA ECOLOGIA LIBERTA',46,,
ALBESE CON CASSANO,,CENTRO DEMOCRATICO,8,,
ALBESE CON CASSANO,SILVIO BERLUSCONI ALBESE CON CASSANO,IL POPOLO DELLA LIBERTA',612,,
ALBESE CON CASSANO,,LEGA NORD,409,,
ALBESE CON CASSANO,,FRATELLI D'ITALIA,45,,
ALBESE CON CASSANO,,MIR - MODERATI IN RIVOLUZIONE,7,,
ALBESE CON CASSANO,,LA DESTRA,7,,
ALBESE CON CASSANO,GIUSEPPE PIERO GRILLO ALBESE CON CASSANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,451,,
ALBESE CON CASSANO,MARIO MONTI ALBESE CON CASSANO,SCELTA CIVICA CON MONTI PER L'ITALIA,324,,
ALBESE CON CASSANO,,UNIONE DI CENTRO,24,,
ALBESE CON CASSANO,,FUTURO E LIBERTA',9,,
ALBESE CON CASSANO,ANTONIO INGROIA ALBESE CON CASSANO,RIVOLUZIONE CIVILE,31,,
ALBESE CON CASSANO,OSCAR FULVIO GIANNINO ALBESE CON CASSANO,FARE PER FERMARE IL DECLINO,63,,
ALBESE CON CASSANO,LUCA ROMAGNOLI ALBESE CON CASSANO,FIAMMA TRICOLORE,14,,
ALBESE CON CASSANO,MAGDI CRISTIANO ALLAM ALBESE CON CASSANO,IO AMO L'ITALIA,8,,
ALBIOLO,PIER LUIGI BERSANI ALBIOLO,PARTITO DEMOCRATICO,305,,
ALBIOLO,,SINISTRA ECOLOGIA LIBERTA',25,,
ALBIOLO,,CENTRO DEMOCRATICO,0,,
ALBIOLO,SILVIO BERLUSCONI ALBIOLO,IL POPOLO DELLA LIBERTA',333,,
ALBIOLO,,LEGA NORD,241,,
ALBIOLO,,FRATELLI D'ITALIA,27,,
ALBIOLO,,MIR - MODERATI IN RIVOLUZIONE,15,,
ALBIOLO,,LA DESTRA,6,,
ALBIOLO,GIUSEPPE PIERO GRILLO ALBIOLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,354,,
ALBIOLO,MARIO MONTI ALBIOLO,SCELTA CIVICA CON MONTI PER L'ITALIA,162,,
ALBIOLO,,UNIONE DI CENTRO,9,,
ALBIOLO,,FUTURO E LIBERTA',7,,
ALBIOLO,ANTONIO INGROIA ALBIOLO,RIVOLUZIONE CIVILE,14,,
ALBIOLO,OSCAR FULVIO GIANNINO ALBIOLO,FARE PER FERMARE IL DECLINO,20,,
ALBIOLO,LUCA ROMAGNOLI ALBIOLO,FIAMMA TRICOLORE,5,,
ALBIOLO,MAGDI CRISTIANO ALLAM ALBIOLO,IO AMO L'ITALIA,5,,
ALSERIO,PIER LUIGI BERSANI ALSERIO,PARTITO DEMOCRATICO,112,,
ALSERIO,,SINISTRA ECOLOGIA LIBERTA',14,,
ALSERIO,,CENTRO DEMOCRATICO,1,,
ALSERIO,SILVIO BERLUSCONI ALSERIO,IL POPOLO DELLA LIBERTA',179,,
ALSERIO,,LEGA NORD,145,,
ALSERIO,,FRATELLI D'ITALIA,12,,
ALSERIO,,MIR - MODERATI IN RIVOLUZIONE,4,,
ALSERIO,,LA DESTRA,2,,
ALSERIO,GIUSEPPE PIERO GRILLO ALSERIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,154,,
ALSERIO,MARIO MONTI ALSERIO,SCELTA CIVICA CON MONTI PER L'ITALIA,63,,
ALSERIO,,UNIONE DI CENTRO,6,,
ALSERIO,,FUTURO E LIBERTA',4,,
ALSERIO,ANTONIO INGROIA ALSERIO,RIVOLUZIONE CIVILE,3,,
ALSERIO,OSCAR FULVIO GIANNINO ALSERIO,FARE PER FERMARE IL DECLINO,13,,
ALSERIO,LUCA ROMAGNOLI ALSERIO,FIAMMA TRICOLORE,7,,
ALSERIO,MAGDI CRISTIANO ALLAM ALSERIO,IO AMO L'ITALIA,4,,
ALZATE BRIANZA,PIER LUIGI BERSANI ALZATE BRIANZA,PARTITO DEMOCRATICO,555,,
ALZATE BRIANZA,,SINISTRA ECOLOGIA LIBERTA',51,,
ALZATE BRIANZA,,CENTRO DEMOCRATICO,5,,
ALZATE BRIANZA,SILVIO BERLUSCONI ALZATE BRIANZA,IL POPOLO DELLA LIBERTA',663,,
ALZATE BRIANZA,,LEGA NORD,533,,
ALZATE BRIANZA,,FRATELLI D'ITALIA,61,,
ALZATE BRIANZA,,LA DESTRA,14,,
ALZATE BRIANZA,,MIR - MODERATI IN RIVOLUZIONE,4,,
ALZATE BRIANZA,GIUSEPPE PIERO GRILLO ALZATE BRIANZA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,579,,
ALZATE BRIANZA,MARIO MONTI ALZATE BRIANZA,SCELTA CIVICA CON MONTI PER L'ITALIA,370,,
ALZATE BRIANZA,,UNIONE DI CENTRO,37,,
ALZATE BRIANZA,,FUTURO E LIBERTA',6,,
ALZATE BRIANZA,ANTONIO INGROIA ALZATE BRIANZA,RIVOLUZIONE CIVILE,29,,
ALZATE BRIANZA,OSCAR FULVIO GIANNINO ALZATE BRIANZA,FARE PER FERMARE IL DECLINO,86,,
ALZATE BRIANZA,LUCA ROMAGNOLI ALZATE BRIANZA,FIAMMA TRICOLORE,16,,
ALZATE BRIANZA,MAGDI CRISTIANO ALLAM ALZATE BRIANZA,IO AMO L'ITALIA,7,,
ANZANO DEL PARCO,PIER LUIGI BERSANI ANZANO DEL PARCO,PARTITO DEMOCRATICO,209,,
ANZANO DEL PARCO,,SINISTRA ECOLOGIA LIBERTA',17,,
ANZANO DEL PARCO,,CENTRO DEMOCRATICO,1,,
ANZANO DEL PARCO,SILVIO BERLUSCONI ANZANO DEL PARCO,IL POPOLO DELLA LIBERTA',209,,
ANZANO DEL PARCO,,LEGA NORD,206,,
ANZANO DEL PARCO,,FRATELLI D'ITALIA,21,,
ANZANO DEL PARCO,,LA DESTRA,3,,
ANZANO DEL PARCO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ANZANO DEL PARCO,GIUSEPPE PIERO GRILLO ANZANO DEL PARCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,238,,
ANZANO DEL PARCO,MARIO MONTI ANZANO DEL PARCO,SCELTA CIVICA CON MONTI PER L'ITALIA,137,,
ANZANO DEL PARCO,,UNIONE DI CENTRO,12,,
ANZANO DEL PARCO,,FUTURO E LIBERTA',4,,
ANZANO DEL PARCO,ANTONIO INGROIA ANZANO DEL PARCO,RIVOLUZIONE CIVILE,14,,
ANZANO DEL PARCO,OSCAR FULVIO GIANNINO ANZANO DEL PARCO,FARE PER FERMARE IL DECLINO,36,,
ANZANO DEL PARCO,LUCA ROMAGNOLI ANZANO DEL PARCO,FIAMMA TRICOLORE,10,,
ANZANO DEL PARCO,MAGDI CRISTIANO ALLAM ANZANO DEL PARCO,IO AMO L'ITALIA,7,,
APPIANO GENTILE,PIER LUIGI BERSANI APPIANO GENTILE,PARTITO DEMOCRATICO,892,,
APPIANO GENTILE,,SINISTRA ECOLOGIA LIBERTA',67,,
APPIANO GENTILE,,CENTRO DEMOCRATICO,5,,
APPIANO GENTILE,SILVIO BERLUSCONI APPIANO GENTILE,IL POPOLO DELLA LIBERTA',966,,
APPIANO GENTILE,,LEGA NORD,763,,
APPIANO GENTILE,,FRATELLI D'ITALIA,97,,
APPIANO GENTILE,,MIR - MODERATI IN RIVOLUZIONE,10,,
APPIANO GENTILE,,LA DESTRA,10,,
APPIANO GENTILE,GIUSEPPE PIERO GRILLO APPIANO GENTILE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,844,,
APPIANO GENTILE,MARIO MONTI APPIANO GENTILE,SCELTA CIVICA CON MONTI PER L'ITALIA,559,,
APPIANO GENTILE,,UNIONE DI CENTRO,45,,
APPIANO GENTILE,,FUTURO E LIBERTA',5,,
APPIANO GENTILE,ANTONIO INGROIA APPIANO GENTILE,RIVOLUZIONE CIVILE,53,,
APPIANO GENTILE,OSCAR FULVIO GIANNINO APPIANO GENTILE,FARE PER FERMARE IL DECLINO,93,,
APPIANO GENTILE,LUCA ROMAGNOLI APPIANO GENTILE,FIAMMA TRICOLORE,28,,
APPIANO GENTILE,MAGDI CRISTIANO ALLAM APPIANO GENTILE,IO AMO L'ITALIA,10,,
ARGEGNO,PIER LUIGI BERSANI ARGEGNO,PARTITO DEMOCRATICO,88,,
ARGEGNO,,SINISTRA ECOLOGIA LIBERTA',4,,
ARGEGNO,,CENTRO DEMOCRATICO,0,,
ARGEGNO,SILVIO BERLUSCONI ARGEGNO,IL POPOLO DELLA LIBERTA',93,,
ARGEGNO,,LEGA NORD,75,,
ARGEGNO,,FRATELLI D'ITALIA,50,,
ARGEGNO,,LA DESTRA,2,,
ARGEGNO,,MIR - MODERATI IN RIVOLUZIONE,1,,
ARGEGNO,GIUSEPPE PIERO GRILLO ARGEGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,57,,
ARGEGNO,MARIO MONTI ARGEGNO,SCELTA CIVICA CON MONTI PER L'ITALIA,34,,
ARGEGNO,,FUTURO E LIBERTA',3,,
ARGEGNO,,UNIONE DI CENTRO,1,,
ARGEGNO,ANTONIO INGROIA ARGEGNO,RIVOLUZIONE CIVILE,6,,
ARGEGNO,OSCAR FULVIO GIANNINO ARGEGNO,FARE PER FERMARE IL DECLINO,4,,
ARGEGNO,LUCA ROMAGNOLI ARGEGNO,FIAMMA TRICOLORE,2,,
ARGEGNO,MAGDI CRISTIANO ALLAM ARGEGNO,IO AMO L'ITALIA,0,,
AROSIO,PIER LUIGI BERSANI AROSIO,PARTITO DEMOCRATICO,598,,
AROSIO,,SINISTRA ECOLOGIA LIBERTA',40,,
AROSIO,,CENTRO DEMOCRATICO,8,,
AROSIO,SILVIO BERLUSCONI AROSIO,IL POPOLO DELLA LIBERTA',734,,
AROSIO,,LEGA NORD,517,,
AROSIO,,FRATELLI D'ITALIA,32,,
AROSIO,,LA DESTRA,6,,
AROSIO,,MIR - MODERATI IN RIVOLUZIONE,4,,
AROSIO,GIUSEPPE PIERO GRILLO AROSIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,593,,
AROSIO,MARIO MONTI AROSIO,SCELTA CIVICA CON MONTI PER L'ITALIA,321,,
AROSIO,,UNIONE DI CENTRO,44,,
AROSIO,,FUTURO E LIBERTA',8,,
AROSIO,ANTONIO INGROIA AROSIO,RIVOLUZIONE CIVILE,42,,
AROSIO,OSCAR FULVIO GIANNINO AROSIO,FARE PER FERMARE IL DECLINO,58,,
AROSIO,LUCA ROMAGNOLI AROSIO,FIAMMA TRICOLORE,12,,
AROSIO,MAGDI CRISTIANO ALLAM AROSIO,IO AMO L'ITALIA,11,,
ASSO,PIER LUIGI BERSANI ASSO,PARTITO DEMOCRATICO,350,,
ASSO,,SINISTRA ECOLOGIA LIBERTA',39,,
ASSO,,CENTRO DEMOCRATICO,3,,
ASSO,SILVIO BERLUSCONI ASSO,IL POPOLO DELLA LIBERTA',511,,
ASSO,,LEGA NORD,256,,
ASSO,,FRATELLI D'ITALIA,111,,
ASSO,,LA DESTRA,7,,
ASSO,,MIR - MODERATI IN RIVOLUZIONE,2,,
ASSO,GIUSEPPE PIERO GRILLO ASSO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,335,,
ASSO,MARIO MONTI ASSO,SCELTA CIVICA CON MONTI PER L'ITALIA,208,,
ASSO,,UNIONE DI CENTRO,21,,
ASSO,,FUTURO E LIBERTA',4,,
ASSO,ANTONIO INGROIA ASSO,RIVOLUZIONE CIVILE,20,,
ASSO,OSCAR FULVIO GIANNINO ASSO,FARE PER FERMARE IL DECLINO,34,,
ASSO,LUCA ROMAGNOLI ASSO,FIAMMA TRICOLORE,11,,
ASSO,MAGDI CRISTIANO ALLAM ASSO,IO AMO L'ITALIA,6,,
BARNI,PIER LUIGI BERSANI BARNI,PARTITO DEMOCRATICO,45,,
BARNI,,CENTRO DEMOCRATICO,2,,
BARNI,,SINISTRA ECOLOGIA LIBERTA',0,,
BARNI,SILVIO BERLUSCONI BARNI,IL POPOLO DELLA LIBERTA',132,,
BARNI,,LEGA NORD,52,,
BARNI,,FRATELLI D'ITALIA,15,,
BARNI,,MIR - MODERATI IN RIVOLUZIONE,1,,
BARNI,,LA DESTRA,0,,
BARNI,GIUSEPPE PIERO GRILLO BARNI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,57,,
BARNI,MARIO MONTI BARNI,SCELTA CIVICA CON MONTI PER L'ITALIA,22,,
BARNI,,UNIONE DI CENTRO,2,,
BARNI,,FUTURO E LIBERTA',0,,
BARNI,ANTONIO INGROIA BARNI,RIVOLUZIONE CIVILE,4,,
BARNI,OSCAR FULVIO GIANNINO BARNI,FARE PER FERMARE IL DECLINO,6,,
BARNI,LUCA ROMAGNOLI BARNI,FIAMMA TRICOLORE,2,,
BARNI,MAGDI CRISTIANO ALLAM BARNI,IO AMO L'ITALIA,0,,
BELLAGIO,PIER LUIGI BERSANI BELLAGIO,PARTITO DEMOCRATICO,222,,
BELLAGIO,,SINISTRA ECOLOGIA LIBERTA',20,,
BELLAGIO,,CENTRO DEMOCRATICO,3,,
BELLAGIO,SILVIO BERLUSCONI BELLAGIO,IL POPOLO DELLA LIBERTA',554,,
BELLAGIO,,LEGA NORD,351,,
BELLAGIO,,FRATELLI D'ITALIA,31,,
BELLAGIO,,LA DESTRA,11,,
BELLAGIO,,MIR - MODERATI IN RIVOLUZIONE,5,,
BELLAGIO,GIUSEPPE PIERO GRILLO BELLAGIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,238,,
BELLAGIO,MARIO MONTI BELLAGIO,SCELTA CIVICA CON MONTI PER L'ITALIA,187,,
BELLAGIO,,UNIONE DI CENTRO,34,,
BELLAGIO,,FUTURO E LIBERTA',4,,
BELLAGIO,ANTONIO INGROIA BELLAGIO,RIVOLUZIONE CIVILE,16,,
BELLAGIO,OSCAR FULVIO GIANNINO BELLAGIO,FARE PER FERMARE IL DECLINO,27,,
BELLAGIO,LUCA ROMAGNOLI BELLAGIO,FIAMMA TRICOLORE,14,,
BELLAGIO,MAGDI CRISTIANO ALLAM BELLAGIO,IO AMO L'ITALIA,5,,
BENE LARIO,PIER LUIGI BERSANI BENE LARIO,PARTITO DEMOCRATICO,10,,
BENE LARIO,,SINISTRA ECOLOGIA LIBERTA',1,,
BENE LARIO,,CENTRO DEMOCRATICO,0,,
BENE LARIO,SILVIO BERLUSCONI BENE LARIO,FRATELLI D'ITALIA,56,,
BENE LARIO,,IL POPOLO DELLA LIBERTA',49,,
BENE LARIO,,LEGA NORD,40,,
BENE LARIO,,MIR - MODERATI IN RIVOLUZIONE,0,,
BENE LARIO,,LA DESTRA,0,,
BENE LARIO,GIUSEPPE PIERO GRILLO BENE LARIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,19,,
BENE LARIO,MARIO MONTI BENE LARIO,SCELTA CIVICA CON MONTI PER L'ITALIA,9,,
BENE LARIO,,UNIONE DI CENTRO,1,,
BENE LARIO,,FUTURO E LIBERTA',0,,
BENE LARIO,ANTONIO INGROIA BENE LARIO,RIVOLUZIONE CIVILE,1,,
BENE LARIO,OSCAR FULVIO GIANNINO BENE LARIO,FARE PER FERMARE IL DECLINO,1,,
BENE LARIO,LUCA ROMAGNOLI BENE LARIO,FIAMMA TRICOLORE,0,,
BENE LARIO,MAGDI CRISTIANO ALLAM BENE LARIO,IO AMO L'ITALIA,1,,
BEREGAZZO CON FIGLIARO,PIER LUIGI BERSANI BEREGAZZO CON FIGLIARO,PARTITO DEMOCRATICO,285,,
BEREGAZZO CON FIGLIARO,,SINISTRA ECOLOGIA LIBERTA',21,,
BEREGAZZO CON FIGLIARO,,CENTRO DEMOCRATICO,1,,
