Ente,Candidato,Liste/Gruppi,Voti lista,,
ALAGNA VALSESIA,PIER LUIGI BERSANI ALAGNA VALSESIA,PARTITO DEMOCRATICO,33,,
ALAGNA VALSESIA,,SINISTRA ECOLOGIA LIBERTA',8,,
ALAGNA VALSESIA,,CENTRO DEMOCRATICO,0,,
ALAGNA VALSESIA,SILVIO BERLUSCONI ALAGNA VALSESIA,LEGA NORD,62,,
ALAGNA VALSESIA,,IL POPOLO DELLA LIBERTA',44,,
ALAGNA VALSESIA,,FRATELLI D'ITALIA,6,,
ALAGNA VALSESIA,,LA DESTRA,1,,
ALAGNA VALSESIA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALAGNA VALSESIA,GIUSEPPE PIERO GRILLO ALAGNA VALSESIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,31,,
ALAGNA VALSESIA,MARIO MONTI ALAGNA VALSESIA,SCELTA CIVICA CON MONTI PER L'ITALIA,31,,
ALAGNA VALSESIA,,UNIONE DI CENTRO,1,,
ALAGNA VALSESIA,,FUTURO E LIBERTA',0,,
ALAGNA VALSESIA,ANTONIO INGROIA ALAGNA VALSESIA,RIVOLUZIONE CIVILE,6,,
ALAGNA VALSESIA,OSCAR FULVIO GIANNINO ALAGNA VALSESIA,FARE PER FERMARE IL DECLINO,5,,
ALAGNA VALSESIA,ROBERTO FIORE ALAGNA VALSESIA,FORZA NUOVA,1,,
ALAGNA VALSESIA,ANTONIO PIARULLI ALAGNA VALSESIA,MOVIMENTO P.P.A.,0,,
ALBANO VERCELLESE,PIER LUIGI BERSANI ALBANO VERCELLESE,PARTITO DEMOCRATICO,39,,
ALBANO VERCELLESE,,SINISTRA ECOLOGIA LIBERTA',2,,
ALBANO VERCELLESE,,CENTRO DEMOCRATICO,0,,
ALBANO VERCELLESE,SILVIO BERLUSCONI ALBANO VERCELLESE,IL POPOLO DELLA LIBERTA',52,,
ALBANO VERCELLESE,,LEGA NORD,18,,
ALBANO VERCELLESE,,FRATELLI D'ITALIA,3,,
ALBANO VERCELLESE,,LA DESTRA,2,,
ALBANO VERCELLESE,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALBANO VERCELLESE,GIUSEPPE PIERO GRILLO ALBANO VERCELLESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,56,,
ALBANO VERCELLESE,MARIO MONTI ALBANO VERCELLESE,SCELTA CIVICA CON MONTI PER L'ITALIA,10,,
ALBANO VERCELLESE,,FUTURO E LIBERTA',1,,
ALBANO VERCELLESE,,UNIONE DI CENTRO,0,,
ALBANO VERCELLESE,ANTONIO INGROIA ALBANO VERCELLESE,RIVOLUZIONE CIVILE,2,,
ALBANO VERCELLESE,OSCAR FULVIO GIANNINO ALBANO VERCELLESE,FARE PER FERMARE IL DECLINO,2,,
ALBANO VERCELLESE,ROBERTO FIORE ALBANO VERCELLESE,FORZA NUOVA,1,,
ALBANO VERCELLESE,ANTONIO PIARULLI ALBANO VERCELLESE,MOVIMENTO P.P.A.,1,,
ALICE CASTELLO,PIER LUIGI BERSANI ALICE CASTELLO,PARTITO DEMOCRATICO,355,,
ALICE CASTELLO,,SINISTRA ECOLOGIA LIBERTA',45,,
ALICE CASTELLO,,CENTRO DEMOCRATICO,2,,
ALICE CASTELLO,SILVIO BERLUSCONI ALICE CASTELLO,IL POPOLO DELLA LIBERTA',326,,
ALICE CASTELLO,,LEGA NORD,99,,
ALICE CASTELLO,,FRATELLI D'ITALIA,24,,
ALICE CASTELLO,,LA DESTRA,5,,
ALICE CASTELLO,,MIR - MODERATI IN RIVOLUZIONE,3,,
ALICE CASTELLO,GIUSEPPE PIERO GRILLO ALICE CASTELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,407,,
ALICE CASTELLO,MARIO MONTI ALICE CASTELLO,SCELTA CIVICA CON MONTI PER L'ITALIA,157,,
ALICE CASTELLO,,UNIONE DI CENTRO,16,,
ALICE CASTELLO,,FUTURO E LIBERTA',3,,
ALICE CASTELLO,ANTONIO INGROIA ALICE CASTELLO,RIVOLUZIONE CIVILE,16,,
ALICE CASTELLO,OSCAR FULVIO GIANNINO ALICE CASTELLO,FARE PER FERMARE IL DECLINO,13,,
ALICE CASTELLO,ROBERTO FIORE ALICE CASTELLO,FORZA NUOVA,7,,
ALICE CASTELLO,ANTONIO PIARULLI ALICE CASTELLO,MOVIMENTO P.P.A.,3,,
ARBORIO,PIER LUIGI BERSANI ARBORIO,PARTITO DEMOCRATICO,79,,
ARBORIO,,SINISTRA ECOLOGIA LIBERTA',9,,
ARBORIO,,CENTRO DEMOCRATICO,0,,
ARBORIO,SILVIO BERLUSCONI ARBORIO,IL POPOLO DELLA LIBERTA',203,,
ARBORIO,,LEGA NORD,69,,
ARBORIO,,FRATELLI D'ITALIA,10,,
ARBORIO,,LA DESTRA,3,,
ARBORIO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ARBORIO,GIUSEPPE PIERO GRILLO ARBORIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,97,,
ARBORIO,MARIO MONTI ARBORIO,SCELTA CIVICA CON MONTI PER L'ITALIA,36,,
ARBORIO,,UNIONE DI CENTRO,3,,
ARBORIO,,FUTURO E LIBERTA',2,,
ARBORIO,ANTONIO INGROIA ARBORIO,RIVOLUZIONE CIVILE,2,,
ARBORIO,OSCAR FULVIO GIANNINO ARBORIO,FARE PER FERMARE IL DECLINO,14,,
ARBORIO,ROBERTO FIORE ARBORIO,FORZA NUOVA,6,,
ARBORIO,ANTONIO PIARULLI ARBORIO,MOVIMENTO P.P.A.,0,,
ASIGLIANO VERCELLESE,PIER LUIGI BERSANI ASIGLIANO VERCELLESE,PARTITO DEMOCRATICO,176,,
ASIGLIANO VERCELLESE,,SINISTRA ECOLOGIA LIBERTA',10,,
ASIGLIANO VERCELLESE,,CENTRO DEMOCRATICO,1,,
ASIGLIANO VERCELLESE,SILVIO BERLUSCONI ASIGLIANO VERCELLESE,IL POPOLO DELLA LIBERTA',256,,
ASIGLIANO VERCELLESE,,LEGA NORD,59,,
ASIGLIANO VERCELLESE,,FRATELLI D'ITALIA,20,,
ASIGLIANO VERCELLESE,,LA DESTRA,4,,
ASIGLIANO VERCELLESE,,MIR - MODERATI IN RIVOLUZIONE,2,,
ASIGLIANO VERCELLESE,GIUSEPPE PIERO GRILLO ASIGLIANO VERCELLESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,240,,
ASIGLIANO VERCELLESE,MARIO MONTI ASIGLIANO VERCELLESE,SCELTA CIVICA CON MONTI PER L'ITALIA,59,,
ASIGLIANO VERCELLESE,,UNIONE DI CENTRO,10,,
ASIGLIANO VERCELLESE,,FUTURO E LIBERTA',4,,
ASIGLIANO VERCELLESE,ANTONIO INGROIA ASIGLIANO VERCELLESE,RIVOLUZIONE CIVILE,6,,
ASIGLIANO VERCELLESE,OSCAR FULVIO GIANNINO ASIGLIANO VERCELLESE,FARE PER FERMARE IL DECLINO,5,,
ASIGLIANO VERCELLESE,ROBERTO FIORE ASIGLIANO VERCELLESE,FORZA NUOVA,5,,
ASIGLIANO VERCELLESE,ANTONIO PIARULLI ASIGLIANO VERCELLESE,MOVIMENTO P.P.A.,5,,
BALMUCCIA,PIER LUIGI BERSANI BALMUCCIA,PARTITO DEMOCRATICO,16,,
BALMUCCIA,,CENTRO DEMOCRATICO,0,,
BALMUCCIA,,SINISTRA ECOLOGIA LIBERTA',0,,
BALMUCCIA,SILVIO BERLUSCONI BALMUCCIA,LEGA NORD,16,,
BALMUCCIA,,IL POPOLO DELLA LIBERTA',4,,
BALMUCCIA,,MIR - MODERATI IN RIVOLUZIONE,1,,
BALMUCCIA,,LA DESTRA,0,,
BALMUCCIA,,FRATELLI D'ITALIA,0,,
BALMUCCIA,GIUSEPPE PIERO GRILLO BALMUCCIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,9,,
BALMUCCIA,MARIO MONTI BALMUCCIA,SCELTA CIVICA CON MONTI PER L'ITALIA,3,,
BALMUCCIA,,FUTURO E LIBERTA',0,,
BALMUCCIA,,UNIONE DI CENTRO,0,,
BALMUCCIA,ANTONIO INGROIA BALMUCCIA,RIVOLUZIONE CIVILE,0,,
BALMUCCIA,OSCAR FULVIO GIANNINO BALMUCCIA,FARE PER FERMARE IL DECLINO,0,,
BALMUCCIA,ROBERTO FIORE BALMUCCIA,FORZA NUOVA,0,,
BALMUCCIA,ANTONIO PIARULLI BALMUCCIA,MOVIMENTO P.P.A.,0,,
BALOCCO,PIER LUIGI BERSANI BALOCCO,PARTITO DEMOCRATICO,37,,
BALOCCO,,SINISTRA ECOLOGIA LIBERTA',1,,
BALOCCO,,CENTRO DEMOCRATICO,0,,
BALOCCO,SILVIO BERLUSCONI BALOCCO,IL POPOLO DELLA LIBERTA',51,,
BALOCCO,,LEGA NORD,12,,
BALOCCO,,MIR - MODERATI IN RIVOLUZIONE,1,,
BALOCCO,,FRATELLI D'ITALIA,1,,
BALOCCO,,LA DESTRA,0,,
BALOCCO,GIUSEPPE PIERO GRILLO BALOCCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,23,,
BALOCCO,MARIO MONTI BALOCCO,SCELTA CIVICA CON MONTI PER L'ITALIA,14,,
BALOCCO,,UNIONE DI CENTRO,4,,
BALOCCO,,FUTURO E LIBERTA',0,,
BALOCCO,ANTONIO INGROIA BALOCCO,RIVOLUZIONE CIVILE,2,,
