Ente,Candidato,Liste/Gruppi,Voti lista,,
ARITZO,PIER LUIGI BERSANI ARITZO,PARTITO DEMOCRATICO,233,,
ARITZO,,SINISTRA ECOLOGIA LIBERTA',26,,
ARITZO,,CENTRO DEMOCRATICO,0,,
ARITZO,SILVIO BERLUSCONI ARITZO,IL POPOLO DELLA LIBERTA',142,,
ARITZO,,FRATELLI D'ITALIA,51,,
ARITZO,,LA DESTRA,10,,
ARITZO,,PARTITO PENSIONATI,1,,
ARITZO,,MIR - MODERATI IN RIVOLUZIONE,1,,
ARITZO,,GRANDE SUD - MPA,0,,
ARITZO,,LEGA NORD,0,,
ARITZO,GIUSEPPE PIERO GRILLO ARITZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,132,,
ARITZO,MARIO MONTI ARITZO,SCELTA CIVICA CON MONTI PER L'ITALIA,32,,
ARITZO,,UNIONE DI CENTRO,31,,
ARITZO,,FUTURO E LIBERTA',2,,
ARITZO,ANTONIO INGROIA ARITZO,RIVOLUZIONE CIVILE,21,,
ARITZO,OSCAR FULVIO GIANNINO ARITZO,FARE PER FERMARE IL DECLINO,1,,
ARITZO,MARCO FERRANDO ARITZO,PARTITO COMUNISTA DEI LAVORATORI,3,,
ARITZO,ROBERTO FIORE ARITZO,FORZA NUOVA,2,,
ARITZO,GIACINTO MARCO PANNELLA ARITZO,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
ARITZO,RENATA JANNUZZI ARITZO,LIBERALI PER L'ITALIA - PLI,1,,
ARITZO,GIOVANNI ANGELO COLLI ARITZO,PS D'AZ.,5,,
ARITZO,PIETRO MURRU ARITZO,INDIPENDENZA PER LA SARDEGNA,3,,
ARITZO,SALVATORE MELONI ARITZO,MERIS,5,,
ATZARA,PIER LUIGI BERSANI ATZARA,PARTITO DEMOCRATICO,267,,
ATZARA,,SINISTRA ECOLOGIA LIBERTA',21,,
ATZARA,,CENTRO DEMOCRATICO,6,,
ATZARA,SILVIO BERLUSCONI ATZARA,IL POPOLO DELLA LIBERTA',45,,
ATZARA,,FRATELLI D'ITALIA,5,,
ATZARA,,PARTITO PENSIONATI,3,,
ATZARA,,LA DESTRA,2,,
ATZARA,,GRANDE SUD - MPA,1,,
ATZARA,,LEGA NORD,1,,
ATZARA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ATZARA,GIUSEPPE PIERO GRILLO ATZARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,178,,
ATZARA,MARIO MONTI ATZARA,SCELTA CIVICA CON MONTI PER L'ITALIA,62,,
ATZARA,,UNIONE DI CENTRO,21,,
ATZARA,,FUTURO E LIBERTA',5,,
ATZARA,ANTONIO INGROIA ATZARA,RIVOLUZIONE CIVILE,98,,
ATZARA,OSCAR FULVIO GIANNINO ATZARA,FARE PER FERMARE IL DECLINO,1,,
ATZARA,MARCO FERRANDO ATZARA,PARTITO COMUNISTA DEI LAVORATORI,5,,
ATZARA,ROBERTO FIORE ATZARA,FORZA NUOVA,1,,
ATZARA,GIACINTO MARCO PANNELLA ATZARA,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
ATZARA,RENATA JANNUZZI ATZARA,LIBERALI PER L'ITALIA - PLI,0,,
ATZARA,GIOVANNI ANGELO COLLI ATZARA,PS D'AZ.,14,,
ATZARA,PIETRO MURRU ATZARA,INDIPENDENZA PER LA SARDEGNA,13,,
ATZARA,SALVATORE MELONI ATZARA,MERIS,2,,
AUSTIS,PIER LUIGI BERSANI AUSTIS,PARTITO DEMOCRATICO,148,,
AUSTIS,,CENTRO DEMOCRATICO,32,,
AUSTIS,,SINISTRA ECOLOGIA LIBERTA',6,,
AUSTIS,SILVIO BERLUSCONI AUSTIS,IL POPOLO DELLA LIBERTA',34,,
AUSTIS,,FRATELLI D'ITALIA,28,,
AUSTIS,,LA DESTRA,7,,
AUSTIS,,LEGA NORD,1,,
AUSTIS,,GRANDE SUD - MPA,0,,
AUSTIS,,PARTITO PENSIONATI,0,,
AUSTIS,,MIR - MODERATI IN RIVOLUZIONE,0,,
