Ente,Candidato,Liste/Gruppi,Voti lista,,
ALGHERO,PIER LUIGI BERSANI ALGHERO,PARTITO DEMOCRATICO,5903,,
ALGHERO,,SINISTRA ECOLOGIA LIBERTA',916,,
ALGHERO,,CENTRO DEMOCRATICO,42,,
ALGHERO,SILVIO BERLUSCONI ALGHERO,IL POPOLO DELLA LIBERTA',5219,,
ALGHERO,,FRATELLI D'ITALIA,283,,
ALGHERO,,PARTITO PENSIONATI,102,,
ALGHERO,,GRANDE SUD - MPA,88,,
ALGHERO,,LA DESTRA,76,,
ALGHERO,,LEGA NORD,40,,
ALGHERO,,MIR - MODERATI IN RIVOLUZIONE,34,,
ALGHERO,GIUSEPPE PIERO GRILLO ALGHERO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,7506,,
ALGHERO,MARIO MONTI ALGHERO,SCELTA CIVICA CON MONTI PER L'ITALIA,1545,,
ALGHERO,,UNIONE DI CENTRO,528,,
ALGHERO,,FUTURO E LIBERTA',108,,
ALGHERO,ANTONIO INGROIA ALGHERO,RIVOLUZIONE CIVILE,710,,
ALGHERO,OSCAR FULVIO GIANNINO ALGHERO,FARE PER FERMARE IL DECLINO,97,,
ALGHERO,MARCO FERRANDO ALGHERO,PARTITO COMUNISTA DEI LAVORATORI,65,,
ALGHERO,ROBERTO FIORE ALGHERO,FORZA NUOVA,37,,
ALGHERO,GIACINTO MARCO PANNELLA ALGHERO,LISTA AMNISTIA GIUSTIZIA LIBERTA',51,,
ALGHERO,RENATA JANNUZZI ALGHERO,LIBERALI PER L'ITALIA - PLI,45,,
ALGHERO,GIOVANNI ANGELO COLLI ALGHERO,PS D'AZ.,556,,
ALGHERO,PIETRO MURRU ALGHERO,INDIPENDENZA PER LA SARDEGNA,237,,
ALGHERO,SALVATORE MELONI ALGHERO,MERIS,28,,
ANELA,PIER LUIGI BERSANI ANELA,PARTITO DEMOCRATICO,152,,
ANELA,,SINISTRA ECOLOGIA LIBERTA',18,,
ANELA,,CENTRO DEMOCRATICO,7,,
ANELA,SILVIO BERLUSCONI ANELA,IL POPOLO DELLA LIBERTA',85,,
ANELA,,FRATELLI D'ITALIA,14,,
ANELA,,LA DESTRA,1,,
ANELA,,PARTITO PENSIONATI,1,,
ANELA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ANELA,,LEGA NORD,0,,
ANELA,,GRANDE SUD - MPA,0,,
ANELA,GIUSEPPE PIERO GRILLO ANELA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,50,,
ANELA,MARIO MONTI ANELA,SCELTA CIVICA CON MONTI PER L'ITALIA,12,,
ANELA,,UNIONE DI CENTRO,12,,
ANELA,,FUTURO E LIBERTA',2,,
ANELA,ANTONIO INGROIA ANELA,RIVOLUZIONE CIVILE,7,,
ANELA,OSCAR FULVIO GIANNINO ANELA,FARE PER FERMARE IL DECLINO,0,,
ANELA,MARCO FERRANDO ANELA,PARTITO COMUNISTA DEI LAVORATORI,3,,
ANELA,ROBERTO FIORE ANELA,FORZA NUOVA,1,,
ANELA,GIACINTO MARCO PANNELLA ANELA,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
ANELA,RENATA JANNUZZI ANELA,LIBERALI PER L'ITALIA - PLI,3,,
ANELA,GIOVANNI ANGELO COLLI ANELA,PS D'AZ.,17,,
ANELA,PIETRO MURRU ANELA,INDIPENDENZA PER LA SARDEGNA,4,,
ANELA,SALVATORE MELONI ANELA,MERIS,0,,
ARDARA,PIER LUIGI BERSANI ARDARA,PARTITO DEMOCRATICO,71,,
ARDARA,,SINISTRA ECOLOGIA LIBERTA',1,,
ARDARA,,CENTRO DEMOCRATICO,0,,
ARDARA,SILVIO BERLUSCONI ARDARA,IL POPOLO DELLA LIBERTA',101,,
ARDARA,,PARTITO PENSIONATI,3,,
ARDARA,,LEGA NORD,1,,
ARDARA,,FRATELLI D'ITALIA,1,,
ARDARA,,LA DESTRA,0,,
ARDARA,,GRANDE SUD - MPA,0,,
ARDARA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ARDARA,GIUSEPPE PIERO GRILLO ARDARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,120,,
ARDARA,MARIO MONTI ARDARA,UNIONE DI CENTRO,117,,
ARDARA,,SCELTA CIVICA CON MONTI PER L'ITALIA,13,,
ARDARA,,FUTURO E LIBERTA',0,,
ARDARA,ANTONIO INGROIA ARDARA,RIVOLUZIONE CIVILE,5,,
ARDARA,OSCAR FULVIO GIANNINO ARDARA,FARE PER FERMARE IL DECLINO,1,,
ARDARA,MARCO FERRANDO ARDARA,PARTITO COMUNISTA DEI LAVORATORI,2,,
ARDARA,ROBERTO FIORE ARDARA,FORZA NUOVA,0,,
ARDARA,GIACINTO MARCO PANNELLA ARDARA,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
ARDARA,RENATA JANNUZZI ARDARA,LIBERALI PER L'ITALIA - PLI,1,,
ARDARA,GIOVANNI ANGELO COLLI ARDARA,PS D'AZ.,9,,
ARDARA,PIETRO MURRU ARDARA,INDIPENDENZA PER LA SARDEGNA,6,,
ARDARA,SALVATORE MELONI ARDARA,MERIS,1,,
BANARI,PIER LUIGI BERSANI BANARI,PARTITO DEMOCRATICO,141,,
BANARI,,SINISTRA ECOLOGIA LIBERTA',16,,
BANARI,,CENTRO DEMOCRATICO,0,,
BANARI,SILVIO BERLUSCONI BANARI,IL POPOLO DELLA LIBERTA',26,,
BANARI,,FRATELLI D'ITALIA,4,,
BANARI,,LA DESTRA,2,,
BANARI,,PARTITO PENSIONATI,2,,
BANARI,,LEGA NORD,1,,
BANARI,,MIR - MODERATI IN RIVOLUZIONE,0,,
BANARI,,GRANDE SUD - MPA,0,,
BANARI,GIUSEPPE PIERO GRILLO BANARI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,67,,
BANARI,MARIO MONTI BANARI,SCELTA CIVICA CON MONTI PER L'ITALIA,12,,
BANARI,,FUTURO E LIBERTA',3,,
BANARI,,UNIONE DI CENTRO,1,,
BANARI,ANTONIO INGROIA BANARI,RIVOLUZIONE CIVILE,30,,
BANARI,OSCAR FULVIO GIANNINO BANARI,FARE PER FERMARE IL DECLINO,0,,
BANARI,MARCO FERRANDO BANARI,PARTITO COMUNISTA DEI LAVORATORI,1,,
BANARI,ROBERTO FIORE BANARI,FORZA NUOVA,0,,
BANARI,GIACINTO MARCO PANNELLA BANARI,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
BANARI,RENATA JANNUZZI BANARI,LIBERALI PER L'ITALIA - PLI,0,,
