Ente,Candidato,Liste/Gruppi,Voti lista,,
ACI BONACCORSI,PIER LUIGI BERSANI ACI BONACCORSI,PARTITO DEMOCRATICO,258,,
ACI BONACCORSI,,SINISTRA ECOLOGIA LIBERTA',23,,
ACI BONACCORSI,,CENTRO DEMOCRATICO,2,,
ACI BONACCORSI,SILVIO BERLUSCONI ACI BONACCORSI,IL POPOLO DELLA LIBERTA',679,,
ACI BONACCORSI,,FRATELLI D'ITALIA,29,,
ACI BONACCORSI,,GRANDE SUD - MPA,24,,
ACI BONACCORSI,,LA DESTRA,11,,
ACI BONACCORSI,,MIR - MODERATI IN RIVOLUZIONE,3,,
ACI BONACCORSI,,LEGA NORD,0,,
ACI BONACCORSI,GIUSEPPE PIERO GRILLO ACI BONACCORSI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,652,,
ACI BONACCORSI,MARIO MONTI ACI BONACCORSI,SCELTA CIVICA CON MONTI PER L'ITALIA,95,,
ACI BONACCORSI,,UNIONE DI CENTRO,82,,
ACI BONACCORSI,,FUTURO E LIBERTA',8,,
ACI BONACCORSI,ANTONIO INGROIA ACI BONACCORSI,RIVOLUZIONE CIVILE,61,,
ACI BONACCORSI,OSCAR FULVIO GIANNINO ACI BONACCORSI,FARE PER FERMARE IL DECLINO,5,,
ACI BONACCORSI,MARCO FERRANDO ACI BONACCORSI,PARTITO COMUNISTA DEI LAVORATORI,5,,
ACI BONACCORSI,ROBERTO FIORE ACI BONACCORSI,FORZA NUOVA,5,,
ACI BONACCORSI,GIACINTO MARCO PANNELLA ACI BONACCORSI,LISTA AMNISTIA GIUSTIZIA LIBERTA',9,,
ACI BONACCORSI,LUCA ROMAGNOLI ACI BONACCORSI,FIAMMA TRICOLORE,3,,
ACI BONACCORSI,RENATA JANNUZZI ACI BONACCORSI,LIBERALI PER L'ITALIA - PLI,4,,
ACI BONACCORSI,FRANCO TORCHIA ACI BONACCORSI,PRI,1,,
ACI BONACCORSI,MARINA PETRINI ACI BONACCORSI,MOVIMENTO PROGETTO ITALIA - MID,5,,
ACI CASTELLO,PIER LUIGI BERSANI ACI CASTELLO,PARTITO DEMOCRATICO,1739,,
ACI CASTELLO,,SINISTRA ECOLOGIA LIBERTA',300,,
ACI CASTELLO,,CENTRO DEMOCRATICO,20,,
ACI CASTELLO,SILVIO BERLUSCONI ACI CASTELLO,IL POPOLO DELLA LIBERTA',2816,,
ACI CASTELLO,,FRATELLI D'ITALIA,302,,
ACI CASTELLO,,GRANDE SUD - MPA,165,,
ACI CASTELLO,,LA DESTRA,108,,
