Ente,Candidato,Liste/Gruppi,Voti lista,,
AGIRA,PIER LUIGI BERSANI AGIRA,PARTITO DEMOCRATICO,2159,,
AGIRA,,SINISTRA ECOLOGIA LIBERTA',38,,
AGIRA,,CENTRO DEMOCRATICO,12,,
AGIRA,SILVIO BERLUSCONI AGIRA,IL POPOLO DELLA LIBERTA',790,,
AGIRA,,GRANDE SUD - MPA,101,,
AGIRA,,FRATELLI D'ITALIA,39,,
AGIRA,,LEGA NORD,14,,
AGIRA,,LA DESTRA,13,,
AGIRA,,MIR - MODERATI IN RIVOLUZIONE,11,,
AGIRA,GIUSEPPE PIERO GRILLO AGIRA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,828,,
AGIRA,MARIO MONTI AGIRA,SCELTA CIVICA CON MONTI PER L'ITALIA,205,,
AGIRA,,UNIONE DI CENTRO,55,,
AGIRA,,FUTURO E LIBERTA',12,,
AGIRA,ANTONIO INGROIA AGIRA,RIVOLUZIONE CIVILE,233,,
AGIRA,OSCAR FULVIO GIANNINO AGIRA,FARE PER FERMARE IL DECLINO,4,,
AGIRA,MARCO FERRANDO AGIRA,PARTITO COMUNISTA DEI LAVORATORI,12,,
AGIRA,ROBERTO FIORE AGIRA,FORZA NUOVA,6,,
AGIRA,GIACINTO MARCO PANNELLA AGIRA,LISTA AMNISTIA GIUSTIZIA LIBERTA',23,,
AGIRA,LUCA ROMAGNOLI AGIRA,FIAMMA TRICOLORE,10,,
AGIRA,RENATA JANNUZZI AGIRA,LIBERALI PER L'ITALIA - PLI,21,,
AGIRA,FRANCO TORCHIA AGIRA,PRI,3,,
AGIRA,MARINA PETRINI AGIRA,MOVIMENTO PROGETTO ITALIA - MID,4,,
AIDONE,PIER LUIGI BERSANI AIDONE,PARTITO DEMOCRATICO,501,,
AIDONE,,CENTRO DEMOCRATICO,67,,
AIDONE,,SINISTRA ECOLOGIA LIBERTA',23,,
AIDONE,SILVIO BERLUSCONI AIDONE,IL POPOLO DELLA LIBERTA',498,,
AIDONE,,FRATELLI D'ITALIA,94,,
AIDONE,,GRANDE SUD - MPA,47,,
AIDONE,,LA DESTRA,12,,
AIDONE,,MIR - MODERATI IN RIVOLUZIONE,6,,
AIDONE,,LEGA NORD,5,,
AIDONE,GIUSEPPE PIERO GRILLO AIDONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,574,,
AIDONE,MARIO MONTI AIDONE,FUTURO E LIBERTA',126,,
AIDONE,,UNIONE DI CENTRO,108,,
AIDONE,,SCELTA CIVICA CON MONTI PER L'ITALIA,101,,
AIDONE,ANTONIO INGROIA AIDONE,RIVOLUZIONE CIVILE,55,,
AIDONE,OSCAR FULVIO GIANNINO AIDONE,FARE PER FERMARE IL DECLINO,4,,
AIDONE,MARCO FERRANDO AIDONE,PARTITO COMUNISTA DEI LAVORATORI,4,,
AIDONE,ROBERTO FIORE AIDONE,FORZA NUOVA,7,,
AIDONE,GIACINTO MARCO PANNELLA AIDONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',14,,
AIDONE,LUCA ROMAGNOLI AIDONE,FIAMMA TRICOLORE,9,,
AIDONE,RENATA JANNUZZI AIDONE,LIBERALI PER L'ITALIA - PLI,4,,
AIDONE,FRANCO TORCHIA AIDONE,PRI,1,,
AIDONE,MARINA PETRINI AIDONE,MOVIMENTO PROGETTO ITALIA - MID,6,,
ASSORO,PIER LUIGI BERSANI ASSORO,PARTITO DEMOCRATICO,930,,
ASSORO,,SINISTRA ECOLOGIA LIBERTA',52,,
ASSORO,,CENTRO DEMOCRATICO,9,,
ASSORO,SILVIO BERLUSCONI ASSORO,IL POPOLO DELLA LIBERTA',407,,
ASSORO,,FRATELLI D'ITALIA,82,,
ASSORO,,GRANDE SUD - MPA,43,,
ASSORO,,MIR - MODERATI IN RIVOLUZIONE,8,,
ASSORO,,LEGA NORD,6,,
ASSORO,,LA DESTRA,5,,
ASSORO,GIUSEPPE PIERO GRILLO ASSORO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,883,,
ASSORO,MARIO MONTI ASSORO,SCELTA CIVICA CON MONTI PER L'ITALIA,151,,
ASSORO,,UNIONE DI CENTRO,49,,
ASSORO,,FUTURO E LIBERTA',12,,
ASSORO,ANTONIO INGROIA ASSORO,RIVOLUZIONE CIVILE,136,,
ASSORO,OSCAR FULVIO GIANNINO ASSORO,FARE PER FERMARE IL DECLINO,4,,
ASSORO,MARCO FERRANDO ASSORO,PARTITO COMUNISTA DEI LAVORATORI,10,,
ASSORO,ROBERTO FIORE ASSORO,FORZA NUOVA,2,,
ASSORO,GIACINTO MARCO PANNELLA ASSORO,LISTA AMNISTIA GIUSTIZIA LIBERTA',12,,
ASSORO,LUCA ROMAGNOLI ASSORO,FIAMMA TRICOLORE,8,,
ASSORO,RENATA JANNUZZI ASSORO,LIBERALI PER L'ITALIA - PLI,6,,
ASSORO,FRANCO TORCHIA ASSORO,PRI,3,,
ASSORO,MARINA PETRINI ASSORO,MOVIMENTO PROGETTO ITALIA - MID,11,,
BARRAFRANCA,PIER LUIGI BERSANI BARRAFRANCA,PARTITO DEMOCRATICO,952,,
BARRAFRANCA,,CENTRO DEMOCRATICO,193,,
BARRAFRANCA,,SINISTRA ECOLOGIA LIBERTA',76,,
BARRAFRANCA,SILVIO BERLUSCONI BARRAFRANCA,IL POPOLO DELLA LIBERTA',1236,,
BARRAFRANCA,,GRANDE SUD - MPA,205,,
BARRAFRANCA,,FRATELLI D'ITALIA,152,,
BARRAFRANCA,,MIR - MODERATI IN RIVOLUZIONE,77,,
BARRAFRANCA,,LEGA NORD,55,,
BARRAFRANCA,,LA DESTRA,20,,
BARRAFRANCA,GIUSEPPE PIERO GRILLO BARRAFRANCA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2482,,
