Ente,Candidato,Liste/Gruppi,Voti lista,,
AUGUSTA,PIER LUIGI BERSANI AUGUSTA,PARTITO DEMOCRATICO,3849,,
AUGUSTA,,SINISTRA ECOLOGIA LIBERTA',330,,
AUGUSTA,,CENTRO DEMOCRATICO,137,,
AUGUSTA,SILVIO BERLUSCONI AUGUSTA,IL POPOLO DELLA LIBERTA',3756,,
AUGUSTA,,FRATELLI D'ITALIA,180,,
AUGUSTA,,GRANDE SUD - MPA,167,,
AUGUSTA,,MIR - MODERATI IN RIVOLUZIONE,165,,
AUGUSTA,,LA DESTRA,109,,
AUGUSTA,,LEGA NORD,14,,
AUGUSTA,GIUSEPPE PIERO GRILLO AUGUSTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,8252,,
AUGUSTA,MARIO MONTI AUGUSTA,SCELTA CIVICA CON MONTI PER L'ITALIA,1016,,
AUGUSTA,,FUTURO E LIBERTA',298,,
AUGUSTA,,UNIONE DI CENTRO,199,,
AUGUSTA,ANTONIO INGROIA AUGUSTA,RIVOLUZIONE CIVILE,753,,
AUGUSTA,OSCAR FULVIO GIANNINO AUGUSTA,FARE PER FERMARE IL DECLINO,85,,
AUGUSTA,MARCO FERRANDO AUGUSTA,PARTITO COMUNISTA DEI LAVORATORI,57,,
AUGUSTA,ROBERTO FIORE AUGUSTA,FORZA NUOVA,21,,
AUGUSTA,GIACINTO MARCO PANNELLA AUGUSTA,LISTA AMNISTIA GIUSTIZIA LIBERTA',69,,
AUGUSTA,LUCA ROMAGNOLI AUGUSTA,FIAMMA TRICOLORE,38,,
AUGUSTA,RENATA JANNUZZI AUGUSTA,LIBERALI PER L'ITALIA - PLI,35,,
AUGUSTA,FRANCO TORCHIA AUGUSTA,PRI,14,,
AUGUSTA,MARINA PETRINI AUGUSTA,MOVIMENTO PROGETTO ITALIA - MID,18,,
AVOLA,PIER LUIGI BERSANI AVOLA,PARTITO DEMOCRATICO,3023,,
AVOLA,,CENTRO DEMOCRATICO,299,,
AVOLA,,SINISTRA ECOLOGIA LIBERTA',267,,
AVOLA,SILVIO BERLUSCONI AVOLA,IL POPOLO DELLA LIBERTA',3175,,
AVOLA,,GRANDE SUD - MPA,497,,
AVOLA,,FRATELLI D'ITALIA,299,,
AVOLA,,LA DESTRA,49,,
AVOLA,,MIR - MODERATI IN RIVOLUZIONE,23,,
AVOLA,,LEGA NORD,17,,
AVOLA,GIUSEPPE PIERO GRILLO AVOLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4756,,
AVOLA,MARIO MONTI AVOLA,SCELTA CIVICA CON MONTI PER L'ITALIA,615,,
AVOLA,,UNIONE DI CENTRO,308,,
AVOLA,,FUTURO E LIBERTA',201,,
AVOLA,ANTONIO INGROIA AVOLA,RIVOLUZIONE CIVILE,590,,
AVOLA,OSCAR FULVIO GIANNINO AVOLA,FARE PER FERMARE IL DECLINO,30,,
AVOLA,MARCO FERRANDO AVOLA,PARTITO COMUNISTA DEI LAVORATORI,57,,
AVOLA,ROBERTO FIORE AVOLA,FORZA NUOVA,33,,
AVOLA,GIACINTO MARCO PANNELLA AVOLA,LISTA AMNISTIA GIUSTIZIA LIBERTA',45,,
AVOLA,LUCA ROMAGNOLI AVOLA,FIAMMA TRICOLORE,50,,
AVOLA,RENATA JANNUZZI AVOLA,LIBERALI PER L'ITALIA - PLI,25,,
AVOLA,FRANCO TORCHIA AVOLA,PRI,7,,
AVOLA,MARINA PETRINI AVOLA,MOVIMENTO PROGETTO ITALIA - MID,14,,
BUCCHERI,PIER LUIGI BERSANI BUCCHERI,PARTITO DEMOCRATICO,382,,
BUCCHERI,,SINISTRA ECOLOGIA LIBERTA',41,,
BUCCHERI,,CENTRO DEMOCRATICO,15,,
BUCCHERI,SILVIO BERLUSCONI BUCCHERI,IL POPOLO DELLA LIBERTA',126,,
BUCCHERI,,LA DESTRA,16,,
BUCCHERI,,GRANDE SUD - MPA,7,,
BUCCHERI,,FRATELLI D'ITALIA,5,,
BUCCHERI,,MIR - MODERATI IN RIVOLUZIONE,2,,
BUCCHERI,,LEGA NORD,1,,
BUCCHERI,GIUSEPPE PIERO GRILLO BUCCHERI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,394,,
BUCCHERI,MARIO MONTI BUCCHERI,SCELTA CIVICA CON MONTI PER L'ITALIA,76,,
BUCCHERI,,UNIONE DI CENTRO,9,,
BUCCHERI,,FUTURO E LIBERTA',6,,
BUCCHERI,ANTONIO INGROIA BUCCHERI,RIVOLUZIONE CIVILE,21,,
BUCCHERI,OSCAR FULVIO GIANNINO BUCCHERI,FARE PER FERMARE IL DECLINO,2,,
BUCCHERI,MARCO FERRANDO BUCCHERI,PARTITO COMUNISTA DEI LAVORATORI,4,,
BUCCHERI,ROBERTO FIORE BUCCHERI,FORZA NUOVA,0,,
BUCCHERI,GIACINTO MARCO PANNELLA BUCCHERI,LISTA AMNISTIA GIUSTIZIA LIBERTA',7,,
BUCCHERI,LUCA ROMAGNOLI BUCCHERI,FIAMMA TRICOLORE,2,,
BUCCHERI,RENATA JANNUZZI BUCCHERI,LIBERALI PER L'ITALIA - PLI,3,,
BUCCHERI,FRANCO TORCHIA BUCCHERI,PRI,2,,
BUCCHERI,MARINA PETRINI BUCCHERI,MOVIMENTO PROGETTO ITALIA - MID,1,,
BUSCEMI,PIER LUIGI BERSANI BUSCEMI,PARTITO DEMOCRATICO,130,,
BUSCEMI,,SINISTRA ECOLOGIA LIBERTA',9,,
BUSCEMI,,CENTRO DEMOCRATICO,1,,
BUSCEMI,SILVIO BERLUSCONI BUSCEMI,IL POPOLO DELLA LIBERTA',75,,
BUSCEMI,,FRATELLI D'ITALIA,6,,
BUSCEMI,,GRANDE SUD - MPA,3,,
BUSCEMI,,LA DESTRA,3,,
BUSCEMI,,LEGA NORD,2,,
BUSCEMI,,MIR - MODERATI IN RIVOLUZIONE,1,,
BUSCEMI,GIUSEPPE PIERO GRILLO BUSCEMI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,233,,
BUSCEMI,MARIO MONTI BUSCEMI,SCELTA CIVICA CON MONTI PER L'ITALIA,53,,
BUSCEMI,,UNIONE DI CENTRO,9,,
BUSCEMI,,FUTURO E LIBERTA',5,,
BUSCEMI,ANTONIO INGROIA BUSCEMI,RIVOLUZIONE CIVILE,23,,
BUSCEMI,OSCAR FULVIO GIANNINO BUSCEMI,FARE PER FERMARE IL DECLINO,0,,
BUSCEMI,MARCO FERRANDO BUSCEMI,PARTITO COMUNISTA DEI LAVORATORI,3,,
BUSCEMI,ROBERTO FIORE BUSCEMI,FORZA NUOVA,3,,
BUSCEMI,GIACINTO MARCO PANNELLA BUSCEMI,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
BUSCEMI,LUCA ROMAGNOLI BUSCEMI,FIAMMA TRICOLORE,0,,
BUSCEMI,RENATA JANNUZZI BUSCEMI,LIBERALI PER L'ITALIA - PLI,2,,
BUSCEMI,FRANCO TORCHIA BUSCEMI,PRI,0,,
BUSCEMI,MARINA PETRINI BUSCEMI,MOVIMENTO PROGETTO ITALIA - MID,1,,
CANICATTINI BAGNI,PIER LUIGI BERSANI CANICATTINI BAGNI,PARTITO DEMOCRATICO,783,,
CANICATTINI BAGNI,,SINISTRA ECOLOGIA LIBERTA',106,,
CANICATTINI BAGNI,,CENTRO DEMOCRATICO,39,,
CANICATTINI BAGNI,SILVIO BERLUSCONI CANICATTINI BAGNI,IL POPOLO DELLA LIBERTA',958,,
CANICATTINI BAGNI,,FRATELLI D'ITALIA,32,,
CANICATTINI BAGNI,,GRANDE SUD - MPA,26,,
CANICATTINI BAGNI,,LA DESTRA,24,,
CANICATTINI BAGNI,,LEGA NORD,5,,
CANICATTINI BAGNI,,MIR - MODERATI IN RIVOLUZIONE,4,,
CANICATTINI BAGNI,GIUSEPPE PIERO GRILLO CANICATTINI BAGNI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1278,,
CANICATTINI BAGNI,MARIO MONTI CANICATTINI BAGNI,SCELTA CIVICA CON MONTI PER L'ITALIA,212,,
CANICATTINI BAGNI,,UNIONE DI CENTRO,47,,
CANICATTINI BAGNI,,FUTURO E LIBERTA',19,,
CANICATTINI BAGNI,ANTONIO INGROIA CANICATTINI BAGNI,RIVOLUZIONE CIVILE,147,,
CANICATTINI BAGNI,OSCAR FULVIO GIANNINO CANICATTINI BAGNI,FARE PER FERMARE IL DECLINO,7,,
CANICATTINI BAGNI,MARCO FERRANDO CANICATTINI BAGNI,PARTITO COMUNISTA DEI LAVORATORI,11,,
CANICATTINI BAGNI,ROBERTO FIORE CANICATTINI BAGNI,FORZA NUOVA,9,,
CANICATTINI BAGNI,GIACINTO MARCO PANNELLA CANICATTINI BAGNI,LISTA AMNISTIA GIUSTIZIA LIBERTA',22,,
CANICATTINI BAGNI,LUCA ROMAGNOLI CANICATTINI BAGNI,FIAMMA TRICOLORE,15,,
CANICATTINI BAGNI,RENATA JANNUZZI CANICATTINI BAGNI,LIBERALI PER L'ITALIA - PLI,16,,
CANICATTINI BAGNI,FRANCO TORCHIA CANICATTINI BAGNI,PRI,3,,
CANICATTINI BAGNI,MARINA PETRINI CANICATTINI BAGNI,MOVIMENTO PROGETTO ITALIA - MID,6,,
CARLENTINI,PIER LUIGI BERSANI CARLENTINI,PARTITO DEMOCRATICO,2072,,
CARLENTINI,,SINISTRA ECOLOGIA LIBERTA',210,,
CARLENTINI,,CENTRO DEMOCRATICO,102,,
CARLENTINI,SILVIO BERLUSCONI CARLENTINI,IL POPOLO DELLA LIBERTA',1677,,
CARLENTINI,,GRANDE SUD - MPA,242,,
CARLENTINI,,MIR - MODERATI IN RIVOLUZIONE,127,,
CARLENTINI,,FRATELLI D'ITALIA,86,,
CARLENTINI,,LA DESTRA,50,,
CARLENTINI,,LEGA NORD,25,,
CARLENTINI,GIUSEPPE PIERO GRILLO CARLENTINI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3688,,
CARLENTINI,MARIO MONTI CARLENTINI,SCELTA CIVICA CON MONTI PER L'ITALIA,445,,
CARLENTINI,,UNIONE DI CENTRO,96,,
CARLENTINI,,FUTURO E LIBERTA',63,,
CARLENTINI,ANTONIO INGROIA CARLENTINI,RIVOLUZIONE CIVILE,367,,
CARLENTINI,OSCAR FULVIO GIANNINO CARLENTINI,FARE PER FERMARE IL DECLINO,33,,
CARLENTINI,MARCO FERRANDO CARLENTINI,PARTITO COMUNISTA DEI LAVORATORI,30,,
CARLENTINI,ROBERTO FIORE CARLENTINI,FORZA NUOVA,10,,
CARLENTINI,GIACINTO MARCO PANNELLA CARLENTINI,LISTA AMNISTIA GIUSTIZIA LIBERTA',42,,
CARLENTINI,LUCA ROMAGNOLI CARLENTINI,FIAMMA TRICOLORE,14,,
CARLENTINI,RENATA JANNUZZI CARLENTINI,LIBERALI PER L'ITALIA - PLI,19,,
CARLENTINI,FRANCO TORCHIA CARLENTINI,PRI,5,,
CARLENTINI,MARINA PETRINI CARLENTINI,MOVIMENTO PROGETTO ITALIA - MID,11,,
CASSARO,PIER LUIGI BERSANI CASSARO,PARTITO DEMOCRATICO,121,,
CASSARO,,CENTRO DEMOCRATICO,22,,
CASSARO,,SINISTRA ECOLOGIA LIBERTA',17,,
CASSARO,SILVIO BERLUSCONI CASSARO,IL POPOLO DELLA LIBERTA',42,,
CASSARO,,MIR - MODERATI IN RIVOLUZIONE,4,,
CASSARO,,GRANDE SUD - MPA,4,,
CASSARO,,FRATELLI D'ITALIA,2,,
CASSARO,,LA DESTRA,1,,
CASSARO,,LEGA NORD,0,,
CASSARO,GIUSEPPE PIERO GRILLO CASSARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,164,,
CASSARO,MARIO MONTI CASSARO,SCELTA CIVICA CON MONTI PER L'ITALIA,28,,
CASSARO,,UNIONE DI CENTRO,2,,
CASSARO,,FUTURO E LIBERTA',0,,
CASSARO,ANTONIO INGROIA CASSARO,RIVOLUZIONE CIVILE,19,,
CASSARO,OSCAR FULVIO GIANNINO CASSARO,FARE PER FERMARE IL DECLINO,1,,
CASSARO,MARCO FERRANDO CASSARO,PARTITO COMUNISTA DEI LAVORATORI,1,,
CASSARO,ROBERTO FIORE CASSARO,FORZA NUOVA,0,,
CASSARO,GIACINTO MARCO PANNELLA CASSARO,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
CASSARO,LUCA ROMAGNOLI CASSARO,FIAMMA TRICOLORE,1,,
CASSARO,RENATA JANNUZZI CASSARO,LIBERALI PER L'ITALIA - PLI,0,,
CASSARO,FRANCO TORCHIA CASSARO,PRI,0,,
CASSARO,MARINA PETRINI CASSARO,MOVIMENTO PROGETTO ITALIA - MID,0,,
FERLA,PIER LUIGI BERSANI FERLA,PARTITO DEMOCRATICO,366,,
FERLA,,SINISTRA ECOLOGIA LIBERTA',17,,
FERLA,,CENTRO DEMOCRATICO,12,,
FERLA,SILVIO BERLUSCONI FERLA,IL POPOLO DELLA LIBERTA',166,,
FERLA,,GRANDE SUD - MPA,16,,
FERLA,,FRATELLI D'ITALIA,13,,
FERLA,,MIR - MODERATI IN RIVOLUZIONE,8,,
FERLA,,LA DESTRA,3,,
FERLA,,LEGA NORD,1,,
FERLA,GIUSEPPE PIERO GRILLO FERLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,342,,
FERLA,MARIO MONTI FERLA,SCELTA CIVICA CON MONTI PER L'ITALIA,110,,
FERLA,,UNIONE DI CENTRO,13,,
FERLA,,FUTURO E LIBERTA',3,,
FERLA,ANTONIO INGROIA FERLA,RIVOLUZIONE CIVILE,47,,
FERLA,OSCAR FULVIO GIANNINO FERLA,FARE PER FERMARE IL DECLINO,6,,
FERLA,MARCO FERRANDO FERLA,PARTITO COMUNISTA DEI LAVORATORI,8,,
FERLA,ROBERTO FIORE FERLA,FORZA NUOVA,1,,
FERLA,GIACINTO MARCO PANNELLA FERLA,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
FERLA,LUCA ROMAGNOLI FERLA,FIAMMA TRICOLORE,6,,
FERLA,RENATA JANNUZZI FERLA,LIBERALI PER L'ITALIA - PLI,8,,
FERLA,FRANCO TORCHIA FERLA,PRI,1,,
FERLA,MARINA PETRINI FERLA,MOVIMENTO PROGETTO ITALIA - MID,3,,
FLORIDIA,PIER LUIGI BERSANI FLORIDIA,PARTITO DEMOCRATICO,2078,,
FLORIDIA,,CENTRO DEMOCRATICO,192,,
FLORIDIA,,SINISTRA ECOLOGIA LIBERTA',152,,
FLORIDIA,SILVIO BERLUSCONI FLORIDIA,IL POPOLO DELLA LIBERTA',2589,,
FLORIDIA,,GRANDE SUD - MPA,205,,
FLORIDIA,,FRATELLI D'ITALIA,60,,
FLORIDIA,,LA DESTRA,58,,
FLORIDIA,,MIR - MODERATI IN RIVOLUZIONE,33,,
FLORIDIA,,LEGA NORD,19,,
FLORIDIA,GIUSEPPE PIERO GRILLO FLORIDIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4859,,
FLORIDIA,MARIO MONTI FLORIDIA,SCELTA CIVICA CON MONTI PER L'ITALIA,472,,
FLORIDIA,,UNIONE DI CENTRO,141,,
FLORIDIA,,FUTURO E LIBERTA',43,,
FLORIDIA,ANTONIO INGROIA FLORIDIA,RIVOLUZIONE CIVILE,285,,
FLORIDIA,OSCAR FULVIO GIANNINO FLORIDIA,FARE PER FERMARE IL DECLINO,25,,
FLORIDIA,MARCO FERRANDO FLORIDIA,PARTITO COMUNISTA DEI LAVORATORI,27,,
FLORIDIA,ROBERTO FIORE FLORIDIA,FORZA NUOVA,15,,
FLORIDIA,GIACINTO MARCO PANNELLA FLORIDIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',50,,
FLORIDIA,LUCA ROMAGNOLI FLORIDIA,FIAMMA TRICOLORE,24,,
FLORIDIA,RENATA JANNUZZI FLORIDIA,LIBERALI PER L'ITALIA - PLI,35,,
FLORIDIA,FRANCO TORCHIA FLORIDIA,PRI,24,,
FLORIDIA,MARINA PETRINI FLORIDIA,MOVIMENTO PROGETTO ITALIA - MID,8,,
FRANCOFONTE,PIER LUIGI BERSANI FRANCOFONTE,PARTITO DEMOCRATICO,1249,,
FRANCOFONTE,,CENTRO DEMOCRATICO,236,,
FRANCOFONTE,,SINISTRA ECOLOGIA LIBERTA',79,,
FRANCOFONTE,SILVIO BERLUSCONI FRANCOFONTE,IL POPOLO DELLA LIBERTA',1641,,
FRANCOFONTE,,GRANDE SUD - MPA,114,,
FRANCOFONTE,,FRATELLI D'ITALIA,67,,
FRANCOFONTE,,LA DESTRA,67,,
FRANCOFONTE,,MIR - MODERATI IN RIVOLUZIONE,16,,
FRANCOFONTE,,LEGA NORD,9,,
FRANCOFONTE,GIUSEPPE PIERO GRILLO FRANCOFONTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1673,,
FRANCOFONTE,MARIO MONTI FRANCOFONTE,SCELTA CIVICA CON MONTI PER L'ITALIA,224,,
FRANCOFONTE,,UNIONE DI CENTRO,66,,
FRANCOFONTE,,FUTURO E LIBERTA',17,,
FRANCOFONTE,ANTONIO INGROIA FRANCOFONTE,RIVOLUZIONE CIVILE,305,,
