Ente,Candidato,Liste/Gruppi,Voti lista,,
CANTAGALLO,PIER LUIGI BERSANI CANTAGALLO,PARTITO DEMOCRATICO,686,,
CANTAGALLO,,SINISTRA ECOLOGIA LIBERTA',44,,
CANTAGALLO,,CENTRO DEMOCRATICO,6,,
CANTAGALLO,SILVIO BERLUSCONI CANTAGALLO,IL POPOLO DELLA LIBERTA',255,,
CANTAGALLO,,FRATELLI D'ITALIA,20,,
CANTAGALLO,,LEGA NORD,19,,
CANTAGALLO,,LA DESTRA,3,,
CANTAGALLO,,MIR - MODERATI IN RIVOLUZIONE,0,,
CANTAGALLO,GIUSEPPE PIERO GRILLO CANTAGALLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,392,,
CANTAGALLO,MARIO MONTI CANTAGALLO,SCELTA CIVICA CON MONTI PER L'ITALIA,105,,
CANTAGALLO,,UNIONE DI CENTRO,17,,
CANTAGALLO,,FUTURO E LIBERTA',10,,
CANTAGALLO,ANTONIO INGROIA CANTAGALLO,RIVOLUZIONE CIVILE,44,,
CANTAGALLO,OSCAR FULVIO GIANNINO CANTAGALLO,FARE PER FERMARE IL DECLINO,19,,
CANTAGALLO,MARCO FERRANDO CANTAGALLO,PARTITO COMUNISTA DEI LAVORATORI,10,,
CANTAGALLO,ROBERTO FIORE CANTAGALLO,FORZA NUOVA,5,,
CANTAGALLO,GIACINTO MARCO PANNELLA CANTAGALLO,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
CANTAGALLO,SIMONE DI STEFANO CANTAGALLO,CASAPOUND ITALIA,5,,
CANTAGALLO,MAGDI CRISTIANO ALLAM CANTAGALLO,IO AMO L'ITALIA,3,,
CARMIGNANO,PIER LUIGI BERSANI CARMIGNANO,PARTITO DEMOCRATICO,2700,,
CARMIGNANO,,SINISTRA ECOLOGIA LIBERTA',265,,
CARMIGNANO,,CENTRO DEMOCRATICO,23,,
CARMIGNANO,SILVIO BERLUSCONI CARMIGNANO,IL POPOLO DELLA LIBERTA',1729,,
CARMIGNANO,,FRATELLI D'ITALIA,171,,
CARMIGNANO,,LEGA NORD,73,,
CARMIGNANO,,LA DESTRA,59,,
CARMIGNANO,,MIR - MODERATI IN RIVOLUZIONE,6,,
CARMIGNANO,GIUSEPPE PIERO GRILLO CARMIGNANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2077,,
CARMIGNANO,MARIO MONTI CARMIGNANO,SCELTA CIVICA CON MONTI PER L'ITALIA,566,,
CARMIGNANO,,UNIONE DI CENTRO,80,,
CARMIGNANO,,FUTURO E LIBERTA',33,,
CARMIGNANO,ANTONIO INGROIA CARMIGNANO,RIVOLUZIONE CIVILE,197,,
CARMIGNANO,OSCAR FULVIO GIANNINO CARMIGNANO,FARE PER FERMARE IL DECLINO,131,,
CARMIGNANO,MARCO FERRANDO CARMIGNANO,PARTITO COMUNISTA DEI LAVORATORI,52,,
CARMIGNANO,ROBERTO FIORE CARMIGNANO,FORZA NUOVA,21,,
CARMIGNANO,GIACINTO MARCO PANNELLA CARMIGNANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',20,,
CARMIGNANO,SIMONE DI STEFANO CARMIGNANO,CASAPOUND ITALIA,15,,
CARMIGNANO,MAGDI CRISTIANO ALLAM CARMIGNANO,IO AMO L'ITALIA,16,,
MONTEMURLO,PIER LUIGI BERSANI MONTEMURLO,PARTITO DEMOCRATICO,3827,,
MONTEMURLO,,SINISTRA ECOLOGIA LIBERTA',225,,
MONTEMURLO,,CENTRO DEMOCRATICO,22,,
MONTEMURLO,SILVIO BERLUSCONI MONTEMURLO,IL POPOLO DELLA LIBERTA',2035,,
MONTEMURLO,,FRATELLI D'ITALIA,167,,
MONTEMURLO,,LEGA NORD,117,,
MONTEMURLO,,LA DESTRA,77,,
MONTEMURLO,,MIR - MODERATI IN RIVOLUZIONE,14,,
MONTEMURLO,GIUSEPPE PIERO GRILLO MONTEMURLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2812,,
MONTEMURLO,MARIO MONTI MONTEMURLO,SCELTA CIVICA CON MONTI PER L'ITALIA,721,,
MONTEMURLO,,UNIONE DI CENTRO,79,,
MONTEMURLO,,FUTURO E LIBERTA',31,,
MONTEMURLO,ANTONIO INGROIA MONTEMURLO,RIVOLUZIONE CIVILE,193,,
MONTEMURLO,OSCAR FULVIO GIANNINO MONTEMURLO,FARE PER FERMARE IL DECLINO,105,,
MONTEMURLO,MARCO FERRANDO MONTEMURLO,PARTITO COMUNISTA DEI LAVORATORI,88,,
MONTEMURLO,ROBERTO FIORE MONTEMURLO,FORZA NUOVA,34,,
MONTEMURLO,GIACINTO MARCO PANNELLA MONTEMURLO,LISTA AMNISTIA GIUSTIZIA LIBERTA',32,,
MONTEMURLO,SIMONE DI STEFANO MONTEMURLO,CASAPOUND ITALIA,34,,
MONTEMURLO,MAGDI CRISTIANO ALLAM MONTEMURLO,IO AMO L'ITALIA,33,,
POGGIO A CAIANO,PIER LUIGI BERSANI POGGIO A CAIANO,PARTITO DEMOCRATICO,1945,,
POGGIO A CAIANO,,SINISTRA ECOLOGIA LIBERTA',115,,
POGGIO A CAIANO,,CENTRO DEMOCRATICO,10,,
POGGIO A CAIANO,SILVIO BERLUSCONI POGGIO A CAIANO,IL POPOLO DELLA LIBERTA',1331,,
POGGIO A CAIANO,,FRATELLI D'ITALIA,103,,
POGGIO A CAIANO,,LEGA NORD,58,,
POGGIO A CAIANO,,LA DESTRA,38,,
POGGIO A CAIANO,,MIR - MODERATI IN RIVOLUZIONE,2,,
POGGIO A CAIANO,GIUSEPPE PIERO GRILLO POGGIO A CAIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1344,,
POGGIO A CAIANO,MARIO MONTI POGGIO A CAIANO,SCELTA CIVICA CON MONTI PER L'ITALIA,504,,
POGGIO A CAIANO,,UNIONE DI CENTRO,88,,
POGGIO A CAIANO,,FUTURO E LIBERTA',24,,
POGGIO A CAIANO,ANTONIO INGROIA POGGIO A CAIANO,RIVOLUZIONE CIVILE,105,,
POGGIO A CAIANO,OSCAR FULVIO GIANNINO POGGIO A CAIANO,FARE PER FERMARE IL DECLINO,87,,
POGGIO A CAIANO,MARCO FERRANDO POGGIO A CAIANO,PARTITO COMUNISTA DEI LAVORATORI,26,,
POGGIO A CAIANO,ROBERTO FIORE POGGIO A CAIANO,FORZA NUOVA,26,,
POGGIO A CAIANO,GIACINTO MARCO PANNELLA POGGIO A CAIANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',13,,
POGGIO A CAIANO,SIMONE DI STEFANO POGGIO A CAIANO,CASAPOUND ITALIA,12,,
POGGIO A CAIANO,MAGDI CRISTIANO ALLAM POGGIO A CAIANO,IO AMO L'ITALIA,13,,
PRATO,PIER LUIGI BERSANI PRATO,PARTITO DEMOCRATICO,38816,,
PRATO,,SINISTRA ECOLOGIA LIBERTA',2944,,
PRATO,,CENTRO DEMOCRATICO,268,,
PRATO,SILVIO BERLUSCONI PRATO,IL POPOLO DELLA LIBERTA',19081,,
PRATO,,FRATELLI D'ITALIA,1919,,
PRATO,,LEGA NORD,834,,
PRATO,,LA DESTRA,530,,
PRATO,,MIR - MODERATI IN RIVOLUZIONE,116,,
PRATO,GIUSEPPE PIERO GRILLO PRATO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24185,,
PRATO,MARIO MONTI PRATO,SCELTA CIVICA CON MONTI PER L'ITALIA,7658,,
PRATO,,UNIONE DI CENTRO,1181,,
PRATO,,FUTURO E LIBERTA',348,,
PRATO,ANTONIO INGROIA PRATO,RIVOLUZIONE CIVILE,2005,,
PRATO,OSCAR FULVIO GIANNINO PRATO,FARE PER FERMARE IL DECLINO,1523,,
PRATO,MARCO FERRANDO PRATO,PARTITO COMUNISTA DEI LAVORATORI,559,,
PRATO,ROBERTO FIORE PRATO,FORZA NUOVA,274,,
PRATO,GIACINTO MARCO PANNELLA PRATO,LISTA AMNISTIA GIUSTIZIA LIBERTA',269,,
PRATO,SIMONE DI STEFANO PRATO,CASAPOUND ITALIA,317,,
PRATO,MAGDI CRISTIANO ALLAM PRATO,IO AMO L'ITALIA,185,,
VAIANO,PIER LUIGI BERSANI VAIANO,PARTITO DEMOCRATICO,2571,,
VAIANO,,SINISTRA ECOLOGIA LIBERTA',171,,
VAIANO,,CENTRO DEMOCRATICO,16,,
VAIANO,SILVIO BERLUSCONI VAIANO,IL POPOLO DELLA LIBERTA',1069,,
VAIANO,,LEGA NORD,79,,
VAIANO,,FRATELLI D'ITALIA,69,,
