Ente,Candidato,Liste/Gruppi,Voti lista,,
ABBADIA SAN SALVATORE,PIER LUIGI BERSANI ABBADIA SAN SALVATORE,PARTITO DEMOCRATICO,1826,,
ABBADIA SAN SALVATORE,,SINISTRA ECOLOGIA LIBERTA',149,,
ABBADIA SAN SALVATORE,,CENTRO DEMOCRATICO,5,,
ABBADIA SAN SALVATORE,SILVIO BERLUSCONI ABBADIA SAN SALVATORE,IL POPOLO DELLA LIBERTA',518,,
ABBADIA SAN SALVATORE,,FRATELLI D'ITALIA,47,,
ABBADIA SAN SALVATORE,,LEGA NORD,23,,
ABBADIA SAN SALVATORE,,LA DESTRA,12,,
ABBADIA SAN SALVATORE,,MIR - MODERATI IN RIVOLUZIONE,2,,
ABBADIA SAN SALVATORE,GIUSEPPE PIERO GRILLO ABBADIA SAN SALVATORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,813,,
ABBADIA SAN SALVATORE,MARIO MONTI ABBADIA SAN SALVATORE,SCELTA CIVICA CON MONTI PER L'ITALIA,242,,
ABBADIA SAN SALVATORE,,UNIONE DI CENTRO,33,,
ABBADIA SAN SALVATORE,,FUTURO E LIBERTA',7,,
ABBADIA SAN SALVATORE,ANTONIO INGROIA ABBADIA SAN SALVATORE,RIVOLUZIONE CIVILE,134,,
ABBADIA SAN SALVATORE,OSCAR FULVIO GIANNINO ABBADIA SAN SALVATORE,FARE PER FERMARE IL DECLINO,17,,
ABBADIA SAN SALVATORE,MARCO FERRANDO ABBADIA SAN SALVATORE,PARTITO COMUNISTA DEI LAVORATORI,34,,
ABBADIA SAN SALVATORE,ROBERTO FIORE ABBADIA SAN SALVATORE,FORZA NUOVA,9,,
ABBADIA SAN SALVATORE,GIACINTO MARCO PANNELLA ABBADIA SAN SALVATORE,LISTA AMNISTIA GIUSTIZIA LIBERTA',13,,
ABBADIA SAN SALVATORE,SIMONE DI STEFANO ABBADIA SAN SALVATORE,CASAPOUND ITALIA,2,,
ABBADIA SAN SALVATORE,MAGDI CRISTIANO ALLAM ABBADIA SAN SALVATORE,IO AMO L'ITALIA,2,,
ASCIANO,PIER LUIGI BERSANI ASCIANO,PARTITO DEMOCRATICO,1746,,
ASCIANO,,SINISTRA ECOLOGIA LIBERTA',178,,
ASCIANO,,CENTRO DEMOCRATICO,11,,
ASCIANO,SILVIO BERLUSCONI ASCIANO,IL POPOLO DELLA LIBERTA',723,,
ASCIANO,,FRATELLI D'ITALIA,66,,
ASCIANO,,LA DESTRA,48,,
ASCIANO,,LEGA NORD,26,,
ASCIANO,,MIR - MODERATI IN RIVOLUZIONE,3,,
ASCIANO,GIUSEPPE PIERO GRILLO ASCIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,950,,
ASCIANO,MARIO MONTI ASCIANO,SCELTA CIVICA CON MONTI PER L'ITALIA,311,,
ASCIANO,,UNIONE DI CENTRO,34,,
ASCIANO,,FUTURO E LIBERTA',12,,
ASCIANO,ANTONIO INGROIA ASCIANO,RIVOLUZIONE CIVILE,103,,
ASCIANO,OSCAR FULVIO GIANNINO ASCIANO,FARE PER FERMARE IL DECLINO,27,,
ASCIANO,MARCO FERRANDO ASCIANO,PARTITO COMUNISTA DEI LAVORATORI,18,,
ASCIANO,ROBERTO FIORE ASCIANO,FORZA NUOVA,13,,
ASCIANO,GIACINTO MARCO PANNELLA ASCIANO,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
ASCIANO,SIMONE DI STEFANO ASCIANO,CASAPOUND ITALIA,11,,
ASCIANO,MAGDI CRISTIANO ALLAM ASCIANO,IO AMO L'ITALIA,8,,
BUONCONVENTO,PIER LUIGI BERSANI BUONCONVENTO,PARTITO DEMOCRATICO,877,,
BUONCONVENTO,,SINISTRA ECOLOGIA LIBERTA',90,,
BUONCONVENTO,,CENTRO DEMOCRATICO,1,,
BUONCONVENTO,SILVIO BERLUSCONI BUONCONVENTO,IL POPOLO DELLA LIBERTA',368,,
BUONCONVENTO,,FRATELLI D'ITALIA,22,,
BUONCONVENTO,,LEGA NORD,11,,
BUONCONVENTO,,LA DESTRA,8,,
BUONCONVENTO,,MIR - MODERATI IN RIVOLUZIONE,1,,
BUONCONVENTO,GIUSEPPE PIERO GRILLO BUONCONVENTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,364,,
