Ente,Candidato,Liste/Gruppi,Voti lista,,
AGUGLIARO,PIER LUIGI BERSANI AGUGLIARO,PARTITO DEMOCRATICO,155,,
AGUGLIARO,,SINISTRA ECOLOGIA LIBERTA',8,,
AGUGLIARO,,CENTRO DEMOCRATICO,2,,
AGUGLIARO,SILVIO BERLUSCONI AGUGLIARO,IL POPOLO DELLA LIBERTA',165,,
AGUGLIARO,,LEGA NORD,78,,
AGUGLIARO,,FRATELLI D'ITALIA,26,,
AGUGLIARO,,PARTITO PENSIONATI,7,,
AGUGLIARO,,LA DESTRA,4,,
AGUGLIARO,,MIR - MODERATI IN RIVOLUZIONE,3,,
AGUGLIARO,GIUSEPPE PIERO GRILLO AGUGLIARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,274,,
AGUGLIARO,MARIO MONTI AGUGLIARO,SCELTA CIVICA CON MONTI PER L'ITALIA,106,,
AGUGLIARO,,UNIONE DI CENTRO,7,,
AGUGLIARO,,FUTURO E LIBERTA',2,,
AGUGLIARO,ANTONIO INGROIA AGUGLIARO,RIVOLUZIONE CIVILE,20,,
AGUGLIARO,OSCAR FULVIO GIANNINO AGUGLIARO,FARE PER FERMARE IL DECLINO,17,,
AGUGLIARO,ROBERTO FIORE AGUGLIARO,FORZA NUOVA,3,,
AGUGLIARO,SIMONE DI STEFANO AGUGLIARO,CASAPOUND ITALIA,0,,
AGUGLIARO,MAGDI CRISTIANO ALLAM AGUGLIARO,IO AMO L'ITALIA,2,,
AGUGLIARO,LODOVICO PIZZATI AGUGLIARO,INDIPENDENZA VENETA,14,,
AGUGLIARO,FABRIZIO COMENCINI AGUGLIARO,LG.VENETA REPUBBLICA,8,,
AGUGLIARO,ANTONIO GUADAGNINI AGUGLIARO,VENETO STATO,8,,
AGUGLIARO,STEFANIA GABRIELLA ANASTASIA CRAXI AGUGLIARO,RIFORMISTI ITALIANI,0,,
AGUGLIARO,PIERO PUSCHIAVO AGUGLIARO,PROGETTO NAZIONALE,4,,
ALBETTONE,PIER LUIGI BERSANI ALBETTONE,PARTITO DEMOCRATICO,142,,
ALBETTONE,,SINISTRA ECOLOGIA LIBERTA',8,,
ALBETTONE,,CENTRO DEMOCRATICO,1,,
