Ente,Candidato,Liste/Gruppi,Voti lista,,
ANNONE VENETO,PIER LUIGI BERSANI ANNONE VENETO,PARTITO DEMOCRATICO,416,,
ANNONE VENETO,,SINISTRA ECOLOGIA LIBERTA',13,,
ANNONE VENETO,,CENTRO DEMOCRATICO,5,,
ANNONE VENETO,SILVIO BERLUSCONI ANNONE VENETO,IL POPOLO DELLA LIBERTA',568,,
ANNONE VENETO,,LEGA NORD,255,,
ANNONE VENETO,,FRATELLI D'ITALIA,37,,
ANNONE VENETO,,LA DESTRA,8,,
ANNONE VENETO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ANNONE VENETO,GIUSEPPE PIERO GRILLO ANNONE VENETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,565,,
ANNONE VENETO,MARIO MONTI ANNONE VENETO,SCELTA CIVICA CON MONTI PER L'ITALIA,242,,
ANNONE VENETO,,UNIONE DI CENTRO,31,,
ANNONE VENETO,,FUTURO E LIBERTA',6,,
ANNONE VENETO,ANTONIO INGROIA ANNONE VENETO,RIVOLUZIONE CIVILE,12,,
ANNONE VENETO,OSCAR FULVIO GIANNINO ANNONE VENETO,FARE PER FERMARE IL DECLINO,18,,
ANNONE VENETO,MARCO FERRANDO ANNONE VENETO,PARTITO COMUNISTA DEI LAVORATORI,13,,
ANNONE VENETO,ROBERTO FIORE ANNONE VENETO,FORZA NUOVA,16,,
ANNONE VENETO,LODOVICO PIZZATI ANNONE VENETO,INDIPENDENZA VENETA,21,,
ANNONE VENETO,ANTONIO GUADAGNINI ANNONE VENETO,VENETO STATO,3,,
CAMPAGNA LUPIA,PIER LUIGI BERSANI CAMPAGNA LUPIA,PARTITO DEMOCRATICO,1321,,
CAMPAGNA LUPIA,,SINISTRA ECOLOGIA LIBERTA',72,,
CAMPAGNA LUPIA,,CENTRO DEMOCRATICO,7,,
CAMPAGNA LUPIA,SILVIO BERLUSCONI CAMPAGNA LUPIA,IL POPOLO DELLA LIBERTA',732,,
CAMPAGNA LUPIA,,LEGA NORD,263,,
CAMPAGNA LUPIA,,FRATELLI D'ITALIA,38,,
CAMPAGNA LUPIA,,LA DESTRA,14,,
CAMPAGNA LUPIA,,MIR - MODERATI IN RIVOLUZIONE,1,,
CAMPAGNA LUPIA,GIUSEPPE PIERO GRILLO CAMPAGNA LUPIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1385,,
CAMPAGNA LUPIA,MARIO MONTI CAMPAGNA LUPIA,SCELTA CIVICA CON MONTI PER L'ITALIA,317,,
CAMPAGNA LUPIA,,UNIONE DI CENTRO,45,,
CAMPAGNA LUPIA,,FUTURO E LIBERTA',10,,
CAMPAGNA LUPIA,ANTONIO INGROIA CAMPAGNA LUPIA,RIVOLUZIONE CIVILE,92,,
CAMPAGNA LUPIA,OSCAR FULVIO GIANNINO CAMPAGNA LUPIA,FARE PER FERMARE IL DECLINO,46,,
CAMPAGNA LUPIA,MARCO FERRANDO CAMPAGNA LUPIA,PARTITO COMUNISTA DEI LAVORATORI,34,,
CAMPAGNA LUPIA,ROBERTO FIORE CAMPAGNA LUPIA,FORZA NUOVA,14,,
CAMPAGNA LUPIA,LODOVICO PIZZATI CAMPAGNA LUPIA,INDIPENDENZA VENETA,26,,
CAMPAGNA LUPIA,ANTONIO GUADAGNINI CAMPAGNA LUPIA,VENETO STATO,10,,
CAMPOLONGO MAGGIORE,PIER LUIGI BERSANI CAMPOLONGO MAGGIORE,PARTITO DEMOCRATICO,1666,,
CAMPOLONGO MAGGIORE,,SINISTRA ECOLOGIA LIBERTA',117,,
CAMPOLONGO MAGGIORE,,CENTRO DEMOCRATICO,4,,
CAMPOLONGO MAGGIORE,SILVIO BERLUSCONI CAMPOLONGO MAGGIORE,IL POPOLO DELLA LIBERTA',1271,,
CAMPOLONGO MAGGIORE,,LEGA NORD,508,,
CAMPOLONGO MAGGIORE,,FRATELLI D'ITALIA,59,,
CAMPOLONGO MAGGIORE,,LA DESTRA,13,,
CAMPOLONGO MAGGIORE,,MIR - MODERATI IN RIVOLUZIONE,8,,
CAMPOLONGO MAGGIORE,GIUSEPPE PIERO GRILLO CAMPOLONGO MAGGIORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2205,,
CAMPOLONGO MAGGIORE,MARIO MONTI CAMPOLONGO MAGGIORE,SCELTA CIVICA CON MONTI PER L'ITALIA,522,,
CAMPOLONGO MAGGIORE,,UNIONE DI CENTRO,122,,
CAMPOLONGO MAGGIORE,,FUTURO E LIBERTA',11,,
CAMPOLONGO MAGGIORE,ANTONIO INGROIA CAMPOLONGO MAGGIORE,RIVOLUZIONE CIVILE,111,,
CAMPOLONGO MAGGIORE,OSCAR FULVIO GIANNINO CAMPOLONGO MAGGIORE,FARE PER FERMARE IL DECLINO,71,,
CAMPOLONGO MAGGIORE,MARCO FERRANDO CAMPOLONGO MAGGIORE,PARTITO COMUNISTA DEI LAVORATORI,40,,
CAMPOLONGO MAGGIORE,ROBERTO FIORE CAMPOLONGO MAGGIORE,FORZA NUOVA,18,,
CAMPOLONGO MAGGIORE,LODOVICO PIZZATI CAMPOLONGO MAGGIORE,INDIPENDENZA VENETA,48,,
CAMPOLONGO MAGGIORE,ANTONIO GUADAGNINI CAMPOLONGO MAGGIORE,VENETO STATO,24,,
CAMPONOGARA,PIER LUIGI BERSANI CAMPONOGARA,PARTITO DEMOCRATICO,2336,,
CAMPONOGARA,,SINISTRA ECOLOGIA LIBERTA',178,,
CAMPONOGARA,,CENTRO DEMOCRATICO,14,,
CAMPONOGARA,SILVIO BERLUSCONI CAMPONOGARA,IL POPOLO DELLA LIBERTA',1248,,
CAMPONOGARA,,LEGA NORD,508,,
CAMPONOGARA,,FRATELLI D'ITALIA,82,,
CAMPONOGARA,,LA DESTRA,12,,
CAMPONOGARA,,MIR - MODERATI IN RIVOLUZIONE,8,,
CAMPONOGARA,GIUSEPPE PIERO GRILLO CAMPONOGARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2717,,
CAMPONOGARA,MARIO MONTI CAMPONOGARA,SCELTA CIVICA CON MONTI PER L'ITALIA,589,,
CAMPONOGARA,,UNIONE DI CENTRO,97,,
CAMPONOGARA,,FUTURO E LIBERTA',13,,
CAMPONOGARA,ANTONIO INGROIA CAMPONOGARA,RIVOLUZIONE CIVILE,119,,
CAMPONOGARA,OSCAR FULVIO GIANNINO CAMPONOGARA,FARE PER FERMARE IL DECLINO,72,,
CAMPONOGARA,MARCO FERRANDO CAMPONOGARA,PARTITO COMUNISTA DEI LAVORATORI,54,,
CAMPONOGARA,ROBERTO FIORE CAMPONOGARA,FORZA NUOVA,29,,
CAMPONOGARA,LODOVICO PIZZATI CAMPONOGARA,INDIPENDENZA VENETA,72,,
CAMPONOGARA,ANTONIO GUADAGNINI CAMPONOGARA,VENETO STATO,29,,
CAORLE,PIER LUIGI BERSANI CAORLE,PARTITO DEMOCRATICO,1225,,
CAORLE,,SINISTRA ECOLOGIA LIBERTA',81,,
CAORLE,,CENTRO DEMOCRATICO,10,,
CAORLE,SILVIO BERLUSCONI CAORLE,IL POPOLO DELLA LIBERTA',2115,,
CAORLE,,LEGA NORD,620,,
CAORLE,,FRATELLI D'ITALIA,132,,
CAORLE,,LA DESTRA,44,,
CAORLE,,MIR - MODERATI IN RIVOLUZIONE,33,,
CAORLE,GIUSEPPE PIERO GRILLO CAORLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1961,,
CAORLE,MARIO MONTI CAORLE,SCELTA CIVICA CON MONTI PER L'ITALIA,499,,
CAORLE,,UNIONE DI CENTRO,107,,
CAORLE,,FUTURO E LIBERTA',23,,
CAORLE,ANTONIO INGROIA CAORLE,RIVOLUZIONE CIVILE,79,,
CAORLE,OSCAR FULVIO GIANNINO CAORLE,FARE PER FERMARE IL DECLINO,87,,
CAORLE,MARCO FERRANDO CAORLE,PARTITO COMUNISTA DEI LAVORATORI,51,,
CAORLE,ROBERTO FIORE CAORLE,FORZA NUOVA,17,,
CAORLE,LODOVICO PIZZATI CAORLE,INDIPENDENZA VENETA,64,,
CAORLE,ANTONIO GUADAGNINI CAORLE,VENETO STATO,11,,
