Ente,Candidato,Liste/Gruppi,Voti lista,,
ARGENTA,PIER LUIGI BERSANI ARGENTA,PARTITO DEMOCRATICO,5959,,
ARGENTA,,SINISTRA ECOLOGIA LIBERTA',246,,
ARGENTA,,CENTRO DEMOCRATICO,36,,
ARGENTA,SILVIO BERLUSCONI ARGENTA,IL POPOLO DELLA LIBERTA',2362,,
ARGENTA,,LEGA NORD,336,,
ARGENTA,,FRATELLI D'ITALIA,192,,
ARGENTA,,LA DESTRA,49,,
ARGENTA,,MIR - MODERATI IN RIVOLUZIONE,16,,
ARGENTA,GIUSEPPE PIERO GRILLO ARGENTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2893,,
ARGENTA,MARIO MONTI ARGENTA,CON MONTI PER L'ITALIA,955,,
ARGENTA,ANTONIO INGROIA ARGENTA,RIVOLUZIONE CIVILE,184,,
ARGENTA,OSCAR FULVIO GIANNINO ARGENTA,FARE PER FERMARE IL DECLINO,87,,
ARGENTA,MARCO FERRANDO ARGENTA,PARTITO COMUNISTA DEI LAVORATORI,92,,
ARGENTA,ROBERTO FIORE ARGENTA,FORZA NUOVA,41,,
ARGENTA,GIACINTO MARCO PANNELLA ARGENTA,LISTA AMNISTIA GIUSTIZIA LIBERTA',45,,
ARGENTA,LUCA ROMAGNOLI ARGENTA,FIAMMA TRICOLORE,52,,
ARGENTA,MAGDI CRISTIANO ALLAM ARGENTA,IO AMO L'ITALIA,16,,
ARGENTA,FRANCO TORCHIA ARGENTA,PRI,21,,
BERRA,PIER LUIGI BERSANI BERRA,PARTITO DEMOCRATICO,1213,,
BERRA,,SINISTRA ECOLOGIA LIBERTA',45,,
BERRA,,CENTRO DEMOCRATICO,8,,
BERRA,SILVIO BERLUSCONI BERRA,IL POPOLO DELLA LIBERTA',733,,
BERRA,,LEGA NORD,77,,
BERRA,,FRATELLI D'ITALIA,42,,
BERRA,,LA DESTRA,14,,
BERRA,,MIR - MODERATI IN RIVOLUZIONE,7,,
BERRA,GIUSEPPE PIERO GRILLO BERRA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,604,,
BERRA,MARIO MONTI BERRA,CON MONTI PER L'ITALIA,226,,
BERRA,ANTONIO INGROIA BERRA,RIVOLUZIONE CIVILE,36,,
BERRA,OSCAR FULVIO GIANNINO BERRA,FARE PER FERMARE IL DECLINO,15,,
BERRA,MARCO FERRANDO BERRA,PARTITO COMUNISTA DEI LAVORATORI,26,,
BERRA,ROBERTO FIORE BERRA,FORZA NUOVA,5,,
BERRA,GIACINTO MARCO PANNELLA BERRA,LISTA AMNISTIA GIUSTIZIA LIBERTA',7,,
BERRA,LUCA ROMAGNOLI BERRA,FIAMMA TRICOLORE,14,,
BERRA,MAGDI CRISTIANO ALLAM BERRA,IO AMO L'ITALIA,6,,
BERRA,FRANCO TORCHIA BERRA,PRI,5,,
BONDENO,PIER LUIGI BERSANI BONDENO,PARTITO DEMOCRATICO,3529,,
BONDENO,,SINISTRA ECOLOGIA LIBERTA',152,,
BONDENO,,CENTRO DEMOCRATICO,21,,
BONDENO,SILVIO BERLUSCONI BONDENO,IL POPOLO DELLA LIBERTA',1788,,
BONDENO,,LEGA NORD,630,,
