Ente,Candidato,Liste/Gruppi,Voti lista,,
ALBARETO,PIER LUIGI BERSANI ALBARETO,PARTITO DEMOCRATICO,296,,
ALBARETO,,SINISTRA ECOLOGIA LIBERTA',13,,
ALBARETO,,CENTRO DEMOCRATICO,4,,
ALBARETO,SILVIO BERLUSCONI ALBARETO,IL POPOLO DELLA LIBERTA',268,,
ALBARETO,,LEGA NORD,62,,
ALBARETO,,FRATELLI D'ITALIA,9,,
ALBARETO,,LA DESTRA,7,,
ALBARETO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALBARETO,GIUSEPPE PIERO GRILLO ALBARETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,310,,
ALBARETO,MARIO MONTI ALBARETO,CON MONTI PER L'ITALIA,70,,
ALBARETO,ANTONIO INGROIA ALBARETO,RIVOLUZIONE CIVILE,27,,
ALBARETO,OSCAR FULVIO GIANNINO ALBARETO,FARE PER FERMARE IL DECLINO,3,,
ALBARETO,MARCO FERRANDO ALBARETO,PARTITO COMUNISTA DEI LAVORATORI,5,,
ALBARETO,ROBERTO FIORE ALBARETO,FORZA NUOVA,0,,
ALBARETO,GIACINTO MARCO PANNELLA ALBARETO,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
ALBARETO,LUCA ROMAGNOLI ALBARETO,FIAMMA TRICOLORE,3,,
ALBARETO,MAGDI CRISTIANO ALLAM ALBARETO,IO AMO L'ITALIA,7,,
ALBARETO,FRANCO TORCHIA ALBARETO,PRI,0,,
BARDI,PIER LUIGI BERSANI BARDI,PARTITO DEMOCRATICO,257,,
BARDI,,SINISTRA ECOLOGIA LIBERTA',11,,
BARDI,,CENTRO DEMOCRATICO,3,,
BARDI,SILVIO BERLUSCONI BARDI,IL POPOLO DELLA LIBERTA',410,,
BARDI,,LEGA NORD,73,,
BARDI,,FRATELLI D'ITALIA,27,,
BARDI,,LA DESTRA,7,,
BARDI,,MIR - MODERATI IN RIVOLUZIONE,2,,
BARDI,GIUSEPPE PIERO GRILLO BARDI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,210,,
BARDI,MARIO MONTI BARDI,CON MONTI PER L'ITALIA,115,,
BARDI,ANTONIO INGROIA BARDI,RIVOLUZIONE CIVILE,19,,
BARDI,OSCAR FULVIO GIANNINO BARDI,FARE PER FERMARE IL DECLINO,2,,
BARDI,MARCO FERRANDO BARDI,PARTITO COMUNISTA DEI LAVORATORI,6,,
BARDI,ROBERTO FIORE BARDI,FORZA NUOVA,1,,
BARDI,GIACINTO MARCO PANNELLA BARDI,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
BARDI,LUCA ROMAGNOLI BARDI,FIAMMA TRICOLORE,3,,
BARDI,MAGDI CRISTIANO ALLAM BARDI,IO AMO L'ITALIA,0,,
BARDI,FRANCO TORCHIA BARDI,PRI,0,,
BEDONIA,PIER LUIGI BERSANI BEDONIA,PARTITO DEMOCRATICO,464,,
BEDONIA,,SINISTRA ECOLOGIA LIBERTA',17,,
BEDONIA,,CENTRO DEMOCRATICO,1,,
BEDONIA,SILVIO BERLUSCONI BEDONIA,IL POPOLO DELLA LIBERTA',495,,
BEDONIA,,LEGA NORD,96,,
BEDONIA,,FRATELLI D'ITALIA,26,,
BEDONIA,,LA DESTRA,10,,
BEDONIA,,MIR - MODERATI IN RIVOLUZIONE,4,,
BEDONIA,GIUSEPPE PIERO GRILLO BEDONIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,443,,
BEDONIA,MARIO MONTI BEDONIA,CON MONTI PER L'ITALIA,189,,
BEDONIA,ANTONIO INGROIA BEDONIA,RIVOLUZIONE CIVILE,16,,
BEDONIA,OSCAR FULVIO GIANNINO BEDONIA,FARE PER FERMARE IL DECLINO,9,,
BEDONIA,MARCO FERRANDO BEDONIA,PARTITO COMUNISTA DEI LAVORATORI,13,,
BEDONIA,ROBERTO FIORE BEDONIA,FORZA NUOVA,3,,
BEDONIA,GIACINTO MARCO PANNELLA BEDONIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
BEDONIA,LUCA ROMAGNOLI BEDONIA,FIAMMA TRICOLORE,6,,
BEDONIA,MAGDI CRISTIANO ALLAM BEDONIA,IO AMO L'ITALIA,4,,
BEDONIA,FRANCO TORCHIA BEDONIA,PRI,3,,
BERCETO,PIER LUIGI BERSANI BERCETO,PARTITO DEMOCRATICO,372,,
BERCETO,,SINISTRA ECOLOGIA LIBERTA',21,,
BERCETO,,CENTRO DEMOCRATICO,1,,
BERCETO,SILVIO BERLUSCONI BERCETO,IL POPOLO DELLA LIBERTA',224,,
BERCETO,,LEGA NORD,46,,
BERCETO,,FRATELLI D'ITALIA,11,,
BERCETO,,LA DESTRA,3,,
BERCETO,,MIR - MODERATI IN RIVOLUZIONE,1,,
BERCETO,GIUSEPPE PIERO GRILLO BERCETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,315,,
BERCETO,MARIO MONTI BERCETO,CON MONTI PER L'ITALIA,116,,
BERCETO,ANTONIO INGROIA BERCETO,RIVOLUZIONE CIVILE,11,,
BERCETO,OSCAR FULVIO GIANNINO BERCETO,FARE PER FERMARE IL DECLINO,6,,
BERCETO,MARCO FERRANDO BERCETO,PARTITO COMUNISTA DEI LAVORATORI,12,,
BERCETO,ROBERTO FIORE BERCETO,FORZA NUOVA,1,,
BERCETO,GIACINTO MARCO PANNELLA BERCETO,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
BERCETO,LUCA ROMAGNOLI BERCETO,FIAMMA TRICOLORE,2,,
BERCETO,MAGDI CRISTIANO ALLAM BERCETO,IO AMO L'ITALIA,1,,
BERCETO,FRANCO TORCHIA BERCETO,PRI,2,,
BORE,PIER LUIGI BERSANI BORE,PARTITO DEMOCRATICO,166,,
BORE,,CENTRO DEMOCRATICO,4,,
BORE,,SINISTRA ECOLOGIA LIBERTA',3,,
BORE,SILVIO BERLUSCONI BORE,IL POPOLO DELLA LIBERTA',58,,
BORE,,LEGA NORD,9,,
BORE,,FRATELLI D'ITALIA,2,,
BORE,,MIR - MODERATI IN RIVOLUZIONE,1,,
BORE,,LA DESTRA,0,,
BORE,GIUSEPPE PIERO GRILLO BORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,110,,
BORE,MARIO MONTI BORE,CON MONTI PER L'ITALIA,39,,
BORE,ANTONIO INGROIA BORE,RIVOLUZIONE CIVILE,3,,
BORE,OSCAR FULVIO GIANNINO BORE,FARE PER FERMARE IL DECLINO,1,,
BORE,MARCO FERRANDO BORE,PARTITO COMUNISTA DEI LAVORATORI,2,,
BORE,ROBERTO FIORE BORE,FORZA NUOVA,2,,
BORE,GIACINTO MARCO PANNELLA BORE,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
BORE,LUCA ROMAGNOLI BORE,FIAMMA TRICOLORE,1,,
BORE,MAGDI CRISTIANO ALLAM BORE,IO AMO L'ITALIA,0,,
BORE,FRANCO TORCHIA BORE,PRI,0,,
BORGO VAL DI TARO,PIER LUIGI BERSANI BORGO VAL DI TARO,PARTITO DEMOCRATICO,1160,,
BORGO VAL DI TARO,,SINISTRA ECOLOGIA LIBERTA',53,,
BORGO VAL DI TARO,,CENTRO DEMOCRATICO,4,,
BORGO VAL DI TARO,SILVIO BERLUSCONI BORGO VAL DI TARO,IL POPOLO DELLA LIBERTA',915,,
BORGO VAL DI TARO,,LEGA NORD,120,,
BORGO VAL DI TARO,,FRATELLI D'ITALIA,39,,
BORGO VAL DI TARO,,MIR - MODERATI IN RIVOLUZIONE,19,,
BORGO VAL DI TARO,,LA DESTRA,15,,
BORGO VAL DI TARO,GIUSEPPE PIERO GRILLO BORGO VAL DI TARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,911,,
BORGO VAL DI TARO,MARIO MONTI BORGO VAL DI TARO,CON MONTI PER L'ITALIA,347,,
BORGO VAL DI TARO,ANTONIO INGROIA BORGO VAL DI TARO,RIVOLUZIONE CIVILE,94,,
BORGO VAL DI TARO,OSCAR FULVIO GIANNINO BORGO VAL DI TARO,FARE PER FERMARE IL DECLINO,12,,
BORGO VAL DI TARO,MARCO FERRANDO BORGO VAL DI TARO,PARTITO COMUNISTA DEI LAVORATORI,40,,
BORGO VAL DI TARO,ROBERTO FIORE BORGO VAL DI TARO,FORZA NUOVA,8,,
