Ente,Candidato,Liste/Gruppi,Voti lista,,
DUINO AURISINA,PIER LUIGI BERSANI DUINO AURISINA,PARTITO DEMOCRATICO,1525,,
DUINO AURISINA,,SINISTRA ECOLOGIA LIBERTA',167,,
DUINO AURISINA,,CENTRO DEMOCRATICO,21,,
DUINO AURISINA,SILVIO BERLUSCONI DUINO AURISINA,IL POPOLO DELLA LIBERTA',896,,
DUINO AURISINA,,LEGA NORD,139,,
DUINO AURISINA,,FRATELLI D'ITALIA,99,,
DUINO AURISINA,,LA DESTRA,37,,
DUINO AURISINA,GIUSEPPE PIERO GRILLO DUINO AURISINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1387,,
DUINO AURISINA,MARIO MONTI DUINO AURISINA,CON MONTI PER L'ITALIA,495,,
DUINO AURISINA,ANTONIO INGROIA DUINO AURISINA,RIVOLUZIONE CIVILE,180,,
DUINO AURISINA,OSCAR FULVIO GIANNINO DUINO AURISINA,FARE PER FERMARE IL DECLINO,48,,
DUINO AURISINA,ROBERTO FIORE DUINO AURISINA,FORZA NUOVA,14,,
DUINO AURISINA,LUCA ROMAGNOLI DUINO AURISINA,FIAMMA TRICOLORE,15,,
MONRUPINO,PIER LUIGI BERSANI MONRUPINO,PARTITO DEMOCRATICO,211,,
MONRUPINO,,SINISTRA ECOLOGIA LIBERTA',24,,
MONRUPINO,,CENTRO DEMOCRATICO,1,,
MONRUPINO,SILVIO BERLUSCONI MONRUPINO,IL POPOLO DELLA LIBERTA',56,,
MONRUPINO,,LEGA NORD,6,,
MONRUPINO,,FRATELLI D'ITALIA,4,,
MONRUPINO,,LA DESTRA,2,,
MONRUPINO,GIUSEPPE PIERO GRILLO MONRUPINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,122,,
MONRUPINO,MARIO MONTI MONRUPINO,CON MONTI PER L'ITALIA,65,,
MONRUPINO,ANTONIO INGROIA MONRUPINO,RIVOLUZIONE CIVILE,17,,
MONRUPINO,OSCAR FULVIO GIANNINO MONRUPINO,FARE PER FERMARE IL DECLINO,1,,
MONRUPINO,ROBERTO FIORE MONRUPINO,FORZA NUOVA,2,,
MONRUPINO,LUCA ROMAGNOLI MONRUPINO,FIAMMA TRICOLORE,0,,
MUGGIA,PIER LUIGI BERSANI MUGGIA,PARTITO DEMOCRATICO,2119,,
MUGGIA,,SINISTRA ECOLOGIA LIBERTA',248,,
MUGGIA,,CENTRO DEMOCRATICO,34,,
MUGGIA,SILVIO BERLUSCONI MUGGIA,IL POPOLO DELLA LIBERTA',1651,,
MUGGIA,,LEGA NORD,281,,
MUGGIA,,FRATELLI D'ITALIA,146,,
MUGGIA,,LA DESTRA,52,,
MUGGIA,GIUSEPPE PIERO GRILLO MUGGIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2412,,
MUGGIA,MARIO MONTI MUGGIA,CON MONTI PER L'ITALIA,703,,
MUGGIA,ANTONIO INGROIA MUGGIA,RIVOLUZIONE CIVILE,213,,
MUGGIA,OSCAR FULVIO GIANNINO MUGGIA,FARE PER FERMARE IL DECLINO,64,,
MUGGIA,ROBERTO FIORE MUGGIA,FORZA NUOVA,40,,
MUGGIA,LUCA ROMAGNOLI MUGGIA,FIAMMA TRICOLORE,39,,
SAN DORLIGO DELLA VALLE,PIER LUIGI BERSANI SAN DORLIGO DELLA VALLE,PARTITO DEMOCRATICO,1301,,
SAN DORLIGO DELLA VALLE,,SINISTRA ECOLOGIA LIBERTA',129,,
SAN DORLIGO DELLA VALLE,,CENTRO DEMOCRATICO,16,,
