Ente,Candidato,Liste/Gruppi,Voti lista,,
APRILIA,PIER LUIGI BERSANI APRILIA,PARTITO DEMOCRATICO,7241,,
APRILIA,,SINISTRA ECOLOGIA LIBERTA',775,,
APRILIA,,PARTITO SOCIALISTA ITALIANO,143,,
APRILIA,,CENTRO DEMOCRATICO,70,,
APRILIA,SILVIO BERLUSCONI APRILIA,IL POPOLO DELLA LIBERTA',9259,,
APRILIA,,LA DESTRA,924,,
APRILIA,,FRATELLI D'ITALIA,859,,
APRILIA,,LEGA NORD,300,,
APRILIA,,INTESA POPOLARE,163,,
APRILIA,,MIR - MODERATI IN RIVOLUZIONE,31,,
APRILIA,GIUSEPPE PIERO GRILLO APRILIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,11286,,
APRILIA,MARIO MONTI APRILIA,CON MONTI PER L'ITALIA,1833,,
APRILIA,ANTONIO INGROIA APRILIA,RIVOLUZIONE CIVILE,730,,
APRILIA,OSCAR FULVIO GIANNINO APRILIA,FARE PER FERMARE IL DECLINO,141,,
APRILIA,MARCO FERRANDO APRILIA,PARTITO COMUNISTA DEI LAVORATORI,125,,
APRILIA,ROBERTO FIORE APRILIA,FORZA NUOVA,115,,
APRILIA,GIACINTO MARCO PANNELLA APRILIA,LISTA AMNISTIA GIUSTIZIA LIBERTA',81,,
APRILIA,LUCA ROMAGNOLI APRILIA,FIAMMA TRICOLORE,117,,
APRILIA,MAGDI CRISTIANO ALLAM APRILIA,IO AMO L'ITALIA,37,,
APRILIA,SIMONE DI STEFANO APRILIA,CASAPOUND ITALIA,153,,
APRILIA,OTTAVIO PASQUALUCCI APRILIA,DIMEZZIAMO LO STIPENDIO AI POLITICI,137,,
APRILIA,,NO ALLA CHIUSURA DEGLI OSPEDALI,103,,
APRILIA,,VIVA L'ITALIA,87,,
APRILIA,ALFONSO LUIGI MARRA APRILIA,PAS - FLB&LT,21,,
APRILIA,ANTONIO CORSI APRILIA,TUTTI INSIEME PER L'ITALIA,26,,
APRILIA,GIOVANNA SORBELLI APRILIA,MOVIMENTO EUDONNA,27,,
APRILIA,MARINA PETRINI APRILIA,MOVIMENTO PROGETTO ITALIA - MID,16,,
APRILIA,ANDREA BALIA APRILIA,PARTITO DEL SUD,14,,
BASSIANO,PIER LUIGI BERSANI BASSIANO,PARTITO DEMOCRATICO,244,,
BASSIANO,,PARTITO SOCIALISTA ITALIANO,58,,
BASSIANO,,SINISTRA ECOLOGIA LIBERTA',22,,
BASSIANO,,CENTRO DEMOCRATICO,7,,
BASSIANO,SILVIO BERLUSCONI BASSIANO,IL POPOLO DELLA LIBERTA',235,,
BASSIANO,,FRATELLI D'ITALIA,40,,
BASSIANO,,LA DESTRA,20,,
