Ente,Candidato,Liste/Gruppi,Voti lista,,
ALAGNA,PIER LUIGI BERSANI ALAGNA,PARTITO DEMOCRATICO,88,,
ALAGNA,,SINISTRA ECOLOGIA LIBERTA',7,,
ALAGNA,,CENTRO DEMOCRATICO,1,,
ALAGNA,,MODERATI,0,,
ALAGNA,SILVIO BERLUSCONI ALAGNA,IL POPOLO DELLA LIBERTA',138,,
ALAGNA,,LEGA NORD,77,,
ALAGNA,,PARTITO PENSIONATI,8,,
ALAGNA,,FRATELLI D'ITALIA,6,,
ALAGNA,,LA DESTRA,2,,
ALAGNA,,BASTA TASSE,1,,
ALAGNA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALAGNA,GIUSEPPE PIERO GRILLO ALAGNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,113,,
ALAGNA,MARIO MONTI ALAGNA,CON MONTI PER L'ITALIA,22,,
ALAGNA,ANTONIO INGROIA ALAGNA,RIVOLUZIONE CIVILE,3,,
ALAGNA,OSCAR FULVIO GIANNINO ALAGNA,FARE PER FERMARE IL DECLINO,2,,
ALAGNA,MARCO FERRANDO ALAGNA,PARTITO COMUNISTA DEI LAVORATORI,6,,
ALAGNA,ROBERTO FIORE ALAGNA,FORZA NUOVA,3,,
ALAGNA,GIACINTO MARCO PANNELLA ALAGNA,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
ALAGNA,LUCA ROMAGNOLI ALAGNA,FIAMMA TRICOLORE,1,,
ALAGNA,MAGDI CRISTIANO ALLAM ALAGNA,IO AMO L'ITALIA,0,,
ALAGNA,SIMONE DI STEFANO ALAGNA,CASAPOUND ITALIA,3,,
ALAGNA,ENZO BOSIO ALAGNA,CIVILTA' RURALE SVILUPPO,0,,
ALAGNA,GIULIO ARRIGHINI ALAGNA,UNIONE PADANA,0,,
ALAGNA,MARCO MARSILI ALAGNA,I PIRATI,1,,
ALBAREDO ARNABOLDI,PIER LUIGI BERSANI ALBAREDO ARNABOLDI,PARTITO DEMOCRATICO,35,,
ALBAREDO ARNABOLDI,,SINISTRA ECOLOGIA LIBERTA',1,,
ALBAREDO ARNABOLDI,,CENTRO DEMOCRATICO,0,,
ALBAREDO ARNABOLDI,,MODERATI,0,,
ALBAREDO ARNABOLDI,SILVIO BERLUSCONI ALBAREDO ARNABOLDI,IL POPOLO DELLA LIBERTA',32,,
ALBAREDO ARNABOLDI,,LEGA NORD,12,,
ALBAREDO ARNABOLDI,,FRATELLI D'ITALIA,4,,
ALBAREDO ARNABOLDI,,PARTITO PENSIONATI,3,,
ALBAREDO ARNABOLDI,,LA DESTRA,1,,
ALBAREDO ARNABOLDI,,MIR - MODERATI IN RIVOLUZIONE,1,,
ALBAREDO ARNABOLDI,,BASTA TASSE,1,,
ALBAREDO ARNABOLDI,GIUSEPPE PIERO GRILLO ALBAREDO ARNABOLDI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,32,,
ALBAREDO ARNABOLDI,MARIO MONTI ALBAREDO ARNABOLDI,CON MONTI PER L'ITALIA,12,,
ALBAREDO ARNABOLDI,ANTONIO INGROIA ALBAREDO ARNABOLDI,RIVOLUZIONE CIVILE,0,,
ALBAREDO ARNABOLDI,OSCAR FULVIO GIANNINO ALBAREDO ARNABOLDI,FARE PER FERMARE IL DECLINO,0,,
ALBAREDO ARNABOLDI,MARCO FERRANDO ALBAREDO ARNABOLDI,PARTITO COMUNISTA DEI LAVORATORI,0,,
ALBAREDO ARNABOLDI,ROBERTO FIORE ALBAREDO ARNABOLDI,FORZA NUOVA,0,,
ALBAREDO ARNABOLDI,GIACINTO MARCO PANNELLA ALBAREDO ARNABOLDI,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
ALBAREDO ARNABOLDI,LUCA ROMAGNOLI ALBAREDO ARNABOLDI,FIAMMA TRICOLORE,0,,
ALBAREDO ARNABOLDI,MAGDI CRISTIANO ALLAM ALBAREDO ARNABOLDI,IO AMO L'ITALIA,0,,
ALBAREDO ARNABOLDI,SIMONE DI STEFANO ALBAREDO ARNABOLDI,CASAPOUND ITALIA,0,,
ALBAREDO ARNABOLDI,ENZO BOSIO ALBAREDO ARNABOLDI,CIVILTA' RURALE SVILUPPO,0,,
ALBAREDO ARNABOLDI,GIULIO ARRIGHINI ALBAREDO ARNABOLDI,UNIONE PADANA,0,,
