Ente,Candidato,Liste/Gruppi,Voti lista,,
ACCEGLIO,PIER LUIGI BERSANI ACCEGLIO,PARTITO DEMOCRATICO,17,,
ACCEGLIO,,SINISTRA ECOLOGIA LIBERTA',1,,
ACCEGLIO,,CENTRO DEMOCRATICO,0,,
ACCEGLIO,SILVIO BERLUSCONI ACCEGLIO,IL POPOLO DELLA LIBERTA',12,,
ACCEGLIO,,LEGA NORD,6,,
ACCEGLIO,,FRATELLI D'ITALIA,4,,
ACCEGLIO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ACCEGLIO,,LA DESTRA,0,,
ACCEGLIO,,PARTITO PENSIONATI,0,,
ACCEGLIO,GIUSEPPE PIERO GRILLO ACCEGLIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,24,,
ACCEGLIO,MARIO MONTI ACCEGLIO,CON MONTI PER L'ITALIA,18,,
ACCEGLIO,ANTONIO INGROIA ACCEGLIO,RIVOLUZIONE CIVILE,0,,
ACCEGLIO,OSCAR FULVIO GIANNINO ACCEGLIO,FARE PER FERMARE IL DECLINO,0,,
ACCEGLIO,MARCO FERRANDO ACCEGLIO,PARTITO COMUNISTA DEI LAVORATORI,1,,
ACCEGLIO,ROBERTO FIORE ACCEGLIO,FORZA NUOVA,0,,
ACCEGLIO,SIMONE DI STEFANO ACCEGLIO,CASAPOUND ITALIA,0,,
AISONE,PIER LUIGI BERSANI AISONE,PARTITO DEMOCRATICO,41,,
AISONE,,SINISTRA ECOLOGIA LIBERTA',4,,
AISONE,,CENTRO DEMOCRATICO,0,,
AISONE,SILVIO BERLUSCONI AISONE,IL POPOLO DELLA LIBERTA',21,,
AISONE,,LEGA NORD,17,,
AISONE,,FRATELLI D'ITALIA,12,,
AISONE,,PARTITO PENSIONATI,1,,
AISONE,,MIR - MODERATI IN RIVOLUZIONE,0,,
AISONE,,LA DESTRA,0,,
AISONE,GIUSEPPE PIERO GRILLO AISONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,31,,
AISONE,MARIO MONTI AISONE,CON MONTI PER L'ITALIA,24,,
AISONE,ANTONIO INGROIA AISONE,RIVOLUZIONE CIVILE,0,,
AISONE,OSCAR FULVIO GIANNINO AISONE,FARE PER FERMARE IL DECLINO,1,,
AISONE,MARCO FERRANDO AISONE,PARTITO COMUNISTA DEI LAVORATORI,0,,
AISONE,ROBERTO FIORE AISONE,FORZA NUOVA,0,,
AISONE,SIMONE DI STEFANO AISONE,CASAPOUND ITALIA,0,,
ALBA,PIER LUIGI BERSANI ALBA,PARTITO DEMOCRATICO,4599,,
ALBA,,SINISTRA ECOLOGIA LIBERTA',327,,
ALBA,,CENTRO DEMOCRATICO,28,,
ALBA,SILVIO BERLUSCONI ALBA,IL POPOLO DELLA LIBERTA',2724,,
ALBA,,FRATELLI D'ITALIA,929,,
ALBA,,LEGA NORD,740,,
ALBA,,PARTITO PENSIONATI,111,,
ALBA,,LA DESTRA,46,,
ALBA,,MIR - MODERATI IN RIVOLUZIONE,14,,
ALBA,GIUSEPPE PIERO GRILLO ALBA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3966,,
ALBA,MARIO MONTI ALBA,CON MONTI PER L'ITALIA,2696,,
ALBA,ANTONIO INGROIA ALBA,RIVOLUZIONE CIVILE,157,,
ALBA,OSCAR FULVIO GIANNINO ALBA,FARE PER FERMARE IL DECLINO,177,,
ALBA,MARCO FERRANDO ALBA,PARTITO COMUNISTA DEI LAVORATORI,50,,
ALBA,ROBERTO FIORE ALBA,FORZA NUOVA,51,,
ALBA,SIMONE DI STEFANO ALBA,CASAPOUND ITALIA,11,,
ALBARETTO DELLA TORRE,PIER LUIGI BERSANI ALBARETTO DELLA TORRE,PARTITO DEMOCRATICO,26,,
ALBARETTO DELLA TORRE,,SINISTRA ECOLOGIA LIBERTA',2,,
ALBARETTO DELLA TORRE,,CENTRO DEMOCRATICO,0,,
ALBARETTO DELLA TORRE,SILVIO BERLUSCONI ALBARETTO DELLA TORRE,IL POPOLO DELLA LIBERTA',24,,
ALBARETTO DELLA TORRE,,LEGA NORD,20,,
ALBARETTO DELLA TORRE,,FRATELLI D'ITALIA,5,,
ALBARETTO DELLA TORRE,,LA DESTRA,2,,
ALBARETTO DELLA TORRE,,PARTITO PENSIONATI,1,,
ALBARETTO DELLA TORRE,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALBARETTO DELLA TORRE,GIUSEPPE PIERO GRILLO ALBARETTO DELLA TORRE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,28,,
ALBARETTO DELLA TORRE,MARIO MONTI ALBARETTO DELLA TORRE,CON MONTI PER L'ITALIA,27,,
ALBARETTO DELLA TORRE,ANTONIO INGROIA ALBARETTO DELLA TORRE,RIVOLUZIONE CIVILE,0,,
ALBARETTO DELLA TORRE,OSCAR FULVIO GIANNINO ALBARETTO DELLA TORRE,FARE PER FERMARE IL DECLINO,1,,
ALBARETTO DELLA TORRE,MARCO FERRANDO ALBARETTO DELLA TORRE,PARTITO COMUNISTA DEI LAVORATORI,0,,
ALBARETTO DELLA TORRE,ROBERTO FIORE ALBARETTO DELLA TORRE,FORZA NUOVA,0,,
ALBARETTO DELLA TORRE,SIMONE DI STEFANO ALBARETTO DELLA TORRE,CASAPOUND ITALIA,0,,
ALTO,PIER LUIGI BERSANI ALTO,PARTITO DEMOCRATICO,16,,
ALTO,,SINISTRA ECOLOGIA LIBERTA',5,,
ALTO,,CENTRO DEMOCRATICO,0,,
ALTO,SILVIO BERLUSCONI ALTO,IL POPOLO DELLA LIBERTA',12,,
ALTO,,FRATELLI D'ITALIA,1,,
ALTO,,LEGA NORD,1,,
ALTO,,MIR - MODERATI IN RIVOLUZIONE,0,,
ALTO,,LA DESTRA,0,,
ALTO,,PARTITO PENSIONATI,0,,
ALTO,GIUSEPPE PIERO GRILLO ALTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,14,,
ALTO,MARIO MONTI ALTO,CON MONTI PER L'ITALIA,14,,
ALTO,ANTONIO INGROIA ALTO,RIVOLUZIONE CIVILE,1,,
ALTO,OSCAR FULVIO GIANNINO ALTO,FARE PER FERMARE IL DECLINO,0,,
ALTO,MARCO FERRANDO ALTO,PARTITO COMUNISTA DEI LAVORATORI,1,,
ALTO,ROBERTO FIORE ALTO,FORZA NUOVA,0,,
ALTO,SIMONE DI STEFANO ALTO,CASAPOUND ITALIA,0,,
ARGENTERA,PIER LUIGI BERSANI ARGENTERA,PARTITO DEMOCRATICO,5,,
ARGENTERA,,SINISTRA ECOLOGIA LIBERTA',0,,
ARGENTERA,,CENTRO DEMOCRATICO,0,,
ARGENTERA,SILVIO BERLUSCONI ARGENTERA,IL POPOLO DELLA LIBERTA',17,,
ARGENTERA,,FRATELLI D'ITALIA,8,,
ARGENTERA,,LEGA NORD,2,,
ARGENTERA,,MIR - MODERATI IN RIVOLUZIONE,0,,
ARGENTERA,,LA DESTRA,0,,
ARGENTERA,,PARTITO PENSIONATI,0,,
ARGENTERA,GIUSEPPE PIERO GRILLO ARGENTERA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,12,,
ARGENTERA,MARIO MONTI ARGENTERA,CON MONTI PER L'ITALIA,7,,
ARGENTERA,ANTONIO INGROIA ARGENTERA,RIVOLUZIONE CIVILE,0,,
ARGENTERA,OSCAR FULVIO GIANNINO ARGENTERA,FARE PER FERMARE IL DECLINO,1,,
ARGENTERA,MARCO FERRANDO ARGENTERA,PARTITO COMUNISTA DEI LAVORATORI,0,,
ARGENTERA,ROBERTO FIORE ARGENTERA,FORZA NUOVA,0,,
ARGENTERA,SIMONE DI STEFANO ARGENTERA,CASAPOUND ITALIA,0,,
ARGUELLO,PIER LUIGI BERSANI ARGUELLO,PARTITO DEMOCRATICO,35,,
ARGUELLO,,SINISTRA ECOLOGIA LIBERTA',3,,
ARGUELLO,,CENTRO DEMOCRATICO,1,,
ARGUELLO,SILVIO BERLUSCONI ARGUELLO,IL POPOLO DELLA LIBERTA',10,,
ARGUELLO,,LEGA NORD,6,,
ARGUELLO,,FRATELLI D'ITALIA,3,,
ARGUELLO,,MIR - MODERATI IN RIVOLUZIONE,1,,
ARGUELLO,,LA DESTRA,1,,
ARGUELLO,,PARTITO PENSIONATI,0,,
ARGUELLO,GIUSEPPE PIERO GRILLO ARGUELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,38,,
ARGUELLO,MARIO MONTI ARGUELLO,CON MONTI PER L'ITALIA,14,,
ARGUELLO,ANTONIO INGROIA ARGUELLO,RIVOLUZIONE CIVILE,1,,
ARGUELLO,OSCAR FULVIO GIANNINO ARGUELLO,FARE PER FERMARE IL DECLINO,1,,
ARGUELLO,MARCO FERRANDO ARGUELLO,PARTITO COMUNISTA DEI LAVORATORI,1,,
ARGUELLO,ROBERTO FIORE ARGUELLO,FORZA NUOVA,0,,
ARGUELLO,SIMONE DI STEFANO ARGUELLO,CASAPOUND ITALIA,0,,
