Ente,Candidato,Liste/Gruppi,Voti lista,,
ARZANA,PIER LUIGI BERSANI ARZANA,PARTITO DEMOCRATICO,315,,
ARZANA,,CENTRO DEMOCRATICO,20,,
ARZANA,,SINISTRA ECOLOGIA LIBERTA',13,,
ARZANA,SILVIO BERLUSCONI ARZANA,IL POPOLO DELLA LIBERTA',301,,
ARZANA,,FRATELLI D'ITALIA,15,,
ARZANA,,PARTITO PENSIONATI,14,,
ARZANA,,BASTA TASSE,7,,
ARZANA,,LA DESTRA,6,,
ARZANA,,GRANDE SUD,6,,
ARZANA,,MIR - MODERATI IN RIVOLUZIONE,1,,
ARZANA,,LEGA NORD,0,,
ARZANA,GIUSEPPE PIERO GRILLO ARZANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,211,,
ARZANA,MARIO MONTI ARZANA,CON MONTI PER L'ITALIA,107,,
ARZANA,ANTONIO INGROIA ARZANA,RIVOLUZIONE CIVILE,18,,
ARZANA,OSCAR FULVIO GIANNINO ARZANA,FARE PER FERMARE IL DECLINO,3,,
ARZANA,MARCO FERRANDO ARZANA,PARTITO COMUNISTA DEI LAVORATORI,4,,
ARZANA,ROBERTO FIORE ARZANA,FORZA NUOVA,1,,
ARZANA,GIACINTO MARCO PANNELLA ARZANA,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
ARZANA,GIOVANNI ANGELO COLLI ARZANA,PS D'AZ.,19,,
ARZANA,PIETRO MURRU ARZANA,INDIPENDENZA PER LA SARDEGNA,9,,
ARZANA,SALVATORE MELONI ARZANA,MERIS,7,,
ARZANA,EFISIO ARBAU ARZANA,LA BASE,4,,
BARI SARDO,PIER LUIGI BERSANI BARI SARDO,PARTITO DEMOCRATICO,631,,
BARI SARDO,,SINISTRA ECOLOGIA LIBERTA',51,,
BARI SARDO,,CENTRO DEMOCRATICO,17,,
BARI SARDO,SILVIO BERLUSCONI BARI SARDO,IL POPOLO DELLA LIBERTA',510,,
BARI SARDO,,FRATELLI D'ITALIA,27,,
BARI SARDO,,PARTITO PENSIONATI,15,,
BARI SARDO,,LA DESTRA,7,,
BARI SARDO,,BASTA TASSE,7,,
BARI SARDO,,MIR - MODERATI IN RIVOLUZIONE,3,,
BARI SARDO,,LEGA NORD,2,,
BARI SARDO,,GRANDE SUD,2,,
BARI SARDO,GIUSEPPE PIERO GRILLO BARI SARDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,421,,
BARI SARDO,MARIO MONTI BARI SARDO,CON MONTI PER L'ITALIA,127,,
BARI SARDO,ANTONIO INGROIA BARI SARDO,RIVOLUZIONE CIVILE,43,,
BARI SARDO,OSCAR FULVIO GIANNINO BARI SARDO,FARE PER FERMARE IL DECLINO,3,,
BARI SARDO,MARCO FERRANDO BARI SARDO,PARTITO COMUNISTA DEI LAVORATORI,8,,
BARI SARDO,ROBERTO FIORE BARI SARDO,FORZA NUOVA,7,,
BARI SARDO,GIACINTO MARCO PANNELLA BARI SARDO,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
BARI SARDO,GIOVANNI ANGELO COLLI BARI SARDO,PS D'AZ.,35,,
BARI SARDO,PIETRO MURRU BARI SARDO,INDIPENDENZA PER LA SARDEGNA,13,,
BARI SARDO,SALVATORE MELONI BARI SARDO,MERIS,9,,
BARI SARDO,EFISIO ARBAU BARI SARDO,LA BASE,2,,
BAUNEI,PIER LUIGI BERSANI BAUNEI,PARTITO DEMOCRATICO,455,,
BAUNEI,,CENTRO DEMOCRATICO,113,,
BAUNEI,,SINISTRA ECOLOGIA LIBERTA',85,,
BAUNEI,SILVIO BERLUSCONI BAUNEI,IL POPOLO DELLA LIBERTA',322,,
BAUNEI,,FRATELLI D'ITALIA,23,,
BAUNEI,,PARTITO PENSIONATI,13,,
BAUNEI,,LA DESTRA,10,,
BAUNEI,,BASTA TASSE,8,,
BAUNEI,,LEGA NORD,5,,
BAUNEI,,GRANDE SUD,1,,
BAUNEI,,MIR - MODERATI IN RIVOLUZIONE,0,,
BAUNEI,GIUSEPPE PIERO GRILLO BAUNEI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,404,,
BAUNEI,MARIO MONTI BAUNEI,CON MONTI PER L'ITALIA,112,,
BAUNEI,ANTONIO INGROIA BAUNEI,RIVOLUZIONE CIVILE,30,,
BAUNEI,OSCAR FULVIO GIANNINO BAUNEI,FARE PER FERMARE IL DECLINO,3,,
BAUNEI,MARCO FERRANDO BAUNEI,PARTITO COMUNISTA DEI LAVORATORI,4,,
BAUNEI,ROBERTO FIORE BAUNEI,FORZA NUOVA,4,,
BAUNEI,GIACINTO MARCO PANNELLA BAUNEI,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
BAUNEI,GIOVANNI ANGELO COLLI BAUNEI,PS D'AZ.,108,,
BAUNEI,PIETRO MURRU BAUNEI,INDIPENDENZA PER LA SARDEGNA,13,,
BAUNEI,SALVATORE MELONI BAUNEI,MERIS,8,,
BAUNEI,EFISIO ARBAU BAUNEI,LA BASE,1,,
CARDEDU,PIER LUIGI BERSANI CARDEDU,PARTITO DEMOCRATICO,358,,
CARDEDU,,SINISTRA ECOLOGIA LIBERTA',44,,
CARDEDU,,CENTRO DEMOCRATICO,35,,
CARDEDU,SILVIO BERLUSCONI CARDEDU,IL POPOLO DELLA LIBERTA',145,,
CARDEDU,,FRATELLI D'ITALIA,8,,
CARDEDU,,PARTITO PENSIONATI,6,,
CARDEDU,,BASTA TASSE,2,,
CARDEDU,,LA DESTRA,1,,
CARDEDU,,MIR - MODERATI IN RIVOLUZIONE,1,,
CARDEDU,,LEGA NORD,1,,
CARDEDU,,GRANDE SUD,1,,
CARDEDU,GIUSEPPE PIERO GRILLO CARDEDU,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,216,,
CARDEDU,MARIO MONTI CARDEDU,CON MONTI PER L'ITALIA,58,,
CARDEDU,ANTONIO INGROIA CARDEDU,RIVOLUZIONE CIVILE,22,,
CARDEDU,OSCAR FULVIO GIANNINO CARDEDU,FARE PER FERMARE IL DECLINO,1,,
CARDEDU,MARCO FERRANDO CARDEDU,PARTITO COMUNISTA DEI LAVORATORI,3,,
CARDEDU,ROBERTO FIORE CARDEDU,FORZA NUOVA,0,,
CARDEDU,GIACINTO MARCO PANNELLA CARDEDU,LISTA AMNISTIA GIUSTIZIA LIBERTA',4,,
CARDEDU,GIOVANNI ANGELO COLLI CARDEDU,PS D'AZ.,42,,
CARDEDU,PIETRO MURRU CARDEDU,INDIPENDENZA PER LA SARDEGNA,8,,
CARDEDU,SALVATORE MELONI CARDEDU,MERIS,0,,
CARDEDU,EFISIO ARBAU CARDEDU,LA BASE,0,,
ELINI,PIER LUIGI BERSANI ELINI,PARTITO DEMOCRATICO,71,,
ELINI,,CENTRO DEMOCRATICO,31,,
ELINI,,SINISTRA ECOLOGIA LIBERTA',14,,
ELINI,SILVIO BERLUSCONI ELINI,IL POPOLO DELLA LIBERTA',41,,
ELINI,,PARTITO PENSIONATI,3,,
ELINI,,FRATELLI D'ITALIA,3,,
ELINI,,BASTA TASSE,2,,
ELINI,,LA DESTRA,0,,
ELINI,,MIR - MODERATI IN RIVOLUZIONE,0,,
ELINI,,LEGA NORD,0,,
ELINI,,GRANDE SUD,0,,
ELINI,GIUSEPPE PIERO GRILLO ELINI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,33,,
ELINI,MARIO MONTI ELINI,CON MONTI PER L'ITALIA,33,,
ELINI,ANTONIO INGROIA ELINI,RIVOLUZIONE CIVILE,5,,
ELINI,OSCAR FULVIO GIANNINO ELINI,FARE PER FERMARE IL DECLINO,0,,
ELINI,MARCO FERRANDO ELINI,PARTITO COMUNISTA DEI LAVORATORI,1,,
ELINI,ROBERTO FIORE ELINI,FORZA NUOVA,0,,
ELINI,GIACINTO MARCO PANNELLA ELINI,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
ELINI,GIOVANNI ANGELO COLLI ELINI,PS D'AZ.,9,,
ELINI,PIETRO MURRU ELINI,INDIPENDENZA PER LA SARDEGNA,4,,
ELINI,SALVATORE MELONI ELINI,MERIS,0,,
ELINI,EFISIO ARBAU ELINI,LA BASE,12,,
GAIRO,PIER LUIGI BERSANI GAIRO,PARTITO DEMOCRATICO,292,,
GAIRO,,SINISTRA ECOLOGIA LIBERTA',13,,
GAIRO,,CENTRO DEMOCRATICO,8,,
GAIRO,SILVIO BERLUSCONI GAIRO,IL POPOLO DELLA LIBERTA',183,,
GAIRO,,LA DESTRA,3,,
GAIRO,,BASTA TASSE,2,,
GAIRO,,FRATELLI D'ITALIA,1,,
GAIRO,,PARTITO PENSIONATI,0,,
GAIRO,,MIR - MODERATI IN RIVOLUZIONE,0,,
GAIRO,,LEGA NORD,0,,
GAIRO,,GRANDE SUD,0,,
GAIRO,GIUSEPPE PIERO GRILLO GAIRO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,91,,
GAIRO,MARIO MONTI GAIRO,CON MONTI PER L'ITALIA,51,,
GAIRO,ANTONIO INGROIA GAIRO,RIVOLUZIONE CIVILE,15,,
GAIRO,OSCAR FULVIO GIANNINO GAIRO,FARE PER FERMARE IL DECLINO,1,,
GAIRO,MARCO FERRANDO GAIRO,PARTITO COMUNISTA DEI LAVORATORI,2,,
GAIRO,ROBERTO FIORE GAIRO,FORZA NUOVA,0,,
GAIRO,GIACINTO MARCO PANNELLA GAIRO,LISTA AMNISTIA GIUSTIZIA LIBERTA',5,,
GAIRO,GIOVANNI ANGELO COLLI GAIRO,PS D'AZ.,4,,
GAIRO,PIETRO MURRU GAIRO,INDIPENDENZA PER LA SARDEGNA,3,,
GAIRO,SALVATORE MELONI GAIRO,MERIS,1,,
GAIRO,EFISIO ARBAU GAIRO,LA BASE,1,,
GIRASOLE,PIER LUIGI BERSANI GIRASOLE,PARTITO DEMOCRATICO,162,,
GIRASOLE,,CENTRO DEMOCRATICO,21,,
GIRASOLE,,SINISTRA ECOLOGIA LIBERTA',13,,
GIRASOLE,SILVIO BERLUSCONI GIRASOLE,IL POPOLO DELLA LIBERTA',121,,
GIRASOLE,,GRANDE SUD,5,,
GIRASOLE,,PARTITO PENSIONATI,4,,
GIRASOLE,,FRATELLI D'ITALIA,4,,
GIRASOLE,,BASTA TASSE,3,,
GIRASOLE,,LEGA NORD,2,,
GIRASOLE,,LA DESTRA,0,,
GIRASOLE,,MIR - MODERATI IN RIVOLUZIONE,0,,
GIRASOLE,GIUSEPPE PIERO GRILLO GIRASOLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,181,,
GIRASOLE,MARIO MONTI GIRASOLE,CON MONTI PER L'ITALIA,48,,
GIRASOLE,ANTONIO INGROIA GIRASOLE,RIVOLUZIONE CIVILE,31,,
GIRASOLE,OSCAR FULVIO GIANNINO GIRASOLE,FARE PER FERMARE IL DECLINO,0,,
GIRASOLE,MARCO FERRANDO GIRASOLE,PARTITO COMUNISTA DEI LAVORATORI,2,,
GIRASOLE,ROBERTO FIORE GIRASOLE,FORZA NUOVA,2,,
GIRASOLE,GIACINTO MARCO PANNELLA GIRASOLE,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
GIRASOLE,GIOVANNI ANGELO COLLI GIRASOLE,PS D'AZ.,15,,
GIRASOLE,PIETRO MURRU GIRASOLE,INDIPENDENZA PER LA SARDEGNA,7,,
GIRASOLE,SALVATORE MELONI GIRASOLE,MERIS,3,,
GIRASOLE,EFISIO ARBAU GIRASOLE,LA BASE,0,,
ILBONO,PIER LUIGI BERSANI ILBONO,PARTITO DEMOCRATICO,243,,
ILBONO,,CENTRO DEMOCRATICO,116,,
ILBONO,,SINISTRA ECOLOGIA LIBERTA',10,,
ILBONO,SILVIO BERLUSCONI ILBONO,IL POPOLO DELLA LIBERTA',196,,
ILBONO,,FRATELLI D'ITALIA,7,,
ILBONO,,BASTA TASSE,5,,
ILBONO,,PARTITO PENSIONATI,4,,
ILBONO,,LA DESTRA,3,,
ILBONO,,GRANDE SUD,3,,
ILBONO,,MIR - MODERATI IN RIVOLUZIONE,2,,
ILBONO,,LEGA NORD,0,,
ILBONO,GIUSEPPE PIERO GRILLO ILBONO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,257,,
ILBONO,MARIO MONTI ILBONO,CON MONTI PER L'ITALIA,80,,
ILBONO,ANTONIO INGROIA ILBONO,RIVOLUZIONE CIVILE,28,,
ILBONO,OSCAR FULVIO GIANNINO ILBONO,FARE PER FERMARE IL DECLINO,2,,
ILBONO,MARCO FERRANDO ILBONO,PARTITO COMUNISTA DEI LAVORATORI,4,,
ILBONO,ROBERTO FIORE ILBONO,FORZA NUOVA,0,,
ILBONO,GIACINTO MARCO PANNELLA ILBONO,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
ILBONO,GIOVANNI ANGELO COLLI ILBONO,PS D'AZ.,19,,
ILBONO,PIETRO MURRU ILBONO,INDIPENDENZA PER LA SARDEGNA,10,,
ILBONO,SALVATORE MELONI ILBONO,MERIS,4,,
ILBONO,EFISIO ARBAU ILBONO,LA BASE,1,,
JERZU,PIER LUIGI BERSANI JERZU,PARTITO DEMOCRATICO,645,,
JERZU,,SINISTRA ECOLOGIA LIBERTA',54,,
JERZU,,CENTRO DEMOCRATICO,11,,
JERZU,SILVIO BERLUSCONI JERZU,IL POPOLO DELLA LIBERTA',296,,
JERZU,,FRATELLI D'ITALIA,17,,
JERZU,,LA DESTRA,9,,
JERZU,,PARTITO PENSIONATI,3,,
JERZU,,MIR - MODERATI IN RIVOLUZIONE,2,,
JERZU,,BASTA TASSE,2,,
JERZU,,LEGA NORD,2,,
JERZU,,GRANDE SUD,1,,
JERZU,GIUSEPPE PIERO GRILLO JERZU,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,324,,
JERZU,MARIO MONTI JERZU,CON MONTI PER L'ITALIA,155,,
JERZU,ANTONIO INGROIA JERZU,RIVOLUZIONE CIVILE,66,,
JERZU,OSCAR FULVIO GIANNINO JERZU,FARE PER FERMARE IL DECLINO,3,,
JERZU,MARCO FERRANDO JERZU,PARTITO COMUNISTA DEI LAVORATORI,13,,
JERZU,ROBERTO FIORE JERZU,FORZA NUOVA,5,,
JERZU,GIACINTO MARCO PANNELLA JERZU,LISTA AMNISTIA GIUSTIZIA LIBERTA',3,,
JERZU,GIOVANNI ANGELO COLLI JERZU,PS D'AZ.,35,,
JERZU,PIETRO MURRU JERZU,INDIPENDENZA PER LA SARDEGNA,10,,
JERZU,SALVATORE MELONI JERZU,MERIS,0,,
JERZU,EFISIO ARBAU JERZU,LA BASE,2,,
LANUSEI,PIER LUIGI BERSANI LANUSEI,PARTITO DEMOCRATICO,1007,,
LANUSEI,,CENTRO DEMOCRATICO,127,,
LANUSEI,,SINISTRA ECOLOGIA LIBERTA',84,,
LANUSEI,SILVIO BERLUSCONI LANUSEI,IL POPOLO DELLA LIBERTA',388,,
LANUSEI,,FRATELLI D'ITALIA,43,,
LANUSEI,,PARTITO PENSIONATI,19,,
LANUSEI,,BASTA TASSE,5,,
LANUSEI,,LA DESTRA,3,,
LANUSEI,,MIR - MODERATI IN RIVOLUZIONE,3,,
LANUSEI,,LEGA NORD,3,,
LANUSEI,,GRANDE SUD,0,,
LANUSEI,GIUSEPPE PIERO GRILLO LANUSEI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,735,,
LANUSEI,MARIO MONTI LANUSEI,CON MONTI PER L'ITALIA,262,,
LANUSEI,ANTONIO INGROIA LANUSEI,RIVOLUZIONE CIVILE,156,,
LANUSEI,OSCAR FULVIO GIANNINO LANUSEI,FARE PER FERMARE IL DECLINO,8,,
LANUSEI,MARCO FERRANDO LANUSEI,PARTITO COMUNISTA DEI LAVORATORI,6,,
LANUSEI,ROBERTO FIORE LANUSEI,FORZA NUOVA,5,,
LANUSEI,GIACINTO MARCO PANNELLA LANUSEI,LISTA AMNISTIA GIUSTIZIA LIBERTA',12,,
LANUSEI,GIOVANNI ANGELO COLLI LANUSEI,PS D'AZ.,72,,
LANUSEI,PIETRO MURRU LANUSEI,INDIPENDENZA PER LA SARDEGNA,14,,
LANUSEI,SALVATORE MELONI LANUSEI,MERIS,19,,
LANUSEI,EFISIO ARBAU LANUSEI,LA BASE,12,,
LOCERI,PIER LUIGI BERSANI LOCERI,PARTITO DEMOCRATICO,162,,
LOCERI,,SINISTRA ECOLOGIA LIBERTA',102,,
LOCERI,,CENTRO DEMOCRATICO,16,,
LOCERI,SILVIO BERLUSCONI LOCERI,IL POPOLO DELLA LIBERTA',141,,
LOCERI,,FRATELLI D'ITALIA,4,,
LOCERI,,LA DESTRA,3,,
LOCERI,,PARTITO PENSIONATI,3,,
LOCERI,,BASTA TASSE,2,,
LOCERI,,LEGA NORD,1,,
LOCERI,,MIR - MODERATI IN RIVOLUZIONE,0,,
LOCERI,,GRANDE SUD,0,,
LOCERI,GIUSEPPE PIERO GRILLO LOCERI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,143,,
LOCERI,MARIO MONTI LOCERI,CON MONTI PER L'ITALIA,26,,
LOCERI,ANTONIO INGROIA LOCERI,RIVOLUZIONE CIVILE,20,,
LOCERI,OSCAR FULVIO GIANNINO LOCERI,FARE PER FERMARE IL DECLINO,2,,
LOCERI,MARCO FERRANDO LOCERI,PARTITO COMUNISTA DEI LAVORATORI,4,,
LOCERI,ROBERTO FIORE LOCERI,FORZA NUOVA,0,,
LOCERI,GIACINTO MARCO PANNELLA LOCERI,LISTA AMNISTIA GIUSTIZIA LIBERTA',0,,
LOCERI,GIOVANNI ANGELO COLLI LOCERI,PS D'AZ.,12,,
LOCERI,PIETRO MURRU LOCERI,INDIPENDENZA PER LA SARDEGNA,9,,
LOCERI,SALVATORE MELONI LOCERI,MERIS,0,,
LOCERI,EFISIO ARBAU LOCERI,LA BASE,2,,
LOTZORAI,PIER LUIGI BERSANI LOTZORAI,PARTITO DEMOCRATICO,364,,
LOTZORAI,,SINISTRA ECOLOGIA LIBERTA',22,,
LOTZORAI,,CENTRO DEMOCRATICO,18,,
LOTZORAI,SILVIO BERLUSCONI LOTZORAI,IL POPOLO DELLA LIBERTA',222,,
LOTZORAI,,FRATELLI D'ITALIA,14,,
LOTZORAI,,PARTITO PENSIONATI,10,,
LOTZORAI,,GRANDE SUD,6,,
LOTZORAI,,LA DESTRA,5,,
LOTZORAI,,LEGA NORD,3,,
LOTZORAI,,MIR - MODERATI IN RIVOLUZIONE,2,,
LOTZORAI,,BASTA TASSE,0,,
LOTZORAI,GIUSEPPE PIERO GRILLO LOTZORAI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,313,,
LOTZORAI,MARIO MONTI LOTZORAI,CON MONTI PER L'ITALIA,59,,
LOTZORAI,ANTONIO INGROIA LOTZORAI,RIVOLUZIONE CIVILE,33,,
LOTZORAI,OSCAR FULVIO GIANNINO LOTZORAI,FARE PER FERMARE IL DECLINO,1,,
LOTZORAI,MARCO FERRANDO LOTZORAI,PARTITO COMUNISTA DEI LAVORATORI,4,,
LOTZORAI,ROBERTO FIORE LOTZORAI,FORZA NUOVA,2,,
LOTZORAI,GIACINTO MARCO PANNELLA LOTZORAI,LISTA AMNISTIA GIUSTIZIA LIBERTA',2,,
LOTZORAI,GIOVANNI ANGELO COLLI LOTZORAI,PS D'AZ.,32,,
LOTZORAI,PIETRO MURRU LOTZORAI,INDIPENDENZA PER LA SARDEGNA,4,,
LOTZORAI,SALVATORE MELONI LOTZORAI,MERIS,2,,
LOTZORAI,EFISIO ARBAU LOTZORAI,LA BASE,1,,
OSINI,PIER LUIGI BERSANI OSINI,PARTITO DEMOCRATICO,123,,
OSINI,,SINISTRA ECOLOGIA LIBERTA',8,,
OSINI,,CENTRO DEMOCRATICO,4,,
OSINI,SILVIO BERLUSCONI OSINI,IL POPOLO DELLA LIBERTA',71,,
OSINI,,FRATELLI D'ITALIA,7,,
OSINI,,PARTITO PENSIONATI,3,,
OSINI,,LA DESTRA,2,,
OSINI,,BASTA TASSE,1,,
OSINI,,MIR - MODERATI IN RIVOLUZIONE,0,,
OSINI,,LEGA NORD,0,,
OSINI,,GRANDE SUD,0,,
OSINI,GIUSEPPE PIERO GRILLO OSINI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,53,,
OSINI,MARIO MONTI OSINI,CON MONTI PER L'ITALIA,40,,
OSINI,ANTONIO INGROIA OSINI,RIVOLUZIONE CIVILE,11,,
OSINI,OSCAR FULVIO GIANNINO OSINI,FARE PER FERMARE IL DECLINO,2,,
OSINI,MARCO FERRANDO OSINI,PARTITO COMUNISTA DEI LAVORATORI,0,,
OSINI,ROBERTO FIORE OSINI,FORZA NUOVA,1,,
OSINI,GIACINTO MARCO PANNELLA OSINI,LISTA AMNISTIA GIUSTIZIA LIBERTA',1,,
OSINI,GIOVANNI ANGELO COLLI OSINI,PS D'AZ.,51,,
OSINI,PIETRO MURRU OSINI,INDIPENDENZA PER LA SARDEGNA,2,,
OSINI,SALVATORE MELONI OSINI,MERIS,1,,
OSINI,EFISIO ARBAU OSINI,LA BASE,0,,
PERDASDEFOGU,PIER LUIGI BERSANI PERDASDEFOGU,PARTITO DEMOCRATICO,381,,
PERDASDEFOGU,,SINISTRA ECOLOGIA LIBERTA',14,,
PERDASDEFOGU,,CENTRO DEMOCRATICO,1,,
PERDASDEFOGU,SILVIO BERLUSCONI PERDASDEFOGU,IL POPOLO DELLA LIBERTA',164,,
PERDASDEFOGU,,FRATELLI D'ITALIA,69,,
PERDASDEFOGU,,LA DESTRA,8,,
PERDASDEFOGU,,BASTA TASSE,5,,
PERDASDEFOGU,,PARTITO PENSIONATI,2,,
PERDASDEFOGU,,MIR - MODERATI IN RIVOLUZIONE,1,,
PERDASDEFOGU,,LEGA NORD,1,,
PERDASDEFOGU,,GRANDE SUD,0,,
