Ente,Candidato,Liste/Gruppi,Voti lista,,
ABANO TERME,PIER LUIGI BERSANI ABANO TERME,PARTITO DEMOCRATICO,2969,,
ABANO TERME,,SINISTRA ECOLOGIA LIBERTA',163,,
ABANO TERME,,CENTRO DEMOCRATICO,25,,
ABANO TERME,SILVIO BERLUSCONI ABANO TERME,IL POPOLO DELLA LIBERTA',2588,,
ABANO TERME,,LEGA NORD,878,,
ABANO TERME,,FRATELLI D'ITALIA,145,,
ABANO TERME,,PARTITO PENSIONATI,90,,
ABANO TERME,,LA DESTRA,49,,
ABANO TERME,,MIR - MODERATI IN RIVOLUZIONE,31,,
ABANO TERME,GIUSEPPE PIERO GRILLO ABANO TERME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2787,,
ABANO TERME,MARIO MONTI ABANO TERME,CON MONTI PER L'ITALIA,1278,,
ABANO TERME,ANTONIO INGROIA ABANO TERME,RIVOLUZIONE CIVILE,118,,
ABANO TERME,OSCAR FULVIO GIANNINO ABANO TERME,FARE PER FERMARE IL DECLINO,197,,
ABANO TERME,MARCO FERRANDO ABANO TERME,PARTITO COMUNISTA DEI LAVORATORI,24,,
ABANO TERME,ROBERTO FIORE ABANO TERME,FORZA NUOVA,27,,
ABANO TERME,MAGDI CRISTIANO ALLAM ABANO TERME,IO AMO L'ITALIA,37,,
ABANO TERME,SIMONE DI STEFANO ABANO TERME,CASAPOUND ITALIA,15,,
ABANO TERME,LODOVICO PIZZATI ABANO TERME,INDIPENDENZA VENETA,43,,
ABANO TERME,FABRIZIO COMENCINI ABANO TERME,LG.VENETA REPUBBLICA,95,,
ABANO TERME,ANTONIO GUADAGNINI ABANO TERME,VENETO STATO,22,,
ABANO TERME,MARIA CRISTINA SANDRIN ABANO TERME,DONNE PER L'ITALIA,29,,
ABANO TERME,STEFANIA GABRIELLA ANASTASIA CRAXI ABANO TERME,RIFORMISTI ITALIANI,1,,
ABANO TERME,PIERO PUSCHIAVO ABANO TERME,PROGETTO NAZIONALE,19,,
AGNA,PIER LUIGI BERSANI AGNA,PARTITO DEMOCRATICO,415,,
AGNA,,SINISTRA ECOLOGIA LIBERTA',12,,
AGNA,,CENTRO DEMOCRATICO,3,,
AGNA,SILVIO BERLUSCONI AGNA,IL POPOLO DELLA LIBERTA',512,,
AGNA,,LEGA NORD,171,,
AGNA,,FRATELLI D'ITALIA,23,,
AGNA,,PARTITO PENSIONATI,19,,
AGNA,,LA DESTRA,16,,
AGNA,,MIR - MODERATI IN RIVOLUZIONE,10,,
AGNA,GIUSEPPE PIERO GRILLO AGNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,462,,
AGNA,MARIO MONTI AGNA,CON MONTI PER L'ITALIA,156,,
AGNA,ANTONIO INGROIA AGNA,RIVOLUZIONE CIVILE,15,,
AGNA,OSCAR FULVIO GIANNINO AGNA,FARE PER FERMARE IL DECLINO,26,,
AGNA,MARCO FERRANDO AGNA,PARTITO COMUNISTA DEI LAVORATORI,3,,
AGNA,ROBERTO FIORE AGNA,FORZA NUOVA,11,,
AGNA,MAGDI CRISTIANO ALLAM AGNA,IO AMO L'ITALIA,4,,
AGNA,SIMONE DI STEFANO AGNA,CASAPOUND ITALIA,3,,
AGNA,LODOVICO PIZZATI AGNA,INDIPENDENZA VENETA,25,,
AGNA,FABRIZIO COMENCINI AGNA,LG.VENETA REPUBBLICA,15,,
AGNA,ANTONIO GUADAGNINI AGNA,VENETO STATO,10,,
AGNA,MARIA CRISTINA SANDRIN AGNA,DONNE PER L'ITALIA,13,,
AGNA,STEFANIA GABRIELLA ANASTASIA CRAXI AGNA,RIFORMISTI ITALIANI,0,,
AGNA,PIERO PUSCHIAVO AGNA,PROGETTO NAZIONALE,3,,
ALBIGNASEGO,PIER LUIGI BERSANI ALBIGNASEGO,PARTITO DEMOCRATICO,3660,,
ALBIGNASEGO,,SINISTRA ECOLOGIA LIBERTA',261,,
ALBIGNASEGO,,CENTRO DEMOCRATICO,24,,
ALBIGNASEGO,SILVIO BERLUSCONI ALBIGNASEGO,IL POPOLO DELLA LIBERTA',2646,,
ALBIGNASEGO,,LEGA NORD,1051,,
ALBIGNASEGO,,MIR - MODERATI IN RIVOLUZIONE,201,,
ALBIGNASEGO,,FRATELLI D'ITALIA,173,,
ALBIGNASEGO,,PARTITO PENSIONATI,114,,
ALBIGNASEGO,,LA DESTRA,49,,
ALBIGNASEGO,GIUSEPPE PIERO GRILLO ALBIGNASEGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,4163,,
ALBIGNASEGO,MARIO MONTI ALBIGNASEGO,CON MONTI PER L'ITALIA,1709,,
ALBIGNASEGO,ANTONIO INGROIA ALBIGNASEGO,RIVOLUZIONE CIVILE,157,,
ALBIGNASEGO,OSCAR FULVIO GIANNINO ALBIGNASEGO,FARE PER FERMARE IL DECLINO,384,,
ALBIGNASEGO,MARCO FERRANDO ALBIGNASEGO,PARTITO COMUNISTA DEI LAVORATORI,35,,
ALBIGNASEGO,ROBERTO FIORE ALBIGNASEGO,FORZA NUOVA,40,,
ALBIGNASEGO,MAGDI CRISTIANO ALLAM ALBIGNASEGO,IO AMO L'ITALIA,48,,
ALBIGNASEGO,SIMONE DI STEFANO ALBIGNASEGO,CASAPOUND ITALIA,36,,
ALBIGNASEGO,LODOVICO PIZZATI ALBIGNASEGO,INDIPENDENZA VENETA,80,,
ALBIGNASEGO,FABRIZIO COMENCINI ALBIGNASEGO,LG.VENETA REPUBBLICA,103,,
ALBIGNASEGO,ANTONIO GUADAGNINI ALBIGNASEGO,VENETO STATO,23,,
ALBIGNASEGO,MARIA CRISTINA SANDRIN ALBIGNASEGO,DONNE PER L'ITALIA,42,,
ALBIGNASEGO,STEFANIA GABRIELLA ANASTASIA CRAXI ALBIGNASEGO,RIFORMISTI ITALIANI,8,,
ALBIGNASEGO,PIERO PUSCHIAVO ALBIGNASEGO,PROGETTO NAZIONALE,18,,
ANGUILLARA VENETA,PIER LUIGI BERSANI ANGUILLARA VENETA,PARTITO DEMOCRATICO,715,,
ANGUILLARA VENETA,,SINISTRA ECOLOGIA LIBERTA',44,,
ANGUILLARA VENETA,,CENTRO DEMOCRATICO,5,,
ANGUILLARA VENETA,SILVIO BERLUSCONI ANGUILLARA VENETA,IL POPOLO DELLA LIBERTA',680,,
ANGUILLARA VENETA,,LEGA NORD,165,,
ANGUILLARA VENETA,,LA DESTRA,73,,
ANGUILLARA VENETA,,FRATELLI D'ITALIA,35,,
ANGUILLARA VENETA,,PARTITO PENSIONATI,20,,
ANGUILLARA VENETA,,MIR - MODERATI IN RIVOLUZIONE,3,,
