Ente,Candidato,Liste/Gruppi,Voti lista,,
ANNONE VENETO,PIER LUIGI BERSANI ANNONE VENETO,PARTITO DEMOCRATICO,411,,
ANNONE VENETO,,SINISTRA ECOLOGIA LIBERTA',7,,
ANNONE VENETO,,CENTRO DEMOCRATICO,4,,
ANNONE VENETO,SILVIO BERLUSCONI ANNONE VENETO,IL POPOLO DELLA LIBERTA',526,,
ANNONE VENETO,,LEGA NORD,234,,
ANNONE VENETO,,FRATELLI D'ITALIA,26,,
ANNONE VENETO,,PARTITO PENSIONATI,23,,
ANNONE VENETO,,LA DESTRA,7,,
ANNONE VENETO,,MIR - MODERATI IN RIVOLUZIONE,2,,
ANNONE VENETO,GIUSEPPE PIERO GRILLO ANNONE VENETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,489,,
ANNONE VENETO,MARIO MONTI ANNONE VENETO,CON MONTI PER L'ITALIA,234,,
ANNONE VENETO,ANTONIO INGROIA ANNONE VENETO,RIVOLUZIONE CIVILE,9,,
ANNONE VENETO,OSCAR FULVIO GIANNINO ANNONE VENETO,FARE PER FERMARE IL DECLINO,23,,
ANNONE VENETO,MARCO FERRANDO ANNONE VENETO,PARTITO COMUNISTA DEI LAVORATORI,11,,
ANNONE VENETO,ROBERTO FIORE ANNONE VENETO,FORZA NUOVA,6,,
ANNONE VENETO,MAGDI CRISTIANO ALLAM ANNONE VENETO,IO AMO L'ITALIA,4,,
ANNONE VENETO,SIMONE DI STEFANO ANNONE VENETO,CASAPOUND ITALIA,3,,
ANNONE VENETO,LODOVICO PIZZATI ANNONE VENETO,INDIPENDENZA VENETA,16,,
ANNONE VENETO,FABRIZIO COMENCINI ANNONE VENETO,LG.VENETA REPUBBLICA,8,,
ANNONE VENETO,ANTONIO GUADAGNINI ANNONE VENETO,VENETO STATO,2,,
ANNONE VENETO,MARIA CRISTINA SANDRIN ANNONE VENETO,DONNE PER L'ITALIA,8,,
ANNONE VENETO,STEFANIA GABRIELLA ANASTASIA CRAXI ANNONE VENETO,RIFORMISTI ITALIANI,0,,
ANNONE VENETO,PIERO PUSCHIAVO ANNONE VENETO,PROGETTO NAZIONALE,2,,
CAMPAGNA LUPIA,PIER LUIGI BERSANI CAMPAGNA LUPIA,PARTITO DEMOCRATICO,1295,,
CAMPAGNA LUPIA,,SINISTRA ECOLOGIA LIBERTA',66,,
CAMPAGNA LUPIA,,CENTRO DEMOCRATICO,11,,
CAMPAGNA LUPIA,SILVIO BERLUSCONI CAMPAGNA LUPIA,IL POPOLO DELLA LIBERTA',695,,
CAMPAGNA LUPIA,,LEGA NORD,239,,
CAMPAGNA LUPIA,,FRATELLI D'ITALIA,39,,
CAMPAGNA LUPIA,,PARTITO PENSIONATI,14,,
CAMPAGNA LUPIA,,LA DESTRA,9,,
CAMPAGNA LUPIA,,MIR - MODERATI IN RIVOLUZIONE,2,,
CAMPAGNA LUPIA,GIUSEPPE PIERO GRILLO CAMPAGNA LUPIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1221,,
CAMPAGNA LUPIA,MARIO MONTI CAMPAGNA LUPIA,CON MONTI PER L'ITALIA,310,,
CAMPAGNA LUPIA,ANTONIO INGROIA CAMPAGNA LUPIA,RIVOLUZIONE CIVILE,63,,
CAMPAGNA LUPIA,OSCAR FULVIO GIANNINO CAMPAGNA LUPIA,FARE PER FERMARE IL DECLINO,32,,
CAMPAGNA LUPIA,MARCO FERRANDO CAMPAGNA LUPIA,PARTITO COMUNISTA DEI LAVORATORI,34,,
CAMPAGNA LUPIA,ROBERTO FIORE CAMPAGNA LUPIA,FORZA NUOVA,9,,
CAMPAGNA LUPIA,MAGDI CRISTIANO ALLAM CAMPAGNA LUPIA,IO AMO L'ITALIA,2,,
CAMPAGNA LUPIA,SIMONE DI STEFANO CAMPAGNA LUPIA,CASAPOUND ITALIA,1,,
CAMPAGNA LUPIA,LODOVICO PIZZATI CAMPAGNA LUPIA,INDIPENDENZA VENETA,23,,
CAMPAGNA LUPIA,FABRIZIO COMENCINI CAMPAGNA LUPIA,LG.VENETA REPUBBLICA,12,,
CAMPAGNA LUPIA,ANTONIO GUADAGNINI CAMPAGNA LUPIA,VENETO STATO,5,,
CAMPAGNA LUPIA,MARIA CRISTINA SANDRIN CAMPAGNA LUPIA,DONNE PER L'ITALIA,14,,
CAMPAGNA LUPIA,STEFANIA GABRIELLA ANASTASIA CRAXI CAMPAGNA LUPIA,RIFORMISTI ITALIANI,1,,
CAMPAGNA LUPIA,PIERO PUSCHIAVO CAMPAGNA LUPIA,PROGETTO NAZIONALE,11,,
CAMPOLONGO MAGGIORE,PIER LUIGI BERSANI CAMPOLONGO MAGGIORE,PARTITO DEMOCRATICO,1611,,
CAMPOLONGO MAGGIORE,,SINISTRA ECOLOGIA LIBERTA',97,,
CAMPOLONGO MAGGIORE,,CENTRO DEMOCRATICO,8,,
CAMPOLONGO MAGGIORE,SILVIO BERLUSCONI CAMPOLONGO MAGGIORE,IL POPOLO DELLA LIBERTA',1200,,
CAMPOLONGO MAGGIORE,,LEGA NORD,463,,
CAMPOLONGO MAGGIORE,,FRATELLI D'ITALIA,47,,
CAMPOLONGO MAGGIORE,,PARTITO PENSIONATI,37,,
CAMPOLONGO MAGGIORE,,LA DESTRA,19,,
CAMPOLONGO MAGGIORE,,MIR - MODERATI IN RIVOLUZIONE,12,,
CAMPOLONGO MAGGIORE,GIUSEPPE PIERO GRILLO CAMPOLONGO MAGGIORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1981,,
CAMPOLONGO MAGGIORE,MARIO MONTI CAMPOLONGO MAGGIORE,CON MONTI PER L'ITALIA,552,,
CAMPOLONGO MAGGIORE,ANTONIO INGROIA CAMPOLONGO MAGGIORE,RIVOLUZIONE CIVILE,72,,
CAMPOLONGO MAGGIORE,OSCAR FULVIO GIANNINO CAMPOLONGO MAGGIORE,FARE PER FERMARE IL DECLINO,51,,
CAMPOLONGO MAGGIORE,MARCO FERRANDO CAMPOLONGO MAGGIORE,PARTITO COMUNISTA DEI LAVORATORI,44,,
CAMPOLONGO MAGGIORE,ROBERTO FIORE CAMPOLONGO MAGGIORE,FORZA NUOVA,10,,
CAMPOLONGO MAGGIORE,MAGDI CRISTIANO ALLAM CAMPOLONGO MAGGIORE,IO AMO L'ITALIA,18,,
CAMPOLONGO MAGGIORE,SIMONE DI STEFANO CAMPOLONGO MAGGIORE,CASAPOUND ITALIA,5,,
CAMPOLONGO MAGGIORE,LODOVICO PIZZATI CAMPOLONGO MAGGIORE,INDIPENDENZA VENETA,42,,
CAMPOLONGO MAGGIORE,FABRIZIO COMENCINI CAMPOLONGO MAGGIORE,LG.VENETA REPUBBLICA,28,,
CAMPOLONGO MAGGIORE,ANTONIO GUADAGNINI CAMPOLONGO MAGGIORE,VENETO STATO,22,,
CAMPOLONGO MAGGIORE,MARIA CRISTINA SANDRIN CAMPOLONGO MAGGIORE,DONNE PER L'ITALIA,16,,
CAMPOLONGO MAGGIORE,STEFANIA GABRIELLA ANASTASIA CRAXI CAMPOLONGO MAGGIORE,RIFORMISTI ITALIANI,2,,
CAMPOLONGO MAGGIORE,PIERO PUSCHIAVO CAMPOLONGO MAGGIORE,PROGETTO NAZIONALE,10,,
CAMPONOGARA,PIER LUIGI BERSANI CAMPONOGARA,PARTITO DEMOCRATICO,2272,,
CAMPONOGARA,,SINISTRA ECOLOGIA LIBERTA',146,,
CAMPONOGARA,,CENTRO DEMOCRATICO,19,,
CAMPONOGARA,SILVIO BERLUSCONI CAMPONOGARA,IL POPOLO DELLA LIBERTA',1152,,
CAMPONOGARA,,LEGA NORD,448,,
CAMPONOGARA,,FRATELLI D'ITALIA,77,,
CAMPONOGARA,,PARTITO PENSIONATI,51,,
CAMPONOGARA,,LA DESTRA,12,,
CAMPONOGARA,,MIR - MODERATI IN RIVOLUZIONE,5,,
CAMPONOGARA,GIUSEPPE PIERO GRILLO CAMPONOGARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2448,,
CAMPONOGARA,MARIO MONTI CAMPONOGARA,CON MONTI PER L'ITALIA,589,,
CAMPONOGARA,ANTONIO INGROIA CAMPONOGARA,RIVOLUZIONE CIVILE,83,,
CAMPONOGARA,OSCAR FULVIO GIANNINO CAMPONOGARA,FARE PER FERMARE IL DECLINO,60,,
CAMPONOGARA,MARCO FERRANDO CAMPONOGARA,PARTITO COMUNISTA DEI LAVORATORI,48,,
CAMPONOGARA,ROBERTO FIORE CAMPONOGARA,FORZA NUOVA,19,,
CAMPONOGARA,MAGDI CRISTIANO ALLAM CAMPONOGARA,IO AMO L'ITALIA,34,,
CAMPONOGARA,SIMONE DI STEFANO CAMPONOGARA,CASAPOUND ITALIA,5,,
CAMPONOGARA,LODOVICO PIZZATI CAMPONOGARA,INDIPENDENZA VENETA,63,,
CAMPONOGARA,FABRIZIO COMENCINI CAMPONOGARA,LG.VENETA REPUBBLICA,32,,
CAMPONOGARA,ANTONIO GUADAGNINI CAMPONOGARA,VENETO STATO,17,,
CAMPONOGARA,MARIA CRISTINA SANDRIN CAMPONOGARA,DONNE PER L'ITALIA,11,,
CAMPONOGARA,STEFANIA GABRIELLA ANASTASIA CRAXI CAMPONOGARA,RIFORMISTI ITALIANI,1,,
CAMPONOGARA,PIERO PUSCHIAVO CAMPONOGARA,PROGETTO NAZIONALE,10,,
CAORLE,PIER LUIGI BERSANI CAORLE,PARTITO DEMOCRATICO,1226,,
CAORLE,,SINISTRA ECOLOGIA LIBERTA',63,,
CAORLE,,CENTRO DEMOCRATICO,10,,
CAORLE,SILVIO BERLUSCONI CAORLE,IL POPOLO DELLA LIBERTA',2003,,
CAORLE,,LEGA NORD,598,,
CAORLE,,FRATELLI D'ITALIA,113,,
CAORLE,,LA DESTRA,41,,
CAORLE,,PARTITO PENSIONATI,35,,
CAORLE,,MIR - MODERATI IN RIVOLUZIONE,27,,
CAORLE,GIUSEPPE PIERO GRILLO CAORLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1713,,
CAORLE,MARIO MONTI CAORLE,CON MONTI PER L'ITALIA,544,,
CAORLE,ANTONIO INGROIA CAORLE,RIVOLUZIONE CIVILE,72,,
CAORLE,OSCAR FULVIO GIANNINO CAORLE,FARE PER FERMARE IL DECLINO,68,,
CAORLE,MARCO FERRANDO CAORLE,PARTITO COMUNISTA DEI LAVORATORI,36,,
CAORLE,ROBERTO FIORE CAORLE,FORZA NUOVA,19,,
CAORLE,MAGDI CRISTIANO ALLAM CAORLE,IO AMO L'ITALIA,17,,
CAORLE,SIMONE DI STEFANO CAORLE,CASAPOUND ITALIA,6,,
CAORLE,LODOVICO PIZZATI CAORLE,INDIPENDENZA VENETA,70,,
CAORLE,FABRIZIO COMENCINI CAORLE,LG.VENETA REPUBBLICA,34,,
CAORLE,ANTONIO GUADAGNINI CAORLE,VENETO STATO,3,,
CAORLE,MARIA CRISTINA SANDRIN CAORLE,DONNE PER L'ITALIA,16,,
CAORLE,STEFANIA GABRIELLA ANASTASIA CRAXI CAORLE,RIFORMISTI ITALIANI,1,,
CAORLE,PIERO PUSCHIAVO CAORLE,PROGETTO NAZIONALE,5,,
CAVALLINO-TREPORTI,PIER LUIGI BERSANI CAVALLINO-TREPORTI,PARTITO DEMOCRATICO,1129,,
CAVALLINO-TREPORTI,,SINISTRA ECOLOGIA LIBERTA',81,,
CAVALLINO-TREPORTI,,CENTRO DEMOCRATICO,9,,
CAVALLINO-TREPORTI,SILVIO BERLUSCONI CAVALLINO-TREPORTI,IL POPOLO DELLA LIBERTA',2198,,
CAVALLINO-TREPORTI,,LEGA NORD,616,,
CAVALLINO-TREPORTI,,FRATELLI D'ITALIA,115,,
CAVALLINO-TREPORTI,,PARTITO PENSIONATI,50,,
CAVALLINO-TREPORTI,,LA DESTRA,26,,
CAVALLINO-TREPORTI,,MIR - MODERATI IN RIVOLUZIONE,5,,
CAVALLINO-TREPORTI,GIUSEPPE PIERO GRILLO CAVALLINO-TREPORTI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2090,,
CAVALLINO-TREPORTI,MARIO MONTI CAVALLINO-TREPORTI,CON MONTI PER L'ITALIA,547,,
CAVALLINO-TREPORTI,ANTONIO INGROIA CAVALLINO-TREPORTI,RIVOLUZIONE CIVILE,82,,
CAVALLINO-TREPORTI,OSCAR FULVIO GIANNINO CAVALLINO-TREPORTI,FARE PER FERMARE IL DECLINO,58,,
CAVALLINO-TREPORTI,MARCO FERRANDO CAVALLINO-TREPORTI,PARTITO COMUNISTA DEI LAVORATORI,20,,
CAVALLINO-TREPORTI,ROBERTO FIORE CAVALLINO-TREPORTI,FORZA NUOVA,12,,
CAVALLINO-TREPORTI,MAGDI CRISTIANO ALLAM CAVALLINO-TREPORTI,IO AMO L'ITALIA,11,,
CAVALLINO-TREPORTI,SIMONE DI STEFANO CAVALLINO-TREPORTI,CASAPOUND ITALIA,5,,
CAVALLINO-TREPORTI,LODOVICO PIZZATI CAVALLINO-TREPORTI,INDIPENDENZA VENETA,59,,
CAVALLINO-TREPORTI,FABRIZIO COMENCINI CAVALLINO-TREPORTI,LG.VENETA REPUBBLICA,31,,
CAVALLINO-TREPORTI,ANTONIO GUADAGNINI CAVALLINO-TREPORTI,VENETO STATO,10,,
CAVALLINO-TREPORTI,MARIA CRISTINA SANDRIN CAVALLINO-TREPORTI,DONNE PER L'ITALIA,22,,
CAVALLINO-TREPORTI,STEFANIA GABRIELLA ANASTASIA CRAXI CAVALLINO-TREPORTI,RIFORMISTI ITALIANI,3,,
CAVALLINO-TREPORTI,PIERO PUSCHIAVO CAVALLINO-TREPORTI,PROGETTO NAZIONALE,8,,
CAVARZERE,PIER LUIGI BERSANI CAVARZERE,PARTITO DEMOCRATICO,2265,,
CAVARZERE,,SINISTRA ECOLOGIA LIBERTA',342,,
CAVARZERE,,CENTRO DEMOCRATICO,9,,
CAVARZERE,SILVIO BERLUSCONI CAVARZERE,IL POPOLO DELLA LIBERTA',1918,,
CAVARZERE,,LEGA NORD,534,,
CAVARZERE,,FRATELLI D'ITALIA,131,,
CAVARZERE,,PARTITO PENSIONATI,70,,
CAVARZERE,,LA DESTRA,44,,
CAVARZERE,,MIR - MODERATI IN RIVOLUZIONE,11,,
CAVARZERE,GIUSEPPE PIERO GRILLO CAVARZERE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1890,,
CAVARZERE,MARIO MONTI CAVARZERE,CON MONTI PER L'ITALIA,736,,
CAVARZERE,ANTONIO INGROIA CAVARZERE,RIVOLUZIONE CIVILE,105,,
CAVARZERE,OSCAR FULVIO GIANNINO CAVARZERE,FARE PER FERMARE IL DECLINO,62,,
CAVARZERE,MARCO FERRANDO CAVARZERE,PARTITO COMUNISTA DEI LAVORATORI,64,,
CAVARZERE,ROBERTO FIORE CAVARZERE,FORZA NUOVA,23,,
CAVARZERE,MAGDI CRISTIANO ALLAM CAVARZERE,IO AMO L'ITALIA,20,,
CAVARZERE,SIMONE DI STEFANO CAVARZERE,CASAPOUND ITALIA,3,,
CAVARZERE,LODOVICO PIZZATI CAVARZERE,INDIPENDENZA VENETA,71,,
CAVARZERE,FABRIZIO COMENCINI CAVARZERE,LG.VENETA REPUBBLICA,39,,
CAVARZERE,ANTONIO GUADAGNINI CAVARZERE,VENETO STATO,38,,
CAVARZERE,MARIA CRISTINA SANDRIN CAVARZERE,DONNE PER L'ITALIA,25,,
CAVARZERE,STEFANIA GABRIELLA ANASTASIA CRAXI CAVARZERE,RIFORMISTI ITALIANI,11,,
CAVARZERE,PIERO PUSCHIAVO CAVARZERE,PROGETTO NAZIONALE,21,,
CEGGIA,PIER LUIGI BERSANI CEGGIA,PARTITO DEMOCRATICO,975,,
CEGGIA,,SINISTRA ECOLOGIA LIBERTA',44,,
CEGGIA,,CENTRO DEMOCRATICO,2,,
CEGGIA,SILVIO BERLUSCONI CEGGIA,IL POPOLO DELLA LIBERTA',604,,
CEGGIA,,LEGA NORD,305,,
CEGGIA,,FRATELLI D'ITALIA,34,,
CEGGIA,,PARTITO PENSIONATI,29,,
CEGGIA,,LA DESTRA,12,,
CEGGIA,,MIR - MODERATI IN RIVOLUZIONE,3,,
CEGGIA,GIUSEPPE PIERO GRILLO CEGGIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,858,,
CEGGIA,MARIO MONTI CEGGIA,CON MONTI PER L'ITALIA,410,,
CEGGIA,ANTONIO INGROIA CEGGIA,RIVOLUZIONE CIVILE,26,,
CEGGIA,OSCAR FULVIO GIANNINO CEGGIA,FARE PER FERMARE IL DECLINO,50,,
CEGGIA,MARCO FERRANDO CEGGIA,PARTITO COMUNISTA DEI LAVORATORI,14,,
CEGGIA,ROBERTO FIORE CEGGIA,FORZA NUOVA,6,,
CEGGIA,MAGDI CRISTIANO ALLAM CEGGIA,IO AMO L'ITALIA,4,,
CEGGIA,SIMONE DI STEFANO CEGGIA,CASAPOUND ITALIA,3,,
CEGGIA,LODOVICO PIZZATI CEGGIA,INDIPENDENZA VENETA,19,,
CEGGIA,FABRIZIO COMENCINI CEGGIA,LG.VENETA REPUBBLICA,31,,
CEGGIA,ANTONIO GUADAGNINI CEGGIA,VENETO STATO,4,,
CEGGIA,MARIA CRISTINA SANDRIN CEGGIA,DONNE PER L'ITALIA,9,,
CEGGIA,STEFANIA GABRIELLA ANASTASIA CRAXI CEGGIA,RIFORMISTI ITALIANI,1,,
CEGGIA,PIERO PUSCHIAVO CEGGIA,PROGETTO NAZIONALE,2,,
CHIOGGIA,PIER LUIGI BERSANI CHIOGGIA,PARTITO DEMOCRATICO,5274,,
CHIOGGIA,,SINISTRA ECOLOGIA LIBERTA',470,,
