Ente,Liste/Gruppi,Voti,,
BADIA,SVP,1120,,
BADIA,VERDI - GRUNE - VERC,179,,
BADIA,DIE FREIHEITLICHEN,136,,
BADIA,IL POPOLO DELLA LIBERTA' - LEGA NORD,135,,
BADIA,PARTITO DEMOCRATICO,105,,
BADIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,92,,
BADIA,SCELTA CIVICA CON MONTI PER L'ITALIA,78,,
BADIA,LA DESTRA,5,,
BADIA,RIVOLUZIONE CIVILE,4,,
BADIA,L'ALTO ADIGE NEL CUORE,3,,
BARBIANO,SVP,531,,
BARBIANO,DIE FREIHEITLICHEN,222,,
BARBIANO,VERDI - GRUNE - VERC,60,,
BARBIANO,SCELTA CIVICA CON MONTI PER L'ITALIA,17,,
BARBIANO,PARTITO DEMOCRATICO,12,,
BARBIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,11,,
BARBIANO,IL POPOLO DELLA LIBERTA' - LEGA NORD,8,,
BARBIANO,RIVOLUZIONE CIVILE,5,,
BARBIANO,LA DESTRA,1,,
BARBIANO,L'ALTO ADIGE NEL CUORE,0,,
BRAIES,SVP,240,,
BRAIES,DIE FREIHEITLICHEN,82,,
BRAIES,VERDI - GRUNE - VERC,16,,
BRAIES,PARTITO DEMOCRATICO,10,,
BRAIES,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,6,,
BRAIES,IL POPOLO DELLA LIBERTA' - LEGA NORD,5,,
BRAIES,SCELTA CIVICA CON MONTI PER L'ITALIA,1,,
BRAIES,L'ALTO ADIGE NEL CUORE,0,,
BRAIES,LA DESTRA,0,,
BRAIES,RIVOLUZIONE CIVILE,0,,
BRENNERO,SVP,523,,
BRENNERO,DIE FREIHEITLICHEN,220,,
BRENNERO,IL POPOLO DELLA LIBERTA' - LEGA NORD,81,,
BRENNERO,VERDI - GRUNE - VERC,63,,
BRENNERO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,59,,
BRENNERO,SCELTA CIVICA CON MONTI PER L'ITALIA,52,,
BRENNERO,PARTITO DEMOCRATICO,48,,
BRENNERO,RIVOLUZIONE CIVILE,6,,
BRENNERO,L'ALTO ADIGE NEL CUORE,4,,
BRENNERO,LA DESTRA,4,,
BRESSANONE,SVP,4520,,
BRESSANONE,DIE FREIHEITLICHEN,1818,,
BRESSANONE,PARTITO DEMOCRATICO,1121,,
BRESSANONE,SCELTA CIVICA CON MONTI PER L'ITALIA,956,,
BRESSANONE,VERDI - GRUNE - VERC,891,,
BRESSANONE,IL POPOLO DELLA LIBERTA' - LEGA NORD,767,,
BRESSANONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,650,,
BRESSANONE,L'ALTO ADIGE NEL CUORE,146,,
BRESSANONE,RIVOLUZIONE CIVILE,60,,
BRESSANONE,LA DESTRA,37,,
