Ente,Liste/Gruppi,Voti,,
BASELGA DI PINE',SVP - PATT - PD - UPT,1150,,
BASELGA DI PINE',IL POPOLO DELLA LIBERTA' - LEGA NORD,779,,
BASELGA DI PINE',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,509,,
BASELGA DI PINE',FARE PER FERMARE IL DECLINO,89,,
BASELGA DI PINE',RIVOLUZIONE CIVILE,54,,
BASELGA DI PINE',MIR - MODERATI IN RIVOLUZIONE,29,,
BEDOLLO,SVP - PATT - PD - UPT,340,,
BEDOLLO,IL POPOLO DELLA LIBERTA' - LEGA NORD,259,,
BEDOLLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,164,,
BEDOLLO,RIVOLUZIONE CIVILE,17,,
BEDOLLO,FARE PER FERMARE IL DECLINO,14,,
BEDOLLO,MIR - MODERATI IN RIVOLUZIONE,5,,
BIENO,SVP - PATT - PD - UPT,81,,
BIENO,IL POPOLO DELLA LIBERTA' - LEGA NORD,76,,
BIENO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,45,,
BIENO,RIVOLUZIONE CIVILE,6,,
BIENO,FARE PER FERMARE IL DECLINO,4,,
BIENO,MIR - MODERATI IN RIVOLUZIONE,0,,
BORGO VALSUGANA,SVP - PATT - PD - UPT,1580,,
BORGO VALSUGANA,IL POPOLO DELLA LIBERTA' - LEGA NORD,973,,
BORGO VALSUGANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,751,,
BORGO VALSUGANA,RIVOLUZIONE CIVILE,91,,
BORGO VALSUGANA,FARE PER FERMARE IL DECLINO,83,,
BORGO VALSUGANA,MIR - MODERATI IN RIVOLUZIONE,79,,
BOSENTINO,SVP - PATT - PD - UPT,218,,
BOSENTINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,134,,
BOSENTINO,IL POPOLO DELLA LIBERTA' - LEGA NORD,104,,
BOSENTINO,RIVOLUZIONE CIVILE,15,,
BOSENTINO,FARE PER FERMARE IL DECLINO,13,,
BOSENTINO,MIR - MODERATI IN RIVOLUZIONE,6,,
CALCERANICA AL LAGO,SVP - PATT - PD - UPT,304,,
CALCERANICA AL LAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,189,,
CALCERANICA AL LAGO,IL POPOLO DELLA LIBERTA' - LEGA NORD,160,,
CALCERANICA AL LAGO,RIVOLUZIONE CIVILE,27,,
CALCERANICA AL LAGO,FARE PER FERMARE IL DECLINO,16,,
CALCERANICA AL LAGO,MIR - MODERATI IN RIVOLUZIONE,14,,
CALDONAZZO,SVP - PATT - PD - UPT,884,,
CALDONAZZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,453,,
CALDONAZZO,IL POPOLO DELLA LIBERTA' - LEGA NORD,416,,
CALDONAZZO,FARE PER FERMARE IL DECLINO,63,,
CALDONAZZO,RIVOLUZIONE CIVILE,57,,
CALDONAZZO,MIR - MODERATI IN RIVOLUZIONE,12,,
CAMPITELLO DI FASSA,SVP - PATT - PD - UPT,151,,
CAMPITELLO DI FASSA,IL POPOLO DELLA LIBERTA' - LEGA NORD,127,,
CAMPITELLO DI FASSA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,85,,
CAMPITELLO DI FASSA,MIR - MODERATI IN RIVOLUZIONE,6,,
CAMPITELLO DI FASSA,FARE PER FERMARE IL DECLINO,5,,
CAMPITELLO DI FASSA,RIVOLUZIONE CIVILE,3,,
CANAL SAN BOVO,SVP - PATT - PD - UPT,362,,
CANAL SAN BOVO,IL POPOLO DELLA LIBERTA' - LEGA NORD,210,,
CANAL SAN BOVO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,152,,
