Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALBI ,828,534,20,36,
AMARONI ,1569,1036,46,67,
AMATO ,889,412,15,39,
ANDALI ,672,385,11,21,
ARGUSTO ,457,291,7,13,
BADOLATO ,2596,1723,28,65,
BELCASTRO ,1112,601,19,44,
BORGIA ,6173,4327,59,202,
BOTRICELLO ,3702,2299,37,112,
CARAFFA DI CATANZARO ,1641,1160,38,75,
CARDINALE ,1933,1027,20,67,
CARLOPOLI ,1357,972,17,57,
CATANZARO ,74521,48543,557,2219,
CENADI ,513,314,16,20,
CENTRACHE ,362,213,5,9,
CERVA ,1035,659,16,38,
CHIARAVALLE CENTRALE ,5037,3150,80,211,
CICALA ,823,609,22,45,
CONFLENTI ,1196,852,25,43,
CORTALE ,1852,1208,28,68,
CROPANI ,3551,2365,46,134,
CURINGA ,5254,3310,87,233,
DAVOLI ,4384,2891,57,178,
DECOLLATURA ,2696,1855,39,89,
FALERNA ,2924,1989,47,97,
FEROLETO ANTICO ,1729,1173,34,80,
FOSSATO SERRALTA ,488,290,5,17,
GAGLIATO ,422,245,9,15,
GASPERINA ,1806,1100,20,51,
GIMIGLIANO ,2878,1688,37,121,
GIRIFALCO ,5189,3355,54,209,
GIZZERIA ,3311,2092,37,90,
GUARDAVALLE ,3739,2470,47,129,
ISCA SULLO IONIO ,1294,824,18,28,
JACURSO ,536,333,17,31,
LAMEZIA TERME ,54557,34613,491,1775,
MAGISANO ,1040,721,18,42,
MAIDA ,3557,2444,60,129,
MARCEDUSA ,392,212,5,14,
MARCELLINARA ,1842,1318,12,46,
MARTIRANO ,867,497,7,25,
MARTIRANO LOMBARDO ,965,640,15,42,
MIGLIERINA ,652,422,17,57,
MONTAURO ,1465,947,24,46,
MONTEPAONE ,3955,2659,32,110,
MOTTA SANTA LUCIA ,699,527,9,14,
NOCERA TERINESE ,3865,2660,56,216,
OLIVADI ,475,284,11,17,
PALERMITI ,1068,608,16,24,
PENTONE ,1788,1155,20,50,
PETRIZZI ,964,586,15,40,
PETRONA' ,2211,1318,32,97,
PIANOPOLI ,2012,1502,32,77,
PLATANIA ,1872,1202,25,72,
SAN FLORO ,565,405,6,16,
SAN MANGO D'AQUINO ,1377,883,14,37,
SAN PIETRO A MAIDA ,3387,2297,35,95,
SAN PIETRO APOSTOLO ,1460,903,21,59,
SAN SOSTENE ,1070,591,23,62,
SAN VITO SULLO IONIO ,1515,931,33,55,
SANT'ANDREA APOSTOLO DELLO IONIO ,1742,1158,28,61,
SANTA CATERINA DELLO IONIO ,1715,1122,42,72,
SATRIANO ,2809,1839,43,86,
SELLIA ,415,282,13,23,
SELLIA MARINA ,5457,3786,75,187,
SERRASTRETTA ,2737,1955,65,150,
SERSALE ,3892,2540,48,172,
SETTINGIANO ,2360,1574,35,80,
SIMERI CRICHI ,3740,2491,55,148,
SORBO SAN BASILE ,697,473,7,13,
SOVERATO ,7732,5261,59,197,
SOVERIA MANNELLI ,2673,2017,47,99,
SOVERIA SIMERI ,1326,936,29,75,
SQUILLACE ,2783,1817,19,80,
STALETTI' ,2051,1225,22,54,
TAVERNA ,2213,1615,48,100,
TIRIOLO ,3192,2156,64,172,
TORRE DI RUGGIERO ,946,495,16,31,
VALLEFIORITA ,1379,959,23,71,
ZAGARISE ,1451,1051,34,81,
