Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AIROLA ,6502,4999,122,332,
AMOROSI ,2338,1700,36,78,
APICE ,4678,3438,74,213,
APOLLOSA ,2195,1604,42,93,
ARPAIA ,1600,1142,23,46,
ARPAISE ,695,525,6,10,
BASELICE ,2120,1484,58,96,
BENEVENTO ,50084,36936,421,1722,
BONEA ,1161,888,19,44,
BUCCIANO ,1649,1266,40,69,
BUONALBERGO ,1533,1124,39,73,
CALVI ,2138,1628,40,93,
CAMPOLATTARO ,933,621,19,40,
CAMPOLI DEL MONTE TABURNO ,1268,917,26,52,
CASALDUNI ,1223,810,21,55,
CASTELFRANCO IN MISCANO ,793,617,22,29,
CASTELPAGANO ,1268,794,27,45,
CASTELPOTO ,1116,796,20,32,
CASTELVENERE ,2129,1549,42,93,
CASTELVETERE IN VAL FORTORE ,1234,814,58,98,
CAUTANO ,1761,1315,39,66,
CEPPALONI ,2847,2254,27,125,
CERRETO SANNITA ,3369,2550,68,171,
CIRCELLO ,2080,1454,40,85,
COLLE SANNITA ,2221,1527,37,81,
CUSANO MUTRI ,3491,2357,93,209,
DUGENTA ,2330,1871,64,140,
DURAZZANO ,1762,1318,48,72,
FAICCHIO ,3093,2060,39,134,
FOGLIANISE ,2866,2122,53,97,
FOIANO DI VAL FORTORE ,1216,956,34,57,
FORCHIA ,948,793,16,38,
FRAGNETO L'ABATE ,928,620,23,40,
FRAGNETO MONFORTE ,1559,1172,30,45,
FRASSO TELESINO ,2054,1453,35,69,
GINESTRA DEGLI SCHIAVONI ,437,338,13,25,
GUARDIA SANFRAMONDI ,4354,3196,77,206,
LIMATOLA ,3434,2514,77,150,
MELIZZANO ,1560,1162,19,45,
MOIANO ,3389,2547,69,160,
MOLINARA ,1395,1031,26,55,
MONTEFALCONE DI VAL FORTORE ,1398,920,36,67,
MONTESARCHIO ,10740,7821,77,291,
MORCONE ,4244,2876,76,159,
PADULI ,3377,2464,42,99,
PAGO VEIANO ,2106,1457,46,80,
PANNARANO ,1729,1185,11,51,
PAOLISI ,1535,1145,16,38,
PAUPISI ,1313,935,28,53,
PESCO SANNITA ,1710,1235,30,73,
PIETRAROJA ,500,302,9,16,
PIETRELCINA ,2517,1801,33,89,
PONTE ,2131,1560,32,93,
PONTELANDOLFO ,1904,1303,34,76,
PUGLIANELLO ,1150,859,19,38,
REINO ,1038,774,27,56,
SAN BARTOLOMEO IN GALDO ,4184,2823,84,218,
SAN GIORGIO DEL SANNIO ,8015,6248,106,310,
SAN GIORGIO LA MOLARA ,2510,1676,55,141,
SAN LEUCIO DEL SANNIO ,2591,1885,35,110,
SAN LORENZELLO ,1874,1396,38,91,
SAN LORENZO MAGGIORE ,1770,1218,29,83,
SAN LUPO ,736,535,8,26,
SAN MARCO DEI CAVOTI ,2924,2077,63,146,
SAN MARTINO SANNITA ,1058,760,17,42,
SAN NAZZARO ,742,578,10,34,
SAN NICOLA MANFREDI ,3006,2263,37,118,
SAN SALVATORE TELESINO ,3252,2314,55,126,
SANT'AGATA DE' GOTI ,9025,6767,117,350,
SANT'ANGELO A CUPOLO ,3581,2764,46,116,
SANT'ARCANGELO TRIMONTE ,532,366,9,20,
SANTA CROCE DEL SANNIO ,850,541,17,37,
SASSINORO ,555,351,8,15,
SOLOPACA ,3185,2279,50,128,
TELESE TERME ,5538,4018,63,172,
TOCCO CAUDIO ,1253,927,15,50,
TORRECUSO ,2794,2159,40,114,
VITULANO ,2393,1747,41,77,
