Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALFONSINE ,9570,8273,66,218,
BAGNACAVALLO ,13039,11062,75,265,
BAGNARA DI ROMAGNA ,1771,1522,13,40,
BRISIGHELLA ,6045,4915,53,172,
CASOLA VALSENIO ,2170,1781,31,87,
CASTEL BOLOGNESE ,7175,6028,60,176,
CERVIA ,22300,18553,110,413,
CONSELICE ,7150,6005,47,157,
COTIGNOLA ,5819,5073,49,161,
FAENZA ,43949,36294,257,853,
FUSIGNANO ,6245,5276,51,153,
LUGO ,24962,20975,134,536,
MASSA LOMBARDA ,7546,6280,29,124,
RAVENNA ,119923,99114,576,2214,
RIOLO TERME ,4341,3703,38,101,
RUSSI ,9300,7788,85,273,
SANT'AGATA SUL SANTERNO ,2106,1738,17,51,
SOLAROLO ,3270,2705,31,88,
