Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ANDREIS ,246,169,0,9,
ARBA ,1002,737,7,31,
ARZENE ,1319,1080,13,44,
AVIANO ,6842,5254,37,179,
AZZANO DECIMO ,11548,9505,67,335,
BARCIS ,228,168,2,8,
BRUGNERA ,6727,5627,40,223,
BUDOIA ,1938,1556,14,55,
CANEVA ,5170,4166,22,138,
CASARSA DELLA DELIZIA ,6358,5122,41,194,
CASTELNOVO DEL FRIULI ,707,514,4,16,
CAVASSO NUOVO ,1259,891,3,35,
CHIONS ,3776,3070,32,125,
CIMOLAIS ,362,222,3,12,
CLAUT ,806,514,3,24,
CLAUZETTO ,338,209,2,10,
CORDENONS ,14442,11798,61,382,
CORDOVADO ,2111,1695,26,76,
ERTO E CASSO ,332,211,4,17,
FANNA ,1252,906,10,46,
FIUME VENETO ,8886,7241,37,291,
FONTANAFREDDA ,8788,7174,35,256,
FRISANCO ,524,390,0,12,
MANIAGO ,9061,6868,39,306,
MEDUNO ,1329,1003,13,52,
MONTEREALE VALCELLINA ,3557,2784,19,108,
MORSANO AL TAGLIAMENTO ,2285,1712,14,69,
PASIANO DI PORDENONE ,5363,4451,29,172,
PINZANO AL TAGLIAMENTO ,1219,884,9,39,
POLCENIGO ,2533,2029,25,82,
PORCIA ,11786,9639,55,293,
PORDENONE ,37436,30187,171,834,
PRATA DI PORDENONE ,5767,4780,29,173,
PRAVISDOMINI ,2268,1794,13,66,
ROVEREDO IN PIANO ,4488,3767,14,103,
SACILE ,15101,11981,76,385,
SAN GIORGIO DELLA RICHINVELDA ,3379,2662,21,72,
SAN MARTINO AL TAGLIAMENTO ,1140,927,7,27,
SAN QUIRINO ,3403,2801,19,120,
SAN VITO AL TAGLIAMENTO ,11423,9016,55,287,
SEQUALS ,1733,1296,10,64,
SESTO AL REGHENA ,5001,3979,23,154,
SPILIMBERGO ,9137,7149,38,219,
TRAMONTI DI SOPRA ,326,212,4,16,
TRAMONTI DI SOTTO ,359,255,0,3,
TRAVESIO ,1432,1053,10,46,
VAJONT ,1185,893,35,43,
VALVASONE ,1744,1403,10,52,
VITO D'ASIO ,691,510,4,18,
VIVARO ,1029,813,9,28,
ZOPPOLA ,6623,5268,26,175,
