Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AFFILE ,1308,1043,15,57,
AGOSTA ,1370,1165,23,68,
ALBANO LAZIALE ,30890,24248,227,788,
ALLUMIERE ,3359,2810,56,131,
ANGUILLARA SABAZIA ,13911,11323,108,361,
ANTICOLI CORRADO ,757,622,20,40,
ANZIO ,41454,31295,318,856,
ARCINAZZO ROMANO ,1209,871,21,74,
ARDEA ,33888,24311,204,595,
ARICCIA ,14928,11631,115,315,
ARSOLI ,1307,1015,19,71,
ARTENA ,10683,8393,190,528,
BELLEGRA ,2423,2011,61,148,
BRACCIANO ,13942,11178,134,376,
CAMERATA NUOVA ,373,295,8,13,
CAMPAGNANO DI ROMA ,7765,6034,70,198,
CANALE MONTERANO ,3245,2611,47,111,
CANTERANO ,292,259,12,27,
CAPENA ,7155,5626,65,196,
CAPRANICA PRENESTINA ,291,268,2,8,
CARPINETO ROMANO ,3867,3133,95,249,
CASAPE ,592,450,23,38,
CASTEL GANDOLFO ,6700,5344,69,170,
CASTEL MADAMA ,5688,4618,81,205,
CASTEL SAN PIETRO ROMANO ,651,546,19,35,
CASTELNUOVO DI PORTO ,6263,4937,56,146,
CAVE ,8209,6497,107,293,
CERRETO LAZIALE ,871,741,17,36,
CERVARA DI ROMA ,422,301,9,18,
CERVETERI ,27677,21244,237,637,
CIAMPINO ,30031,24130,227,679,
CICILIANO ,1047,825,9,42,
CINETO ROMANO ,492,407,7,14,
CIVITAVECCHIA ,42283,31311,373,1042,
CIVITELLA SAN PAOLO ,1356,1096,17,50,
COLLEFERRO ,17003,13787,218,628,
COLONNA ,3073,2532,20,77,
FIANO ROMANO ,10337,8115,92,245,
FILACCIANO ,380,308,4,13,
FIUMICINO ,53711,41012,399,1237,
FONTE NUOVA ,21264,16205,185,538,
FORMELLO ,9079,7238,89,196,
FRASCATI ,17214,13866,136,429,
GALLICANO NEL LAZIO ,4560,3511,32,119,
GAVIGNANO ,1564,1279,37,106,
GENAZZANO ,4697,3804,79,198,
GENZANO DI ROMA ,19026,14786,143,473,
GERANO ,1063,893,29,61,
GORGA ,637,532,21,71,
GROTTAFERRATA ,15391,12357,127,343,
GUIDONIA MONTECELIO ,62800,48598,510,1550,
JENNE ,349,256,11,19,
LABICO ,4489,3585,42,119,
LADISPOLI ,27284,20532,185,568,
LANUVIO ,9794,7827,112,271,
LARIANO ,10056,7875,114,329,
LICENZA ,775,595,20,48,
MAGLIANO ROMANO ,1085,882,21,49,
MANDELA ,697,576,6,23,
MANZIANA ,5796,4573,41,145,
MARANO EQUO ,670,570,17,33,
MARCELLINA ,4848,3733,55,172,
MARINO ,31239,24639,258,788,
MAZZANO ROMANO ,2348,1770,31,80,
MENTANA ,15683,12306,137,419,
MONTE COMPATRI ,8652,6868,66,233,
MONTE PORZIO CATONE ,6985,5798,45,171,
MONTEFLAVIO ,1087,871,30,44,
MONTELANICO ,1722,1322,45,106,
MONTELIBRETTI ,4088,3417,73,165,
MONTEROTONDO ,29412,23333,210,738,
MONTORIO ROMANO ,1595,1244,46,83,
MORICONE ,2055,1613,29,82,
MORLUPO ,6334,4989,61,158,
NAZZANO ,1085,819,16,40,
NEMI ,1533,1265,21,40,
NEROLA ,1449,1120,18,51,
NETTUNO ,37367,28569,325,858,
OLEVANO ROMANO ,5280,4294,118,276,
PALESTRINA ,16316,13235,230,604,
PALOMBARA SABINA ,9711,7675,122,386,
PERCILE ,207,172,8,13,
PISONIANO ,609,476,7,20,
POLI ,1768,1396,38,87,
POMEZIA ,45565,35207,350,1020,
PONZANO ROMANO ,836,676,13,33,
RIANO ,6894,5562,69,188,
RIGNANO FLAMINIO ,6869,5632,75,184,
RIOFREDDO ,609,511,9,19,
ROCCA CANTERANO ,180,140,2,3,
ROCCA DI CAVE ,328,256,5,10,
ROCCA DI PAPA ,12086,9066,83,304,
ROCCA PRIORA ,9022,7045,81,256,
ROCCA SANTO STEFANO ,793,646,30,72,
ROCCAGIOVINE ,220,172,8,11,
ROIATE ,672,513,24,35,
ROMA ,2119096,1639061,11658,39087,
ROVIANO ,1115,921,27,58,
SACROFANO ,5140,4134,43,104,
SAMBUCI ,745,623,22,48,
SAN CESAREO ,10389,8443,96,277,
SAN GREGORIO DA SASSOLA ,1304,1063,49,92,
SAN POLO DEI CAVALIERI ,2209,1588,18,65,
SAN VITO ROMANO ,2630,2226,32,116,
SANT'ANGELO ROMANO ,3337,2453,29,80,
SANT'ORESTE ,2872,2283,38,107,
SANTA MARINELLA ,14371,10778,151,355,
SARACINESCO ,148,104,0,4,
SEGNI ,7383,5825,115,301,
SUBIACO ,7422,5825,130,377,
TIVOLI ,41824,32728,396,1199,
TOLFA ,4027,3201,96,221,
TORRITA TIBERINA ,841,666,11,30,
TREVIGNANO ROMANO ,4107,3284,53,111,
VALLEPIETRA ,269,208,18,25,
VALLINFREDA ,246,186,2,6,
VALMONTONE ,11428,9245,214,510,
VELLETRI ,40785,31721,448,1301,
VICOVARO ,3121,2392,43,109,
VIVARO ROMANO ,161,128,7,15,
ZAGAROLO ,12463,9796,141,445,
