Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGRATE BRIANZA ,11457,9395,99,293,
AICURZIO ,1615,1348,14,38,
ALBIATE ,4726,3858,51,148,
ARCORE ,13679,11015,78,297,
BARLASSINA ,5240,4114,26,135,
BELLUSCO ,5655,4614,45,146,
BERNAREGGIO ,8129,6499,50,162,
BESANA IN BRIANZA ,12193,9773,93,331,
BIASSONO ,9473,7870,99,238,
BOVISIO-MASCIAGO ,12745,10350,100,362,
BRIOSCO ,4835,3898,46,138,
BRUGHERIO ,25904,21341,193,549,
BURAGO DI MOLGORA ,3401,2817,29,84,
BUSNAGO ,5024,3997,33,135,
CAMPARADA ,1636,1393,7,46,
CAPONAGO ,3988,3256,31,112,
CARATE BRIANZA ,13802,11111,139,422,
CARNATE ,5537,4555,39,117,
CAVENAGO DI BRIANZA ,4832,4196,38,130,
CERIANO LAGHETTO ,5092,4122,39,169,
CESANO MADERNO ,28666,22651,253,872,
COGLIATE ,6774,5383,65,255,
CONCOREZZO ,11727,9696,80,266,
CORNATE D'ADDA ,8034,6298,77,254,
CORREZZANA ,2124,1736,13,55,
DESIO ,31377,24967,257,897,
GIUSSANO ,19453,15496,166,578,
LAZZATE ,6192,4876,43,208,
LENTATE SUL SEVESO ,12460,9907,118,398,
LESMO ,6411,5243,42,139,
LIMBIATE ,26327,19960,230,748,
LISSONE ,33457,26441,250,768,
MACHERIO ,5754,4690,49,143,
MEDA ,18204,14683,130,462,
MEZZAGO ,3145,2581,30,81,
MISINTO ,4326,3409,34,147,
MONZA ,91178,72962,630,1768,
MUGGIO' ,18157,14772,167,458,
NOVA MILANESE ,17517,14123,162,474,
ORNAGO ,3768,3128,26,95,
RENATE ,3158,2545,20,82,
RONCELLO ,3110,2462,28,88,
RONCO BRIANTINO ,2639,2188,29,61,
SEREGNO ,34484,27019,252,964,
SEVESO ,17828,14347,92,441,
SOVICO ,6432,5300,48,196,
SULBIATE ,3211,2622,29,99,
TRIUGGIO ,6800,5607,73,214,
USMATE VELATE ,7619,6255,46,164,
VAREDO ,10311,8427,81,277,
VEDANO AL LAMBRO ,5843,4920,33,125,
VEDUGGIO CON COLZANO ,3495,2773,43,124,
VERANO BRIANZA ,7391,6032,91,270,
VILLASANTA ,10869,8888,87,242,
VIMERCATE ,19876,16491,170,427,
