Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ABBADIA LARIANA ,2574,2058,27,75,
AIRUNO ,2165,1747,12,72,
ANNONE DI BRIANZA ,1765,1484,19,65,
BALLABIO ,2993,2383,11,73,
BARZAGO ,1929,1550,12,59,
BARZANO' ,4027,3237,31,109,
BARZIO ,1066,812,19,47,
BELLANO ,2773,2131,32,97,
BOSISIO PARINI ,2731,2192,21,87,
BRIVIO ,3517,2804,27,119,
BULCIAGO ,2134,1769,31,75,
CALCO ,3846,3019,25,109,
CALOLZIOCORTE ,10930,8481,98,375,
CARENNO ,1181,927,10,51,
CASARGO ,698,512,15,48,
CASATENOVO ,10088,8296,90,290,
CASSAGO BRIANZA ,3422,2760,28,101,
CASSINA VALSASSINA ,399,296,2,12,
CASTELLO DI BRIANZA ,1888,1544,24,83,
CERNUSCO LOMBARDONE ,2850,2253,13,61,
CESANA BRIANZA ,1940,1617,39,84,
CIVATE ,3137,2548,31,114,
COLICO ,5942,4513,59,190,
COLLE BRIANZA ,1367,1043,7,46,
CORTENOVA ,982,731,12,51,
COSTA MASNAGA ,3699,2906,41,131,
CRANDOLA VALSASSINA ,226,173,6,21,
CREMELLA ,1361,1113,12,45,
CREMENO ,1151,884,18,46,
DERVIO ,2213,1722,18,61,
DOLZAGO ,1840,1494,22,68,
DORIO ,274,207,3,14,
ELLO ,1008,792,9,28,
ERVE ,602,423,8,22,
ESINO LARIO ,619,458,7,40,
GALBIATE ,6844,5446,47,175,
GARBAGNATE MONASTERO ,1857,1583,20,59,
GARLATE ,2027,1642,16,70,
IMBERSAGO ,1915,1538,13,43,
INTROBIO ,1469,1129,11,45,
INTROZZO ,104,75,4,12,
LECCO ,36659,29002,253,889,
LIERNA ,1675,1312,12,46,
LOMAGNA ,3727,3047,30,98,
MALGRATE ,3222,2660,23,87,
MANDELLO DEL LARIO ,8523,6701,55,261,
MARGNO ,311,257,5,11,
MERATE ,11385,9204,62,262,
MISSAGLIA ,6682,5352,32,146,
MOGGIO ,406,323,8,21,
MOLTENO ,2745,2195,19,72,
MONTE MARENZO ,1499,1205,17,49,
MONTEVECCHIA ,1984,1608,15,40,
MONTICELLO BRIANZA ,3295,2593,38,90,
MORTERONE ,32,23,0,0,
NIBIONNO ,2719,2122,28,102,
OGGIONO ,6695,5292,52,175,
OLGIATE MOLGORA ,4799,3771,37,124,
OLGINATE ,5377,4279,44,173,
OLIVETO LARIO ,940,739,8,35,
OSNAGO ,3549,2870,25,86,
PADERNO D'ADDA ,2895,2355,21,75,
PAGNONA ,350,242,8,37,
PARLASCO ,126,104,2,15,
PASTURO ,1473,1152,23,69,
PEREGO ,1369,1053,9,28,
PERLEDO ,804,539,5,21,
PESCATE ,1606,1335,9,32,
PREMANA ,1796,1435,39,140,
PRIMALUNA ,1588,1237,18,65,
ROBBIATE ,4574,3658,24,105,
ROGENO ,2412,1946,23,78,
ROVAGNATE ,2185,1731,15,55,
SANTA MARIA HOE' ,1673,1345,13,45,
SIRONE ,1841,1515,11,54,
SIRTORI ,2282,1756,13,58,
SUEGLIO ,139,90,0,9,
SUELLO ,1375,1139,14,43,
TACENO ,398,309,5,17,
TORRE DE' BUSI ,1596,1134,23,58,
TREMENICO ,170,120,8,15,
VALGREGHENTINO ,2664,2191,21,107,
VALMADRERA ,8809,7245,85,313,
VARENNA ,679,532,10,30,
VENDROGNO ,275,184,2,9,
VERCURAGO ,2324,1869,14,64,
VERDERIO INFERIORE ,2243,1851,16,58,
VERDERIO SUPERIORE ,2064,1687,9,56,
VESTRENO ,242,152,4,10,
VIGANO' ,1621,1289,18,54,
