Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALBAREDO PER SAN MARCO ,300,184,13,22,
ALBOSAGGIA ,2633,2005,26,85,
ANDALO VALTELLINO ,448,315,4,16,
APRICA ,1275,1048,11,35,
ARDENNO ,2635,2036,37,97,
BEMA ,116,88,2,5,
BERBENNO DI VALTELLINA ,3434,2597,40,116,
BIANZONE ,1043,768,14,31,
BORMIO ,3231,2496,40,119,
BUGLIO IN MONTE ,1710,1304,30,69,
CAIOLO ,861,683,14,35,
CAMPODOLCINO ,857,673,9,24,
CASPOGGIO ,1232,976,22,98,
CASTELLO DELL'ACQUA ,545,320,6,22,
CASTIONE ANDEVENNO ,1285,949,10,40,
CEDRASCO ,362,273,9,21,
CERCINO ,576,439,9,34,
CHIAVENNA ,5939,4487,84,213,
CHIESA IN VALMALENCO ,2110,1630,20,81,
CHIURO ,2059,1567,22,78,
CINO ,296,240,4,9,
CIVO ,913,659,17,41,
COLORINA ,1150,827,8,27,
COSIO VALTELLINO ,4302,3362,58,151,
DAZIO ,340,263,8,18,
DELEBIO ,2346,1855,24,76,
DUBINO ,2713,2028,43,101,
FAEDO VALTELLINO ,451,329,7,20,
FORCOLA ,667,514,16,30,
FUSINE ,503,383,8,15,
GEROLA ALTA ,164,98,0,1,
GORDONA ,1512,1207,23,60,
GROSIO ,3827,2941,50,197,
GROSOTTO ,1330,991,25,73,
LANZADA ,1120,822,19,85,
LIVIGNO ,4133,3318,54,152,
LOVERO ,534,420,10,31,
MADESIMO ,461,345,10,20,
MANTELLO ,564,448,8,20,
MAZZO DI VALTELLINA ,862,644,11,48,
MELLO ,745,598,12,35,
MENAROLA ,36,32,0,0,
MESE ,1420,1141,20,72,
MONTAGNA IN VALTELLINA ,2576,2022,30,117,
MORBEGNO ,9677,7613,110,334,
NOVATE MEZZOLA ,1515,1163,5,50,
PEDESINA ,31,25,0,0,
PIANTEDO ,1025,861,14,45,
PIATEDA ,1910,1442,15,68,
PIURO ,1579,1263,18,77,
POGGIRIDENTI ,1566,1219,16,56,
PONTE IN VALTELLINA ,1902,1418,20,65,
POSTALESIO ,541,398,2,17,
PRATA CAMPORTACCIO ,2296,1771,35,110,
RASURA ,237,192,5,10,
ROGOLO ,424,336,8,12,
SAMOLACO ,2317,1836,32,95,
SAN GIACOMO FILIPPO ,356,268,9,20,
SERNIO ,388,284,6,16,
SONDALO ,3533,2544,65,191,
SONDRIO ,17361,13185,153,501,
SPRIANA ,94,61,0,1,
TALAMONA ,3851,2828,46,159,
TARTANO ,173,110,1,5,
TEGLIO ,3816,2593,43,161,
TIRANO ,7315,5618,50,197,
TORRE DI SANTA MARIA ,692,457,13,36,
TOVO DI SANT'AGATA ,518,419,10,32,
TRAONA ,1990,1579,19,71,
TRESIVIO ,1639,1306,24,76,
VAL MASINO ,774,617,13,40,
VALDIDENTRO ,3257,2646,60,133,
VALDISOTTO ,2730,2065,37,107,
VALFURVA ,2245,1633,34,83,
VERCEIA ,878,680,21,53,
VERVIO ,181,147,2,16,
VILLA DI CHIAVENNA ,831,635,21,61,
VILLA DI TIRANO ,2399,1802,24,90,
