Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUANEGRA CREMONESE ,975,784,21,47,
AGNADELLO ,2762,2208,21,90,
ANNICCO ,1616,1300,24,60,
AZZANELLO ,507,388,12,21,
BAGNOLO CREMASCO ,3752,3097,33,120,
BONEMERSE ,1171,1003,9,37,
BORDOLANO ,425,363,8,15,
CA' D'ANDREA ,363,294,11,19,
CALVATONE ,973,821,14,40,
CAMISANO ,1007,819,12,38,
CAMPAGNOLA CREMASCA ,535,457,3,26,
CAPERGNANICA ,1727,1431,22,67,
CAPPELLA CANTONE ,455,371,8,18,
CAPPELLA DE' PICENARDI ,286,215,1,9,
CAPRALBA ,1935,1586,16,67,
CASALBUTTANO ED UNITI ,3085,2428,46,121,
CASALE CREMASCO VIDOLASCO ,1317,1029,18,64,
CASALETTO CEREDANO ,962,798,14,44,
CASALETTO DI SOPRA ,413,333,6,16,
CASALETTO VAPRIO ,1308,1019,8,54,
CASALMAGGIORE ,10933,8589,115,324,
CASALMORANO ,1316,1018,17,40,
CASTEL GABBIANO ,332,265,7,12,
CASTELDIDONE ,429,320,6,16,
CASTELLEONE ,7230,5885,73,236,
CASTELVERDE ,4541,3725,51,165,
CASTELVISCONTI ,251,213,7,16,
CELLA DATI ,452,381,11,18,
CHIEVE ,1772,1410,20,61,
CICOGNOLO ,692,608,10,27,
CINGIA DE' BOTTI ,1000,745,20,53,
CORTE DE' CORTESI CON CIGNONE ,733,599,17,35,
CORTE DE' FRATI ,1100,891,19,53,
CREDERA RUBBIANO ,1327,1132,15,60,
CREMA ,26457,21433,190,655,
CREMONA ,54001,43623,430,1368,
CREMOSANO ,1331,1086,10,37,
CROTTA D'ADDA ,493,388,5,20,
CUMIGNANO SUL NAVIGLIO ,330,262,3,10,
DEROVERE ,256,206,5,13,
DOVERA ,3005,2403,20,79,
DRIZZONA ,425,343,7,16,
FIESCO ,881,688,10,24,
FORMIGARA ,848,686,13,42,
GABBIONETA BINANUOVA ,712,599,11,30,
GADESCO PIEVE DELMONA ,1482,1218,21,60,
GENIVOLTA ,913,743,15,35,
GERRE DE' CAPRIOLI ,1025,874,7,25,
GOMBITO ,511,410,5,17,
GRONTARDO ,1108,944,16,38,
GRUMELLO CREMONESE ED UNITI ,1449,1179,25,80,
GUSSOLA ,2091,1691,40,74,
ISOLA DOVARESE ,988,805,11,29,
IZANO ,1644,1350,15,59,
MADIGNANO ,2265,1899,30,108,
MALAGNINO ,1270,1099,11,36,
MARTIGNANA DI PO ,1422,1107,25,49,
MONTE CREMASCO ,1802,1455,12,61,
MONTODINE ,2035,1742,30,105,
MOSCAZZANO ,645,523,10,22,
MOTTA BALUFFI ,732,590,8,27,
OFFANENGO ,4580,3895,53,168,
OLMENETA ,779,648,14,23,
OSTIANO ,2265,1787,53,100,
PADERNO PONCHIELLI ,1136,929,11,32,
PALAZZO PIGNANO ,3013,2431,26,98,
PANDINO ,6686,5422,40,177,
PERSICO DOSIMO ,2645,2257,35,92,
PESCAROLO ED UNITI ,1203,979,23,53,
PESSINA CREMONESE ,480,405,14,20,
PIADENA ,2676,2127,26,67,
PIANENGO ,2023,1721,27,88,
PIERANICA ,885,715,13,45,
PIEVE D'OLMI ,1004,821,12,36,
PIEVE SAN GIACOMO ,1175,972,18,41,
PIZZIGHETTONE ,5293,4231,52,164,
POZZAGLIO ED UNITI ,1120,922,19,55,
QUINTANO ,687,557,4,19,
RICENGO ,1275,1036,20,46,
RIPALTA ARPINA ,826,682,10,45,
RIPALTA CREMASCA ,2775,2362,35,96,
RIPALTA GUERINA ,423,368,8,16,
RIVAROLO DEL RE ED UNITI ,1511,1208,22,54,
RIVOLTA D'ADDA ,6183,4915,60,196,
ROBECCO D'OGLIO ,1769,1412,25,77,
ROMANENGO ,2221,1888,31,101,
SALVIROLA ,906,751,15,32,
SAN BASSANO ,1660,1285,24,77,
SAN DANIELE PO ,1139,926,20,51,
SAN GIOVANNI IN CROCE ,1317,1115,27,50,
SAN MARTINO DEL LAGO ,370,301,8,21,
SCANDOLARA RAVARA ,1136,879,17,38,
SCANDOLARA RIPA D'OGLIO ,455,347,13,18,
SERGNANO ,2688,2196,33,114,
SESTO ED UNITI ,2398,1952,26,98,
SOLAROLO RAINERIO ,713,581,8,17,
SONCINO ,6051,5037,65,205,
SORESINA ,6575,5235,81,224,
SOSPIRO ,2607,1938,46,153,
SPINADESCO ,1247,1060,20,51,
SPINEDA ,494,400,17,40,
SPINO D'ADDA ,5217,4167,45,164,
STAGNO LOMBARDO ,1209,1026,16,37,
TICENGO ,360,319,6,13,
TORLINO VIMERCATI ,335,291,1,7,
TORNATA ,372,325,11,18,
TORRE DE' PICENARDI ,1438,1164,25,58,
TORRICELLA DEL PIZZO ,475,382,5,12,
TRESCORE CREMASCO ,2161,1754,16,67,
TRIGOLO ,1376,1046,21,55,
VAIANO CREMASCO ,3012,2444,29,88,
VAILATE ,3313,2583,32,136,
VESCOVATO ,2898,2327,42,110,
VOLONGO ,435,351,3,11,
VOLTIDO ,335,262,11,18,
