Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ABBADIA CERRETO ,235,191,2,9,
BERTONICO ,874,708,8,27,
BOFFALORA D'ADDA ,1291,993,7,34,
BORGHETTO LODIGIANO ,3307,2594,26,90,
BORGO SAN GIOVANNI ,1670,1370,24,71,
BREMBIO ,1999,1635,24,70,
CAMAIRAGO ,493,387,1,15,
CASALETTO LODIGIANO ,2197,1750,23,67,
CASALMAIOCCO ,2321,1960,17,66,
CASALPUSTERLENGO ,11203,9062,71,340,
CASELLE LANDI ,1363,1078,13,53,
CASELLE LURANI ,2181,1672,24,70,
CASTELNUOVO BOCCA D'ADDA ,1427,985,7,48,
CASTIGLIONE D'ADDA ,3830,3001,52,152,
CASTIRAGA VIDARDO ,2036,1660,22,77,
CAVACURTA ,651,513,6,27,
CAVENAGO D'ADDA ,1691,1400,17,67,
CERVIGNANO D'ADDA ,1616,1288,15,51,
CODOGNO ,12051,9245,99,346,
COMAZZO ,1647,1316,10,44,
CORNEGLIANO LAUDENSE ,2203,1832,19,62,
CORNO GIOVINE ,932,749,12,34,
CORNOVECCHIO ,181,144,1,9,
CORTE PALASIO ,1177,1003,11,39,
CRESPIATICA ,1610,1314,17,68,
FOMBIO ,1802,1438,13,71,
GALGAGNANO ,919,733,2,21,
GRAFFIGNANA ,2027,1662,21,77,
GUARDAMIGLIO ,2013,1622,19,81,
LIVRAGA ,2082,1632,35,82,
LODI ,33246,26695,214,827,
LODI VECCHIO ,5459,4397,42,187,
MACCASTORNA ,38,31,0,0,
MAIRAGO ,1088,901,12,40,
MALEO ,2602,1984,38,114,
MARUDO ,1169,936,10,41,
MASSALENGO ,3226,2541,23,120,
MELETI ,375,296,6,11,
MERLINO ,1293,1057,9,34,
MONTANASO LOMBARDO ,1848,1579,8,62,
MULAZZANO ,4273,3476,34,125,
ORIO LITTA ,1566,1260,14,56,
OSPEDALETTO LODIGIANO ,1319,1070,12,53,
OSSAGO LODIGIANO ,1098,928,12,31,
PIEVE FISSIRAGA ,1260,1038,11,43,
SALERANO SUL LAMBRO ,2060,1698,18,72,
SAN FIORANO ,1466,1226,20,57,
SAN MARTINO IN STRADA ,2914,2428,23,103,
SAN ROCCO AL PORTO ,2720,2172,19,78,
SANT'ANGELO LODIGIANO ,9389,7522,101,335,
SANTO STEFANO LODIGIANO ,1576,1276,24,65,
SECUGNAGO ,1559,1282,13,55,
SENNA LODIGIANA ,1517,1180,30,92,
SOMAGLIA ,2721,2179,32,100,
SORDIO ,2382,1935,15,65,
TAVAZZANO CON VILLAVESCO ,4436,3554,35,130,
TERRANOVA DEI PASSERINI ,733,608,4,14,
TURANO LODIGIANO ,1196,939,10,32,
VALERA FRATTA ,1200,963,10,28,
VILLANOVA DEL SILLARO ,1230,989,10,51,
ZELO BUON PERSICO ,5094,4141,48,165,
