Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACCEGLIO ,145,96,7,11,
AISONE ,227,172,5,7,
ALBA ,23581,18554,153,615,
ALBARETTO DELLA TORRE ,191,160,2,10,
ALTO ,90,69,0,2,
ARGENTERA ,75,57,1,2,
ARGUELLO ,162,135,0,12,
BAGNASCO ,757,579,7,43,
BAGNOLO PIEMONTE ,4478,3385,44,196,
BALDISSERO D'ALBA ,852,694,15,31,
BARBARESCO ,488,394,10,17,
BARGE ,5567,4337,51,253,
BAROLO ,536,446,4,17,
BASTIA MONDOVI' ,457,366,5,14,
BATTIFOLLO ,205,145,2,3,
BEINETTE ,2433,1902,29,90,
BELLINO ,117,62,2,8,
BELVEDERE LANGHE ,274,214,2,17,
BENE VAGIENNA ,2668,2025,28,126,
BENEVELLO ,371,257,1,8,
BERGOLO ,54,34,1,3,
BERNEZZO ,2912,2399,22,123,
BONVICINO ,83,61,2,4,
BORGO SAN DALMAZZO ,9673,7552,70,295,
BORGOMALE ,306,220,5,8,
BOSIA ,150,95,2,7,
BOSSOLASCO ,532,389,4,21,
BOVES ,7555,6000,57,248,
BRA ,21927,16939,155,639,
BRIAGLIA ,258,202,0,10,
BRIGA ALTA ,44,23,0,1,
BRONDELLO ,236,174,4,15,
BROSSASCO ,900,696,8,35,
BUSCA ,7861,6299,62,300,
CAMERANA ,552,413,6,30,
CAMO ,171,130,3,4,
CANALE ,3984,3209,31,133,
CANOSIO ,70,51,1,6,
CAPRAUNA ,103,69,0,2,
CARAGLIO ,5145,4094,35,204,
CARAMAGNA PIEMONTE ,2283,1832,18,111,
CARDE' ,941,795,11,46,
CARRU' ,3386,2573,31,139,
CARTIGNANO ,145,109,0,5,
CASALGRASSO ,1153,920,16,54,
CASTAGNITO ,1444,1194,18,50,
CASTELDELFINO ,153,90,1,6,
CASTELLAR ,241,201,1,8,
CASTELLETTO STURA ,1019,824,8,36,
CASTELLETTO UZZONE ,288,217,6,21,
CASTELLINALDO ,698,559,14,33,
CASTELLINO TANARO ,273,202,1,13,
CASTELMAGNO ,73,52,1,4,
CASTELNUOVO DI CEVA ,96,74,1,3,
CASTIGLIONE FALLETTO ,529,462,2,8,
CASTIGLIONE TINELLA ,693,529,12,26,
CASTINO ,374,259,10,30,
CAVALLERLEONE ,478,401,7,21,
CAVALLERMAGGIORE ,4022,3289,33,157,
CELLE DI MACRA ,90,57,0,2,
CENTALLO ,4969,4164,60,223,
CERESOLE ALBA ,1635,1378,16,55,
CERRETTO LANGHE ,361,261,4,22,
CERVASCA ,3845,3114,26,145,
CERVERE ,1640,1387,21,54,
CEVA ,4198,3117,41,159,
CHERASCO ,6581,5203,43,217,
CHIUSA DI PESIO ,2862,2215,31,123,
CIGLIE' ,156,108,1,6,
CISSONE ,58,46,1,1,
CLAVESANA ,689,503,6,34,
CORNELIANO D'ALBA ,1595,1251,12,51,
CORTEMILIA ,1870,1341,15,63,
COSSANO BELBO ,780,587,15,48,
COSTIGLIOLE SALUZZO ,2390,1910,21,92,
CRAVANZANA ,318,222,2,12,
CRISSOLO ,147,91,1,1,
CUNEO ,42627,33595,210,1020,
DEMONTE ,1680,1240,13,64,
DIANO D'ALBA ,2753,2262,15,94,
DOGLIANI ,3473,2713,41,143,
DRONERO ,5301,4168,45,195,
ELVA ,82,32,1,3,
ENTRACQUE ,687,466,7,31,
ENVIE ,1562,1199,20,66,
FARIGLIANO ,1338,1011,15,57,
FAULE ,395,323,1,8,
FEISOGLIO ,295,224,5,9,
FOSSANO ,18553,15217,165,624,
FRABOSA SOPRANA ,661,464,12,33,
FRABOSA SOTTANA ,1218,799,6,37,
FRASSINO ,236,165,5,16,
GAIOLA ,462,370,7,26,
GAMBASCA ,322,215,1,10,
GARESSIO ,2689,1925,21,119,
GENOLA ,1915,1592,19,69,
GORZEGNO ,267,183,2,20,
GOTTASECCA ,142,109,0,8,
GOVONE ,1779,1454,23,76,
GRINZANE CAVOUR ,1413,1156,5,35,
GUARENE ,2574,2130,17,64,
IGLIANO ,63,31,0,1,
ISASCA ,73,57,0,3,
LA MORRA ,2066,1662,7,58,
LAGNASCO ,1006,874,22,50,
LEQUIO BERRIA ,414,326,5,15,
LEQUIO TANARO ,574,423,5,22,
LESEGNO ,648,498,9,29,
LEVICE ,196,155,7,12,
LIMONE PIEMONTE ,1255,958,13,37,
LISIO ,170,131,6,11,
MACRA ,43,29,0,3,
MAGLIANO ALFIERI ,1556,1243,6,42,
MAGLIANO ALPI ,1687,1289,13,54,
MANGO ,1004,753,11,35,
MANTA ,2797,2271,16,102,
MARENE ,2299,1926,13,64,
MARGARITA ,1100,826,11,32,
MARMORA ,64,35,0,3,
MARSAGLIA ,213,166,2,6,
MARTINIANA PO ,606,491,17,49,
MELLE ,273,190,5,8,
MOIOLA ,217,153,2,6,
MOMBARCARO ,231,151,1,8,
MOMBASIGLIO ,510,395,9,23,
MONASTERO DI VASCO ,1070,831,11,43,
