Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALAGNA VALSESIA ,374,241,1,12,
ALBANO VERCELLESE ,263,198,5,9,
ALICE CASTELLO ,2118,1573,27,92,
ARBORIO ,779,556,8,23,
ASIGLIANO VERCELLESE ,1172,895,4,33,
BALMUCCIA ,90,51,0,2,
BALOCCO ,195,150,1,1,
BIANZE' ,1626,1237,23,85,
BOCCIOLETO ,186,108,1,7,
BORGO D'ALE ,2051,1468,28,77,
BORGO VERCELLI ,1824,1388,19,59,
BORGOSESIA ,10726,7878,53,326,
BREIA ,153,90,1,4,
BURONZO ,760,574,7,18,
CAMPERTOGNO ,202,137,2,10,
CARCOFORO ,70,39,0,3,
CARESANA ,879,629,8,27,
CARESANABLOT ,955,760,8,21,
CARISIO ,714,544,9,30,
CASANOVA ELVO ,213,165,3,12,
CELLIO ,716,454,2,14,
CERVATTO ,45,29,0,0,
CIGLIANO ,3633,2806,28,140,
CIVIASCO ,217,169,2,9,
COLLOBIANO ,84,73,0,0,
COSTANZANA ,686,495,10,33,
CRAVAGLIANA ,247,166,1,11,
CRESCENTINO ,6348,4778,36,201,
CROVA ,358,286,7,18,
DESANA ,879,657,4,26,
FOBELLO ,185,117,3,6,
FONTANETTO PO ,930,680,4,21,
FORMIGLIANA ,432,335,4,13,
GATTINARA ,6640,4922,50,236,
GHISLARENGO ,701,479,7,28,
GREGGIO ,306,221,4,12,
GUARDABOSONE ,289,224,4,13,
LAMPORO ,435,324,6,15,
LENTA ,734,589,7,34,
LIGNANA ,479,382,4,16,
LIVORNO FERRARIS ,3466,2678,20,105,
LOZZOLO ,684,520,10,25,
MOLLIA ,85,55,0,2,
MONCRIVELLO ,1188,933,19,57,
MOTTA DE' CONTI ,677,482,8,30,
OLCENENGO ,609,481,5,14,
OLDENICO ,213,153,4,12,
PALAZZOLO VERCELLESE ,1045,812,4,23,
PERTENGO ,271,206,1,4,
PEZZANA ,1090,839,9,36,
PILA ,110,67,0,4,
PIODE ,168,94,3,12,
POSTUA ,494,352,3,19,
PRAROLO ,563,416,10,23,
QUARONA ,3401,2672,28,121,
QUINTO VERCELLESE ,340,263,3,5,
RASSA ,63,49,0,0,
RIMA SAN GIUSEPPE ,58,45,0,1,
RIMASCO ,110,64,0,3,
RIMELLA ,128,57,0,1,
RIVA VALDOBBIA ,207,136,0,11,
RIVE ,400,302,10,17,
ROASIO ,1999,1456,8,51,
RONSECCO ,495,373,1,11,
ROSSA ,166,111,0,2,
ROVASENDA ,814,630,8,38,
SABBIA ,57,38,1,3,
SALASCO ,187,156,2,2,
SALI VERCELLESE ,99,89,2,3,
SALUGGIA ,3276,2459,28,116,
SAN GERMANO VERCELLESE ,1292,915,10,41,
SAN GIACOMO VERCELLESE ,281,204,4,9,
SANTHIA' ,6999,5353,77,251,
SCOPA ,327,223,6,19,
SCOPELLO ,341,230,1,11,
SERRAVALLE SESIA ,3951,3004,30,116,
STROPPIANA ,1064,781,10,41,
TRICERRO ,576,465,8,19,
TRINO ,5729,4245,43,182,
TRONZANO VERCELLESE ,2830,2183,26,109,
VALDUGGIA ,1739,1219,17,71,
VARALLO ,6030,4482,55,216,
VERCELLI ,36661,27138,238,1006,
VILLARBOIT ,387,292,4,14,
VILLATA ,1319,1026,13,54,
VOCCA ,134,105,0,9,
