Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ARITZO ,1134,722,6,20,
ATZARA ,1039,773,7,21,
AUSTIS ,728,440,7,21,
BELVI' ,563,437,5,23,
BIRORI ,490,324,2,9,
BITTI ,2525,1565,24,47,
BOLOTANA ,2392,1491,15,44,
BORORE ,1843,1284,10,33,
BORTIGALI ,1239,776,8,27,
DESULO ,2074,1251,12,49,
DORGALI ,6813,5042,23,107,
DUALCHI ,582,421,18,38,
FONNI ,3360,2035,16,93,
GADONI ,769,409,4,10,
GALTELLI' ,2038,1246,22,79,
GAVOI ,2311,1726,15,39,
IRGOLI ,1926,1106,14,37,
LEI ,476,294,7,17,
LOCULI ,417,222,1,8,
LODE' ,1599,876,17,41,
LODINE ,315,229,1,3,
LULA ,1251,589,6,23,
MACOMER ,8770,6290,35,160,
MAMOIADA ,2077,1432,7,37,
MEANA SARDO ,1578,1155,11,37,
NORAGUGUME ,278,172,4,6,
NUORO ,30920,21467,104,441,
OLIENA ,6071,4163,33,133,
OLLOLAI ,1173,728,17,45,
OLZAI ,763,561,6,20,
ONANI ,344,205,1,1,
ONIFAI ,635,353,6,18,
ONIFERI ,758,467,6,17,
ORANI ,2533,1662,12,34,
ORGOSOLO ,3517,2085,13,68,
OROSEI ,5314,3358,37,100,
OROTELLI ,1735,1070,7,24,
ORTUERI ,1065,700,13,34,
ORUNE ,2109,852,6,17,
OSIDDA ,191,99,1,3,
OTTANA ,1998,1015,8,36,
OVODDA ,1331,802,10,35,
POSADA ,2302,1560,4,31,
SARULE ,1440,918,9,25,
SILANUS ,1831,1212,17,59,
SINDIA ,1527,845,8,29,
SINISCOLA ,9221,5998,38,167,
SORGONO ,1455,1055,9,25,
TETI ,678,423,4,12,
TIANA ,445,324,4,16,
TONARA ,1770,1218,18,42,
TORPE' ,2364,1350,15,39,
