Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACI BONACCORSI ,2681,2038,18,74,
ACI CASTELLO ,15471,11128,76,299,
ACI CATENA ,23137,15652,192,671,
ACI SANT'ANTONIO ,13976,10077,103,477,
ACIREALE ,42743,30546,332,1442,
ADRANO ,28082,16405,250,815,
BELPASSO ,21298,14355,177,686,
BIANCAVILLA ,18520,11927,208,635,
BRONTE ,15203,10132,226,913,
CALATABIANO ,4489,2901,58,173,
CALTAGIRONE ,30872,20259,275,760,
CAMPOROTONDO ETNEO ,3726,2679,25,90,
CASTEL DI IUDICA ,3777,2394,80,164,
CASTIGLIONE DI SICILIA ,2716,1811,43,139,
CATANIA ,252986,155452,1389,5074,
FIUMEFREDDO DI SICILIA ,7842,5339,86,264,
GIARRE ,22246,15784,210,658,
GRAMMICHELE ,10637,6848,80,293,
GRAVINA DI CATANIA ,21801,15100,117,419,
LICODIA EUBEA ,2310,1396,25,57,
LINGUAGLOSSA ,4297,3035,71,216,
MALETTO ,3182,2067,74,164,
MANIACE ,2832,1881,130,336,
MASCALI ,11138,7699,117,335,
MASCALUCIA ,24552,17509,116,441,
MAZZARRONE ,2866,1901,40,102,
MILITELLO IN VAL DI CATANIA ,6467,4036,77,329,
MILO ,917,609,10,26,
MINEO ,4211,2634,50,131,
MIRABELLA IMBACCARI ,4401,2854,61,147,
MISTERBIANCO ,38299,24677,243,875,
MOTTA SANT'ANASTASIA ,9109,5985,84,262,
NICOLOSI ,5804,4329,52,181,
PALAGONIA ,12571,6480,81,251,
PATERNO' ,38275,25596,382,1197,
PEDARA ,10880,8045,81,269,
PIEDIMONTE ETNEO ,3310,2332,36,119,
RADDUSA ,2572,1630,35,99,
RAGALNA ,3050,2242,30,112,
RAMACCA ,8131,5181,88,237,
RANDAZZO ,9113,5797,130,394,
RIPOSTO ,11989,8018,105,324,
SAN CONO ,2160,1392,26,55,
SAN GIOVANNI LA PUNTA ,18211,13364,83,406,
SAN GREGORIO DI CATANIA ,9507,7232,38,195,
SAN MICHELE DI GANZARIA ,2805,1646,29,73,
SAN PIETRO CLARENZA ,5793,4226,80,201,
SANT'AGATA LI BATTIATI ,8188,6122,32,114,
SANT'ALFIO ,1328,947,31,83,
SANTA MARIA DI LICODIA ,5837,3944,74,215,
SANTA VENERINA ,6896,5160,120,333,
SCORDIA ,13864,9212,138,427,
TRECASTAGNI ,8442,6222,45,219,
TREMESTIERI ETNEO ,17073,12839,78,308,
VALVERDE ,6195,4576,34,169,
VIAGRANDE ,6573,4974,39,148,
VIZZINI ,5360,3117,81,226,
ZAFFERANA ETNEA ,7406,5445,79,277,
