Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGIRA ,6934,4852,91,259,
AIDONE ,4133,2418,40,152,
ASSORO ,4359,3053,71,224,
BARRAFRANCA ,11135,6796,150,398,
CALASCIBETTA ,3776,2621,41,118,
CATENANUOVA ,3901,2677,39,132,
CENTURIPE ,4681,3331,95,237,
CERAMI ,1785,1185,38,123,
ENNA ,23622,16361,164,743,
GAGLIANO CASTELFERRATO ,3061,2000,33,177,
LEONFORTE ,10973,7677,181,506,
NICOSIA ,11609,8026,242,766,
NISSORIA ,2411,1642,47,111,
PIAZZA ARMERINA ,17500,11434,150,465,
PIETRAPERZIA ,5896,3695,67,205,
REGALBUTO ,5984,3942,76,264,
SPERLINGA ,713,514,26,46,
TROINA ,7940,5613,122,411,
VALGUARNERA CAROPEPE ,6513,4149,94,222,
VILLAROSA ,4221,2681,52,174,
