Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUAFORMOSA ,889,619,13,49,
ACQUAPPESA ,1461,912,32,70,
ACRI ,15875,10810,312,742,
AIELLO CALABRO ,1502,947,21,47,
AIETA ,625,377,32,52,
ALBIDONA ,1103,609,33,59,
ALESSANDRIA DEL CARRETTO ,449,225,28,41,
ALTILIA ,546,372,6,10,
ALTOMONTE ,3306,2164,108,243,
AMANTEA ,10191,6929,168,404,
AMENDOLARA ,2275,1545,81,153,
APRIGLIANO ,2216,1360,20,62,
BELMONTE CALABRO ,1723,921,65,101,
BELSITO ,709,502,13,28,
BELVEDERE MARITTIMO ,7023,4356,137,338,
BIANCHI ,1077,707,29,40,
BISIGNANO ,7415,5180,211,473,
BOCCHIGLIERO ,1187,677,20,30,
BONIFATI ,2375,1370,28,70,
BUONVICINO ,1827,1168,41,101,
CALOPEZZATI ,996,570,14,28,
CALOVETO ,937,535,25,45,
CAMPANA ,1484,587,24,49,
CANNA ,628,366,22,45,
CARIATI ,5819,3141,79,189,
CAROLEI ,2580,1802,41,102,
CARPANZANO ,252,174,4,14,
CASOLE BRUZIO ,1865,1414,13,55,
CASSANO ALL'IONIO ,12790,7157,179,732,
CASTIGLIONE COSENTINO ,2206,1401,41,104,
CASTROLIBERO ,7665,5736,77,261,
CASTROREGIO ,293,155,13,17,
CASTROVILLARI ,16309,10053,215,676,
CELICO ,2028,1446,15,50,
CELLARA ,395,322,10,14,
CERCHIARA DI CALABRIA ,1925,1067,63,130,
CERISANO ,2431,1591,34,93,
CERVICATI ,693,455,23,36,
CERZETO ,1048,671,28,50,
CETRARO ,7707,4635,132,433,
CIVITA ,742,449,31,49,
CLETO ,950,638,11,30,
COLOSIMI ,977,653,14,40,
CORIGLIANO CALABRO ,26767,15681,380,905,
COSENZA ,51313,33276,494,1590,
CROPALATI ,809,532,12,27,
CROSIA ,6331,3907,98,212,
DIAMANTE ,4076,2895,87,192,
DIPIGNANO ,3294,2296,43,134,
DOMANICO ,714,514,12,27,
FAGNANO CASTELLO ,3046,1942,56,113,
FALCONARA ALBANESE ,1087,621,21,47,
FIGLINE VEGLIATURO ,870,651,16,34,
FIRMO ,1695,1043,26,74,
FIUMEFREDDO BRUZIO ,2335,1465,55,109,
FRANCAVILLA MARITTIMA ,2088,1256,61,119,
FRASCINETO ,1685,1099,25,95,
FUSCALDO ,6088,3861,107,226,
GRIMALDI ,1328,926,29,59,
GRISOLIA ,1738,1092,43,120,
GUARDIA PIEMONTESE ,1421,876,12,44,
LAGO ,2114,1345,26,96,
LAINO BORGO ,1666,870,39,94,
LAINO CASTELLO ,650,363,20,39,
LAPPANO ,727,572,3,21,
LATTARICO ,3032,2018,47,126,
LONGOBARDI ,1696,1046,33,88,
LONGOBUCCO ,2621,1682,59,113,
LUNGRO ,2105,1392,39,88,
LUZZI ,7054,4533,119,310,
MAIERA' ,968,659,26,56,
MALITO ,629,429,12,24,
MALVITO ,1365,881,40,74,
MANDATORICCIO ,2116,1132,28,61,
MANGONE ,1367,946,23,66,
MARANO MARCHESATO ,2494,1796,24,69,
MARANO PRINCIPATO ,2209,1527,26,74,
MARZI ,747,550,21,39,
MENDICINO ,6800,4905,63,204,
MONGRASSANO ,1225,811,28,69,
MONTALTO UFFUGO ,13664,9552,163,446,
MONTEGIORDANO ,1549,983,39,84,
MORANO CALABRO ,3595,1918,62,172,
MORMANNO ,2501,1684,64,131,
MOTTAFOLLONE ,986,579,24,48,
NOCARA ,336,176,12,20,
ORIOLO ,1894,1083,52,111,
ORSOMARSO ,1033,631,20,44,
PALUDI ,863,529,16,36,
PANETTIERI ,283,231,3,6,
PAOLA ,12189,8095,159,470,
PAPASIDERO ,639,326,31,53,
PARENTI ,1636,1268,39,76,
PATERNO CALABRO ,1030,741,25,49,
PEDACE ,1466,1127,13,37,
PEDIVIGLIANO ,663,481,16,29,
PIANE CRATI ,1072,837,17,54,
PIETRAFITTA ,1012,726,17,42,
PIETRAPAOLA ,835,453,28,40,
PLATACI ,642,423,18,25,
PRAIA A MARE ,5118,3360,92,212,
RENDE ,25587,18388,230,748,
ROCCA IMPERIALE ,2403,1509,50,109,
ROGGIANO GRAVINA ,5253,3094,101,242,
ROGLIANO ,4245,3144,91,257,
ROSE ,3158,2189,48,119,
ROSETO CAPO SPULICO ,1513,887,35,71,
ROSSANO ,24307,13706,370,882,
ROTA GRECA ,929,621,20,39,
ROVITO ,2341,1799,19,64,
SAN BASILE ,883,556,9,29,
SAN BENEDETTO ULLANO ,1215,817,29,78,
SAN COSMO ALBANESE ,473,286,6,11,
SAN DEMETRIO CORONE ,2742,1810,66,140,
SAN DONATO DI NINEA ,1160,687,31,56,
SAN FILI ,2030,1391,30,76,
SAN GIORGIO ALBANESE ,1164,725,27,51,
SAN GIOVANNI IN FIORE ,12847,9063,134,516,
