Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUARO ,1857,1224,29,69,
ARENA ,1056,616,17,30,
BRIATICO ,2799,1940,37,116,
BROGNATURO ,492,340,12,20,
CAPISTRANO ,850,490,27,50,
CESSANITI ,2434,1524,47,118,
DASA' ,881,513,16,45,
DINAMI ,1736,932,26,64,
DRAPIA ,1590,1180,31,79,
FABRIZIA ,1675,948,54,109,
FILADELFIA ,4161,2944,99,184,
FILANDARI ,1230,798,15,49,
FILOGASO ,1002,674,32,46,
FRANCAVILLA ANGITOLA ,1441,917,9,78,
FRANCICA ,1107,762,37,88,
GEROCARNE ,1569,890,35,84,
IONADI ,2614,1623,22,98,
JOPPOLO ,1486,916,30,64,
LIMBADI ,2434,1601,40,91,
MAIERATO ,1513,960,30,76,
MILETO ,4691,2802,72,192,
MONGIANA ,594,321,10,21,
MONTEROSSO CALABRO ,1380,895,24,53,
NARDODIPACE ,934,596,30,53,
NICOTERA ,4568,2676,74,154,
PARGHELIA ,995,673,14,39,
PIZZO ,6494,4120,62,160,
PIZZONI ,920,551,20,50,
POLIA ,835,525,17,30,
RICADI ,3507,2364,62,130,
ROMBIOLO ,3120,2142,63,184,
SAN CALOGERO ,3111,1853,59,133,
SAN COSTANTINO CALABRO ,1565,1027,33,68,
SAN GREGORIO D'IPPONA ,1628,981,36,67,
SAN NICOLA DA CRISSA ,1068,651,22,45,
SANT'ONOFRIO ,2230,1458,43,84,
SERRA SAN BRUNO ,4718,3043,82,320,
SIMBARIO ,703,374,11,28,
SORIANELLO ,797,630,12,24,
SORIANO CALABRO ,1715,1097,32,70,
SPADOLA ,605,440,22,38,
SPILINGA ,1133,683,30,46,
STEFANACONI ,1740,1069,27,78,
TROPEA ,4792,3231,64,189,
VALLELONGA ,530,316,10,22,
VAZZANO ,826,541,21,34,
VIBO VALENTIA ,23993,15441,228,756,
ZACCANOPOLI ,559,401,17,36,
ZAMBRONE ,1211,883,44,125,
ZUNGRI ,1392,970,40,77,
