Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALFONSINE ,9047,7834,60,200,
BAGNACAVALLO ,12354,10460,78,248,
BAGNARA DI ROMAGNA ,1670,1431,14,39,
BRISIGHELLA ,5695,4611,56,160,
CASOLA VALSENIO ,2016,1641,28,68,
CASTEL BOLOGNESE ,6660,5574,50,158,
CERVIA ,20903,17340,96,376,
CONSELICE ,6735,5671,47,145,
COTIGNOLA ,5455,4746,49,141,
FAENZA ,41203,33981,256,798,
FUSIGNANO ,5892,4974,46,147,
LUGO ,23466,19711,151,510,
MASSA LOMBARDA ,7119,5919,31,118,
RAVENNA ,112712,93287,607,2123,
RIOLO TERME ,4049,3451,40,109,
RUSSI ,8784,7364,74,248,
SANT'AGATA SUL SANTERNO ,1987,1635,15,53,
SOLAROLO ,3041,2507,35,90,
