Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALBINEA ,6360,5579,40,104,
BAGNOLO IN PIANO ,6416,5557,34,115,
BAISO ,2437,1966,27,55,
BIBBIANO ,6952,5797,55,175,
BORETTO ,3420,2760,26,93,
BRESCELLO ,3813,2979,15,92,
BUSANA ,1005,810,8,41,
CADELBOSCO DI SOPRA ,6919,5771,56,167,
CAMPAGNOLA EMILIA ,3621,3117,32,61,
CAMPEGINE ,3405,2838,17,64,
CANOSSA ,2737,2209,27,68,
CARPINETI ,3082,2546,35,81,
CASALGRANDE ,12932,10848,94,273,
CASINA ,3342,2727,35,89,
CASTELLARANO ,10520,8887,77,222,
CASTELNOVO DI SOTTO ,5766,4821,50,132,
CASTELNOVO NE' MONTI ,7568,6293,69,178,
CAVRIAGO ,6905,5813,52,150,
COLLAGNA ,793,563,6,29,
CORREGGIO ,16924,14506,91,296,
FABBRICO ,4305,3760,41,98,
GATTATICO ,4072,3404,27,93,
GUALTIERI ,4505,3745,28,109,
GUASTALLA ,10268,8468,76,305,
LIGONCHIO ,710,510,7,20,
LUZZARA ,5804,4926,55,177,
MONTECCHIO EMILIA ,7269,6186,56,161,
NOVELLARA ,9019,7671,58,174,
POVIGLIO ,4870,4086,20,97,
QUATTRO CASTELLA ,9506,8162,56,195,
RAMISETO ,1042,754,6,32,
REGGIO NELL'EMILIA ,108660,89669,506,1622,
REGGIOLO ,6184,5269,63,175,
RIO SALICETO ,4038,3517,28,87,
ROLO ,2570,2196,17,59,
RUBIERA ,10009,8550,77,187,
SAN MARTINO IN RIO ,5431,4634,25,98,
SAN POLO D'ENZA ,4230,3465,40,97,
SANT'ILARIO D'ENZA ,7593,6400,42,130,
SCANDIANO ,17951,15448,134,370,
TOANO ,3173,2468,33,86,
VETTO ,1502,1157,13,48,
VEZZANO SUL CROSTOLO ,3125,2671,30,75,
VIANO ,2504,2060,18,58,
VILLA MINOZZO ,3051,2230,24,71,
