Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ANDREIS ,237,163,0,8,
ARBA ,951,700,6,24,
ARZENE ,1225,1000,12,38,
AVIANO ,6403,4910,34,156,
AZZANO DECIMO ,10716,8794,64,305,
BARCIS ,216,156,2,7,
BRUGNERA ,6239,5202,46,205,
BUDOIA ,1827,1465,12,51,
CANEVA ,4812,3875,22,112,
CASARSA DELLA DELIZIA ,5867,4720,46,179,
CASTELNOVO DEL FRIULI ,656,469,2,12,
CAVASSO NUOVO ,1187,828,5,28,
CHIONS ,3490,2836,19,113,
CIMOLAIS ,342,206,2,10,
CLAUT ,750,475,3,23,
CLAUZETTO ,326,199,2,9,
CORDENONS ,13343,10892,49,355,
CORDOVADO ,1962,1577,18,66,
ERTO E CASSO ,307,192,2,13,
FANNA ,1164,834,12,44,
FIUME VENETO ,8256,6728,41,270,
FONTANAFREDDA ,8168,6668,30,230,
FRISANCO ,499,367,1,9,
MANIAGO ,8388,6348,33,270,
MEDUNO ,1248,938,6,41,
MONTEREALE VALCELLINA ,3321,2587,24,105,
MORSANO AL TAGLIAMENTO ,2146,1589,14,63,
PASIANO DI PORDENONE ,4920,4068,36,161,
PINZANO AL TAGLIAMENTO ,1130,817,8,40,
POLCENIGO ,2390,1922,22,77,
PORCIA ,11017,9029,53,282,
PORDENONE ,35003,28242,153,765,
PRATA DI PORDENONE ,5350,4423,28,163,
PRAVISDOMINI ,2089,1655,12,60,
ROVEREDO IN PIANO ,4179,3508,14,87,
SACILE ,14065,11152,64,355,
SAN GIORGIO DELLA RICHINVELDA ,3150,2473,20,76,
SAN MARTINO AL TAGLIAMENTO ,1051,855,3,20,
SAN QUIRINO ,3171,2604,15,107,
SAN VITO AL TAGLIAMENTO ,10640,8400,58,265,
SEQUALS ,1597,1192,13,57,
SESTO AL REGHENA ,4695,3739,27,159,
SPILIMBERGO ,8530,6651,47,199,
TRAMONTI DI SOPRA ,309,197,3,11,
TRAMONTI DI SOTTO ,337,241,1,4,
TRAVESIO ,1334,984,8,42,
VAJONT ,1101,831,8,40,
VALVASONE ,1630,1301,10,46,
VITO D'ASIO ,652,480,7,18,
VIVARO ,958,755,7,26,
ZOPPOLA ,6157,4874,23,160,
