Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AIELLO DEL FRIULI ,1764,1387,9,44,
AMARO ,630,480,4,18,
AMPEZZO ,835,544,2,28,
AQUILEIA ,2702,2225,20,85,
ARTA TERME ,1690,1148,6,42,
ARTEGNA ,2198,1718,16,65,
ATTIMIS ,1446,1099,4,43,
BAGNARIA ARSA ,2765,2219,19,81,
BASILIANO ,3988,3144,27,114,
BERTIOLO ,1906,1530,12,56,
BICINICCO ,1450,1134,7,42,
BORDANO ,583,416,4,26,
BUJA ,4981,3731,28,128,
BUTTRIO ,2953,2405,21,75,
CAMINO AL TAGLIAMENTO ,1246,1002,7,35,
CAMPOFORMIDO ,5729,4695,24,146,
CAMPOLONGO TAPOGLIANO ,931,759,4,29,
CARLINO ,2157,1674,15,90,
CASSACCO ,2173,1697,6,62,
CASTIONS DI STRADA ,2878,2299,14,83,
CAVAZZO CARNICO ,833,578,5,17,
CERCIVENTO ,540,374,4,23,
CERVIGNANO DEL FRIULI ,9810,7649,55,228,
CHIOPRIS-VISCONE ,494,385,2,14,
CHIUSAFORTE ,554,325,2,9,
CIVIDALE DEL FRIULI ,8489,6650,52,231,
CODROIPO ,11846,9176,68,340,
COLLOREDO DI MONTE ALBANO ,1743,1350,8,49,
COMEGLIANS ,431,276,1,11,
CORNO DI ROSAZZO ,2429,1955,11,77,
COSEANO ,1652,1308,21,80,
DIGNANO ,1815,1401,10,47,
DOGNA ,165,90,1,6,
DRENCHIA ,105,59,3,3,
ENEMONZO ,1054,721,9,33,
FAEDIS ,2253,1712,11,56,
FAGAGNA ,4800,3720,18,139,
FIUMICELLO ,3971,3244,32,126,
FLAIBANO ,889,687,6,27,
FORGARIA NEL FRIULI ,1394,926,6,35,
FORNI AVOLTRI ,503,324,7,25,
FORNI DI SOPRA ,819,533,2,24,
FORNI DI SOTTO ,484,330,7,27,
GEMONA DEL FRIULI ,8498,6480,33,221,
GONARS ,3707,2891,13,96,
GRIMACCO ,302,218,2,6,
