Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACCUMOLI ,509,307,16,35,
AMATRICE ,2121,1332,22,65,
ANTRODOCO ,2011,1605,25,91,
ASCREA ,197,128,3,7,
BELMONTE IN SABINA ,504,375,16,25,
BORBONA ,529,390,14,24,
BORGO VELINO ,744,603,19,35,
BORGOROSE ,3439,2563,81,231,
CANTALICE ,2067,1515,37,84,
CANTALUPO IN SABINA ,1237,960,13,52,
CASAPROTA ,537,388,7,35,
CASPERIA ,902,685,25,65,
CASTEL DI TORA ,229,167,3,9,
CASTEL SANT'ANGELO ,988,725,23,50,
CASTELNUOVO DI FARFA ,774,579,5,26,
CITTADUCALE ,5200,4132,91,211,
CITTAREALE ,396,210,9,16,
COLLALTO SABINO ,380,249,7,10,
COLLE DI TORA ,300,210,5,10,
COLLEGIOVE ,131,92,3,6,
COLLEVECCHIO ,1211,897,25,55,
COLLI SUL VELINO ,368,265,9,23,
CONCERVIANO ,248,155,3,5,
CONFIGNI ,509,379,17,34,
CONTIGLIANO ,2718,1954,29,85,
COTTANELLO ,433,281,13,28,
FARA IN SABINA ,9082,7271,82,291,
FIAMIGNANO ,1166,800,22,55,
FORANO ,2041,1604,23,80,
FRASSO SABINO ,483,391,7,26,
GRECCIO ,1212,915,28,59,
LABRO ,265,193,6,17,
LEONESSA ,1979,1350,15,44,
LONGONE SABINO ,467,328,9,13,
MAGLIANO SABINA ,2773,2139,38,112,
MARCETELLI ,74,34,0,1,
MICIGLIANO ,115,70,1,2,
MOMPEO ,432,295,11,25,
MONTASOLA ,322,253,9,22,
MONTE SAN GIOVANNI IN SABINA ,566,413,12,31,
MONTEBUONO ,664,506,18,35,
MONTELEONE SABINO ,946,715,17,52,
MONTENERO SABINO ,244,187,10,14,
MONTOPOLI DI SABINA ,2995,2359,34,113,
MORRO REATINO ,283,190,6,10,
NESPOLO ,207,148,4,9,
ORVINIO ,329,236,5,17,
PAGANICO SABINO ,156,113,3,3,
PESCOROCCHIANO ,1779,1201,45,90,
PETRELLA SALTO ,979,713,19,47,
POGGIO BUSTONE ,1615,1245,23,52,
POGGIO CATINO ,956,713,13,28,
POGGIO MIRTETO ,4156,3305,39,146,
POGGIO MOIANO ,1978,1536,31,77,
POGGIO NATIVO ,1796,1486,28,72,
POGGIO SAN LORENZO ,437,314,6,14,
POSTA ,549,345,6,21,
POZZAGLIA SABINA ,329,197,4,10,
RIETI ,35410,26860,384,1114,
RIVODUTRI ,893,749,15,41,
ROCCA SINIBALDA ,689,513,17,35,
ROCCANTICA ,466,342,11,21,
SALISANO ,446,326,4,26,
SCANDRIGLIA ,2133,1529,20,75,
SELCI ,841,645,11,36,
STIMIGLIANO ,1379,1111,18,52,
TARANO ,1010,751,15,42,
TOFFIA ,770,563,14,35,
TORRI IN SABINA ,926,703,15,59,
TORRICELLA IN SABINA ,1018,747,15,32,
TURANIA ,197,147,0,0,
VACONE ,211,154,13,15,
VARCO SABINO ,172,107,4,7,
