Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AFFILE ,1232,909,11,59,
AGOSTA ,1249,1058,18,57,
ALBANO LAZIALE ,28314,22264,219,708,
ALLUMIERE ,3088,2573,57,132,
ANGUILLARA SABAZIA ,12632,10255,104,347,
ANTICOLI CORRADO ,699,567,15,33,
ANZIO ,37747,28718,337,833,
ARCINAZZO ROMANO ,1099,778,19,63,
ARDEA ,31177,22497,212,631,
ARICCIA ,13628,10642,114,308,
ARSOLI ,1217,935,22,64,
ARTENA ,9625,7526,169,483,
BELLEGRA ,2202,1819,56,141,
BRACCIANO ,12818,10229,139,357,
CAMERATA NUOVA ,344,266,12,17,
CAMPAGNANO DI ROMA ,7090,5477,64,178,
CANALE MONTERANO ,2960,2367,36,91,
CANTERANO ,270,236,13,28,
CAPENA ,6698,5157,66,193,
CAPRANICA PRENESTINA ,273,248,2,8,
CARPINETO ROMANO ,3566,2898,93,241,
CASAPE ,538,400,30,40,
CASTEL GANDOLFO ,6180,4919,55,151,
CASTEL MADAMA ,5194,4207,87,195,
CASTEL SAN PIETRO ROMANO ,596,498,22,39,
CASTELNUOVO DI PORTO ,5716,4518,48,121,
CAVE ,7411,5835,97,284,
CERRETO LAZIALE ,795,675,22,35,
CERVARA DI ROMA ,395,278,8,16,
CERVETERI ,25499,19593,208,598,
CIAMPINO ,27395,21997,225,629,
CICILIANO ,965,759,9,36,
CINETO ROMANO ,460,380,8,14,
CIVITAVECCHIA ,38865,28691,363,958,
CIVITELLA SAN PAOLO ,1243,996,16,49,
COLLEFERRO ,15556,12562,237,615,
COLONNA ,2787,2293,27,75,
FIANO ROMANO ,9549,7494,93,241,
FILACCIANO ,359,290,4,11,
FIUMICINO ,49485,37793,378,1125,
FONTE NUOVA ,19420,14738,178,493,
FORMELLO ,8266,6589,89,204,
FRASCATI ,15805,12732,133,413,
GALLICANO NEL LAZIO ,4165,3207,38,110,
GAVIGNANO ,1412,1143,37,94,
GENAZZANO ,4289,3455,66,178,
GENZANO DI ROMA ,17360,13484,143,466,
GERANO ,987,824,24,55,
GORGA ,576,474,27,70,
GROTTAFERRATA ,14152,11353,128,314,
GUIDONIA MONTECELIO ,57135,44039,461,1388,
JENNE ,323,235,9,20,
LABICO ,4092,3285,37,116,
LADISPOLI ,24829,18673,173,527,
LANUVIO ,8919,7115,97,266,
LARIANO ,9122,7118,123,311,
LICENZA ,728,560,17,41,
MAGLIANO ROMANO ,996,801,22,49,
MANDELA ,654,543,7,27,
MANZIANA ,5311,4182,43,130,
MARANO EQUO ,625,527,21,34,
MARCELLINA ,4411,3387,53,159,
MARINO ,28814,22649,239,722,
MAZZANO ROMANO ,2162,1639,34,79,
MENTANA ,14231,11115,153,408,
MONTE COMPATRI ,7903,6280,82,229,
MONTE PORZIO CATONE ,6394,5295,46,151,
MONTEFLAVIO ,1020,808,34,50,
MONTELANICO ,1565,1191,36,90,
MONTELIBRETTI ,3792,3138,87,192,
MONTEROTONDO ,27050,21409,215,705,
MONTORIO ROMANO ,1437,1098,44,78,
MORICONE ,1871,1458,27,73,
MORLUPO ,5817,4560,45,129,
NAZZANO ,996,744,16,34,
NEMI ,1390,1153,21,40,
NEROLA ,1358,1045,23,55,
NETTUNO ,34027,26068,264,768,
OLEVANO ROMANO ,4865,3942,116,264,
PALESTRINA ,14765,11910,193,530,
PALOMBARA SABINA ,8851,6936,106,353,
PERCILE ,193,158,13,18,
PISONIANO ,563,437,6,20,
POLI ,1594,1264,32,88,
POMEZIA ,41632,32177,332,930,
PONZANO ROMANO ,777,624,13,28,
RIANO ,6349,5103,53,155,
RIGNANO FLAMINIO ,6293,5132,83,178,
RIOFREDDO ,562,468,11,24,
ROCCA CANTERANO ,162,124,2,2,
ROCCA DI CAVE ,313,243,5,12,
ROCCA DI PAPA ,10989,8289,79,284,
ROCCA PRIORA ,8200,6386,83,244,
ROCCA SANTO STEFANO ,735,594,28,69,
ROCCAGIOVINE ,208,162,3,8,
ROIATE ,614,458,20,34,
ROMA ,1934270,1518907,11307,36099,
ROVIANO ,1024,839,25,48,
SACROFANO ,4716,3801,45,98,
SAMBUCI ,682,565,14,37,
SAN CESAREO ,9444,7674,94,276,
SAN GREGORIO DA SASSOLA ,1196,963,39,83,
SAN POLO DEI CAVALIERI ,2011,1442,19,68,
SAN VITO ROMANO ,2348,1974,37,111,
SANT'ANGELO ROMANO ,3100,2256,29,66,
SANT'ORESTE ,2629,2075,49,112,
SANTA MARINELLA ,13359,10022,126,324,
SARACINESCO ,137,97,7,10,
SEGNI ,6780,5299,104,264,
SUBIACO ,6791,5288,113,339,
TIVOLI ,38222,29825,362,1124,
TOLFA ,3698,2920,105,225,
TORRITA TIBERINA ,778,614,16,30,
TREVIGNANO ROMANO ,3799,3038,42,114,
VALLEPIETRA ,256,196,20,24,
VALLINFREDA ,236,182,6,9,
VALMONTONE ,10367,8355,206,462,
VELLETRI ,37073,28589,412,1263,
VICOVARO ,2851,2167,38,99,
VIVARO ROMANO ,149,116,7,16,
ZAGAROLO ,11280,8842,136,402,
