Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALASSIO ,8331,6245,34,138,
ALBENGA ,17548,13518,103,403,
ALBISOLA SUPERIORE ,8192,6578,43,173,
ALBISSOLA MARINA ,4373,3615,15,70,
ALTARE ,1677,1248,10,33,
ANDORA ,5689,4316,38,125,
ARNASCO ,464,357,3,14,
BALESTRINO ,457,361,4,12,
BARDINETO ,551,375,3,6,
BERGEGGI ,902,726,4,18,
BOISSANO ,1832,1539,8,36,
BORGHETTO SANTO SPIRITO ,3844,2775,29,76,
BORGIO VEREZZI ,1791,1432,13,36,
BORMIDA ,327,215,4,18,
CAIRO MONTENOTTE ,9763,7544,91,345,
CALICE LIGURE ,1341,1057,12,38,
CALIZZANO ,1228,850,18,47,
CARCARE ,4222,3405,31,143,
CASANOVA LERRONE ,546,374,6,18,
CASTELBIANCO ,216,145,5,11,
CASTELVECCHIO DI ROCCA BARBENA ,135,99,2,5,
CELLE LIGURE ,4141,3367,23,82,
CENGIO ,2669,2009,27,87,
CERIALE ,4295,3193,18,76,
CISANO SUL NEVA ,1404,1141,11,33,
COSSERIA ,838,681,11,38,
DEGO ,1526,1159,17,39,
ERLI ,196,139,3,6,
FINALE LIGURE ,9137,7123,59,185,
GARLENDA ,884,678,8,29,
GIUSTENICE ,769,611,3,15,
GIUSVALLA ,352,261,2,5,
LAIGUEGLIA ,1384,1061,3,29,
LOANO ,8742,6555,54,166,
MAGLIOLO ,713,558,2,12,
MALLARE ,941,693,5,34,
MASSIMINO ,101,74,5,7,
MILLESIMO ,2596,2043,31,94,
MIOGLIA ,433,306,4,10,
MURIALDO ,641,489,7,21,
NASINO ,152,111,1,3,
NOLI ,2203,1716,17,52,
ONZO ,167,129,0,1,
ORCO FEGLINO ,695,530,7,16,
ORTOVERO ,1045,823,3,24,
OSIGLIA ,370,251,2,15,
PALLARE ,732,568,5,33,
PIANA CRIXIA ,665,481,8,23,
PIETRA LIGURE ,6942,5227,40,142,
PLODIO ,501,409,3,20,
PONTINVREA ,698,496,6,19,
QUILIANO ,5697,4646,30,117,
RIALTO ,432,329,6,12,
ROCCAVIGNALE ,575,438,6,26,
SASSELLO ,1457,1112,19,53,
SAVONA ,45924,35925,185,849,
SPOTORNO ,3049,2335,9,47,
STELLA ,2390,1813,15,37,
STELLANELLO ,641,470,2,14,
TESTICO ,161,115,1,4,
TOIRANO ,2047,1595,13,26,
TOVO SAN GIACOMO ,1929,1570,14,61,
URBE ,628,402,8,15,
VADO LIGURE ,6511,5355,41,184,
VARAZZE ,10448,8260,58,252,
VENDONE ,308,232,0,6,
VEZZI PORTIO ,645,483,1,13,
VILLANOVA D'ALBENGA ,1914,1561,13,46,
ZUCCARELLO ,216,177,6,11,
