Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUAFREDDA ,1056,869,21,34,
ADRO ,5006,4222,58,151,
AGNOSINE ,1314,1031,15,47,
ALFIANELLO ,1749,1431,35,87,
ANFO ,348,262,1,10,
ANGOLO TERME ,1872,1476,25,67,
ARTOGNE ,2541,2038,29,112,
AZZANO MELLA ,2026,1752,15,54,
BAGNOLO MELLA ,8577,7158,76,211,
BAGOLINO ,3021,2346,40,127,
BARBARIGA ,1600,1359,26,48,
BARGHE ,784,665,16,29,
BASSANO BRESCIANO ,1460,1259,28,62,
BEDIZZOLE ,7891,6517,75,216,
BERLINGO ,1735,1476,19,59,
BERZO DEMO ,1297,1084,30,75,
BERZO INFERIORE ,1707,1428,35,82,
BIENNO ,2591,2169,39,78,
BIONE ,981,743,8,38,
BORGO SAN GIACOMO ,3540,2924,50,111,
BORGOSATOLLO ,6288,5379,78,184,
BORNO ,2107,1605,36,74,
BOTTICINO ,7719,6602,92,225,
BOVEGNO ,1713,1164,26,63,
BOVEZZO ,5377,4622,46,124,
BRANDICO ,1065,871,9,29,
BRAONE ,464,365,8,27,
BRENO ,3608,2989,63,143,
BRESCIA ,127960,105172,853,2408,
BRIONE ,498,402,4,11,
CAINO ,1465,1180,15,49,
CALCINATO ,7709,6321,54,176,
CALVAGESE DELLA RIVIERA ,2324,1987,25,60,
CALVISANO ,5491,4628,65,162,
CAPO DI PONTE ,1833,1521,28,94,
CAPOVALLE ,309,222,3,11,
CAPRIANO DEL COLLE ,3187,2690,36,97,
CAPRIOLO ,6131,4978,55,181,
CARPENEDOLO ,7680,6595,79,201,
CASTEGNATO ,5377,4690,53,155,
CASTEL MELLA ,7435,6292,49,183,
CASTELCOVATI ,3776,3283,69,161,
CASTENEDOLO ,7746,6527,80,214,
CASTO ,1161,955,19,47,
CASTREZZATO ,4262,3493,57,127,
CAZZAGO SAN MARTINO ,7592,6536,68,213,
CEDEGOLO ,893,713,14,43,
CELLATICA ,3531,3082,23,65,
CERVENO ,506,396,10,20,
CETO ,1377,1138,17,61,
CEVO ,771,586,4,23,
CHIARI ,12138,10090,94,314,
CIGOLE ,1123,935,16,34,
CIMBERGO ,447,375,11,27,
CIVIDATE CAMUNO ,1954,1643,38,79,
COCCAGLIO ,5355,4550,57,167,
COLLEBEATO ,3472,3070,42,77,
COLLIO ,1599,1085,29,67,
COLOGNE ,4872,4180,31,116,
COMEZZANO-CIZZAGO ,2292,1932,38,116,
CONCESIO ,10651,9086,105,269,
CORTE FRANCA ,4931,4175,53,151,
CORTENO GOLGI ,1469,1209,26,57,
CORZANO ,1017,838,16,40,
DARFO BOARIO TERME ,10151,8440,130,315,
DELLO ,3677,3113,42,103,
DESENZANO DEL GARDA ,18896,15172,133,368,
EDOLO ,3341,2689,36,118,
ERBUSCO ,5875,4988,62,175,
ESINE ,3696,3124,70,154,
FIESSE ,1401,1208,29,63,
FLERO ,6143,5280,51,136,
GAMBARA ,3255,2715,46,101,
GARDONE RIVIERA ,1906,1560,11,32,
GARDONE VAL TROMPIA ,7798,6434,62,172,
GARGNANO ,2199,1743,22,52,
GAVARDO ,7763,6378,52,182,
GHEDI ,11660,9594,123,315,
GIANICO ,1505,1278,15,52,
GOTTOLENGO ,3453,2796,68,132,
GUSSAGO ,11497,9911,107,269,
IDRO ,1355,1081,26,49,
INCUDINE ,320,240,3,11,
IRMA ,105,80,5,8,
ISEO ,6445,5300,46,135,
ISORELLA ,2603,2198,38,80,
LAVENONE ,421,320,10,17,
LENO ,9249,7641,113,302,
LIMONE SUL GARDA ,756,641,4,10,
LODRINO ,1143,896,8,29,
LOGRATO ,2423,2087,32,76,
LONATO DEL GARDA ,10561,8809,76,255,
LONGHENA ,470,395,4,15,
LOSINE ,417,365,9,16,
LOZIO ,336,240,11,22,
LUMEZZANE ,15990,12415,113,409,
MACLODIO ,889,765,11,34,
MAGASA ,127,67,0,2,
MAIRANO ,2168,1842,18,58,
MALEGNO ,1501,1160,29,70,
MALONNO ,2462,1999,25,96,
MANERBA DEL GARDA ,3571,2854,33,86,
MANERBIO ,8841,7334,101,264,
MARCHENO ,3009,2470,37,90,
MARMENTINO ,495,351,7,11,
MARONE ,2355,1971,30,69,
MAZZANO ,7949,6733,81,193,
MILZANO ,1120,924,13,31,
MONIGA DEL GARDA ,1692,1378,14,29,
MONNO ,463,377,14,31,
MONTE ISOLA ,1324,1086,19,49,
MONTICELLI BRUSATI ,3174,2717,29,69,
MONTICHIARI ,15418,12755,220,479,
MONTIRONE ,3360,2873,40,96,
MURA ,520,387,13,21,
MUSCOLINE ,1788,1471,11,54,
NAVE ,7947,6679,84,258,
NIARDO ,1384,1141,17,72,
NUVOLENTO ,2650,2206,31,91,
NUVOLERA ,3011,2559,39,102,
ODOLO ,1235,935,13,44,
OFFLAGA ,2726,2268,37,89,
OME ,2305,2016,16,67,
ONO SAN PIETRO ,737,608,16,42,
ORZINUOVI ,8336,6852,112,254,
ORZIVECCHI ,1676,1450,26,59,
OSPITALETTO ,8896,7467,76,208,
OSSIMO ,1118,913,21,43,
PADENGHE SUL GARDA ,3052,2546,38,79,
PADERNO FRANCIACORTA ,2507,2152,29,77,
PAISCO LOVENO ,165,121,1,4,
PAITONE ,1418,1209,18,49,
PALAZZOLO SULL'OGLIO ,12813,10619,115,307,
PARATICO ,3071,2573,40,78,
PASPARDO ,515,411,18,38,
PASSIRANO ,5045,4319,43,158,
PAVONE DEL MELLA ,1852,1560,38,90,
PERTICA ALTA ,460,323,12,21,
PERTICA BASSA ,475,358,7,13,
PEZZAZE ,1140,825,17,55,
PIAN CAMUNO ,2862,2322,47,104,
PIANCOGNO ,3046,2474,52,119,
PISOGNE ,5901,4683,66,188,
POLAVENO ,1839,1421,15,62,
POLPENAZZE DEL GARDA ,1899,1571,21,41,
POMPIANO ,2556,2227,37,91,
PONCARALE ,3610,3204,34,96,
PONTE DI LEGNO ,1361,1141,22,54,
PONTEVICO ,4960,3891,61,205,
PONTOGLIO ,4410,3690,34,105,
POZZOLENGO ,2426,1967,26,73,
PRALBOINO ,1912,1536,29,75,
PRESEGLIE ,1069,850,15,40,
PRESTINE ,290,236,3,5,
PREVALLE ,4060,3318,44,130,
PROVAGLIO D'ISEO ,4984,4225,31,145,
PROVAGLIO VAL SABBIA ,660,532,15,32,
PUEGNAGO DEL GARDA ,2376,1921,19,55,
QUINZANO D'OGLIO ,4361,3642,62,164,
REMEDELLO ,2107,1749,35,64,
REZZATO ,9000,7517,71,208,
ROCCAFRANCA ,2898,2511,42,113,
RODENGO SAIANO ,6362,5459,50,143,
ROE' VOLCIANO ,3223,2585,25,74,
