Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ALAGNA ,667,508,12,26,
ALBAREDO ARNABOLDI ,168,141,2,7,
ALBONESE ,446,332,9,22,
ALBUZZANO ,2381,1855,16,69,
ARENA PO ,1178,910,13,45,
BADIA PAVESE ,297,230,0,6,
BAGNARIA ,534,435,11,24,
BARBIANELLO ,640,523,15,33,
BASCAPE' ,1211,970,12,43,
BASTIDA DE' DOSSI ,134,110,3,5,
BASTIDA PANCARANA ,760,624,6,12,
BATTUDA ,458,361,9,19,
BELGIOIOSO ,4436,3362,84,209,
BEREGUARDO ,2041,1624,17,49,
BORGARELLO ,1861,1536,11,46,
BORGO PRIOLO ,974,861,11,28,
BORGO SAN SIRO ,750,595,9,23,
BORGORATTO MORMOROLO ,295,220,3,7,
BORNASCO ,1844,1500,14,50,
BOSNASCO ,483,403,10,18,
BRALLO DI PREGOLA ,588,336,11,21,
BREME ,663,454,12,26,
BRESSANA BOTTARONE ,2543,2050,28,91,
BRONI ,6661,5112,91,217,
CALVIGNANO ,89,69,0,0,
CAMPOSPINOSO ,789,571,20,41,
CANDIA LOMELLINA ,1230,920,21,55,
CANEVINO ,95,68,3,3,
CANNETO PAVESE ,1067,852,15,45,
CARBONARA AL TICINO ,1127,912,16,35,
CASANOVA LONATI ,340,271,6,10,
CASATISMA ,674,541,9,28,
CASEI GEROLA ,1932,1520,33,96,
CASORATE PRIMO ,5861,4754,54,190,
CASSOLNOVO ,5326,3996,44,177,
CASTANA ,569,454,5,25,
CASTEGGIO ,5124,3844,62,141,
CASTELLETTO DI BRANDUZZO ,798,644,17,32,
CASTELLO D'AGOGNA ,807,646,10,22,
CASTELNOVETTO ,483,348,4,20,
CAVA MANARA ,4983,4008,44,167,
CECIMA ,187,150,2,5,
CERANOVA ,1375,1114,14,46,
CERETTO LOMELLINA ,164,132,4,10,
CERGNAGO ,601,487,7,21,
CERTOSA DI PAVIA ,3759,3000,18,75,
CERVESINA ,940,748,12,35,
CHIGNOLO PO ,2772,2036,23,82,
CIGOGNOLA ,1084,849,17,42,
CILAVEGNA ,4181,3120,43,142,
CODEVILLA ,789,652,16,35,
CONFIENZA ,1298,1006,21,82,
COPIANO ,1333,1076,23,64,
CORANA ,646,496,14,33,
CORNALE ,566,421,10,27,
CORTEOLONA ,1447,1100,21,61,
CORVINO SAN QUIRICO ,836,667,11,31,
COSTA DE' NOBILI ,267,207,5,11,
COZZO ,298,208,5,10,
CURA CARPIGNANO ,3131,2566,24,100,
DORNO ,3402,2573,39,141,
FERRERA ERBOGNONE ,804,597,11,41,
FILIGHERA ,605,471,7,27,
FORTUNAGO ,312,214,5,12,
FRASCAROLO ,939,730,18,48,
GALLIAVOLA ,142,80,1,2,
GAMBARANA ,193,127,4,12,
GAMBOLO' ,7542,5695,70,251,
GARLASCO ,7303,5460,91,238,
GENZONE ,280,225,3,13,
GERENZAGO ,966,782,19,49,
GIUSSAGO ,3635,2883,23,105,
GODIASCO SALICE TERME ,2366,1909,22,59,
GOLFERENZO ,155,116,2,6,
GRAVELLONA LOMELLINA ,2065,1565,23,71,
GROPELLO CAIROLI ,3359,2636,49,122,
INVERNO E MONTELEONE ,1060,845,15,48,
LANDRIANO ,4284,3487,41,135,
LANGOSCO ,326,246,4,8,
LARDIRAGO ,927,688,7,34,
LINAROLO ,2005,1587,17,69,
LIRIO ,104,76,2,4,
LOMELLO ,1692,1315,27,61,
LUNGAVILLA ,1857,1455,22,54,
MAGHERNO ,1250,979,9,43,
MARCIGNAGO ,1770,1460,15,49,
MARZANO ,1051,827,10,36,
MEDE ,4983,3749,65,178,
MENCONICO ,331,211,7,10,
MEZZANA BIGLI ,862,668,12,33,
MEZZANA RABATTONE ,374,317,2,10,
MEZZANINO ,1120,885,18,42,
MIRADOLO TERME ,2596,1993,33,88,
MONTALTO PAVESE ,674,528,11,15,
MONTEBELLO DELLA BATTAGLIA ,1263,1016,12,38,
MONTECALVO VERSIGGIA ,390,299,6,11,
MONTESCANO ,354,354,11,22,
MONTESEGALE ,239,177,7,18,
MONTICELLI PAVESE ,495,367,9,10,
MONTU' BECCARIA ,1235,972,20,48,
MORNICO LOSANA ,512,375,5,12,
MORTARA ,10824,8018,97,334,
NICORVO ,273,179,4,8,
OLEVANO DI LOMELLINA ,552,441,14,21,
OLIVA GESSI ,144,115,4,5,
OTTOBIANO ,859,669,21,42,
PALESTRO ,1509,1105,27,49,
PANCARANA ,252,194,2,11,
PARONA ,1416,1064,19,50,
PAVIA ,52595,41806,397,1322,
PIETRA DE' GIORGI ,651,478,14,26,
PIEVE ALBIGNOLA ,693,523,11,28,
PIEVE DEL CAIRO ,1552,1120,24,59,
PIEVE PORTO MORONE ,1990,1563,28,61,
PINAROLO PO ,1315,1123,19,50,
PIZZALE ,578,464,8,21,
PONTE NIZZA ,656,485,11,24,
PORTALBERA ,1115,917,19,52,
REA ,351,267,9,17,
REDAVALLE ,796,620,11,27,
RETORBIDO ,1090,824,11,34,
RIVANAZZANO TERME ,3804,3023,46,108,
ROBBIO ,4684,3502,59,183,
ROBECCO PAVESE ,443,383,10,19,
ROCCA DE' GIORGI ,39,31,0,1,
ROCCA SUSELLA ,194,135,3,4,
ROGNANO ,440,367,3,7,
ROMAGNESE ,598,372,12,28,
RONCARO ,985,751,8,23,
ROSASCO ,524,376,10,22,
ROVESCALA ,660,510,11,18,
RUINO ,617,455,16,20,
SAN CIPRIANO PO ,320,250,8,20,
SAN DAMIANO AL COLLE ,542,403,7,14,
SAN GENESIO ED UNITI ,2895,2414,24,77,
SAN GIORGIO DI LOMELLINA ,872,662,15,37,
SAN MARTINO SICCOMARIO ,4382,3495,40,134,
SAN ZENONE AL PO ,403,303,7,17,
SANNAZZARO DE' BURGONDI ,4004,3011,40,123,
SANT'ALESSIO CON VIALONE ,661,535,4,12,
SANT'ANGELO LOMELLINA ,627,450,12,22,
SANTA CRISTINA E BISSONE ,1442,1107,17,45,
SANTA GIULETTA ,1207,918,19,39,
SANTA MARGHERITA DI STAFFORA ,436,297,15,17,
SANTA MARIA DELLA VERSA ,1766,1344,29,67,
SARTIRANA LOMELLINA ,1355,1027,19,60,
SCALDASOLE ,722,562,7,24,
SEMIANA ,185,139,2,4,
SILVANO PIETRA ,515,370,6,23,
SIZIANO ,4057,3341,17,102,
SOMMO ,849,700,12,32,
SPESSA ,434,340,3,18,
STRADELLA ,8427,6634,84,235,
SUARDI ,509,363,1,14,
TORRAZZA COSTE ,1280,1049,14,41,
TORRE BERETTI E CASTELLARO ,404,309,6,9,
TORRE D'ARESE ,643,504,4,18,
TORRE D'ISOLA ,1733,1489,12,46,
TORRE DE' NEGRI ,269,214,5,13,
TORREVECCHIA PIA ,2413,1871,13,46,
TORRICELLA VERZATE ,641,540,10,13,
TRAVACO' SICCOMARIO ,3309,2802,11,70,
TRIVOLZIO ,1523,1238,14,50,
TROMELLO ,2806,2109,35,112,
TROVO ,769,577,2,9,
VAL DI NIZZA ,536,404,13,26,
VALEGGIO ,191,139,4,10,
VALLE LOMELLINA ,1602,1123,14,51,
VALLE SALIMBENE ,1163,956,14,47,
VALVERDE ,262,184,8,11,
VARZI ,2588,1913,51,97,
VELEZZO LOMELLINA ,82,57,0,1,
VELLEZZO BELLINI ,2107,1700,12,43,
VERRETTO ,307,247,1,6,
VERRUA PO ,1005,768,15,33,
VIDIGULFO ,4277,3303,26,120,
VIGEVANO ,44131,33015,345,1207,
VILLA BISCOSSI ,60,53,3,4,
VILLANOVA D'ARDENGHI ,600,493,10,22,
VILLANTERIO ,2185,1688,34,85,
VISTARINO ,1047,794,6,34,
VOGHERA ,28848,22323,281,764,
VOLPARA ,110,85,0,1,
ZAVATTARELLO ,815,589,11,38,
ZECCONE ,1221,1009,12,41,
ZEME ,833,627,7,21,
ZENEVREDO ,361,296,8,17,
ZERBO ,357,290,7,19,
ZERBOLO' ,1265,998,12,30,
ZINASCO ,2434,1881,36,101,
