Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
AGUGLIANO ,3515,2894,17,56,
ANCONA ,71328,56743,347,926,
ARCEVIA ,3665,2791,49,105,
BARBARA ,1032,852,23,44,
BELVEDERE OSTRENSE ,1629,1301,26,57,
CAMERANO ,5262,4294,48,123,
CAMERATA PICENA ,1781,1473,14,37,
CASTEL COLONNA ,762,607,7,16,
CASTELBELLINO ,3384,2772,29,73,
CASTELFIDARDO ,13243,10386,112,294,
CASTELLEONE DI SUASA ,1224,1014,19,48,
CASTELPLANIO ,2449,1956,25,59,
CERRETO D'ESI ,2497,1912,21,64,
CHIARAVALLE ,10809,8696,74,181,
CORINALDO ,3848,3113,51,113,
CUPRAMONTANA ,3478,2720,42,102,
FABRIANO ,22256,17209,188,503,
FALCONARA MARITTIMA ,19690,15805,138,343,
FILOTTRANO ,6838,5455,90,214,
GENGA ,1429,1086,10,27,
JESI ,29000,23474,185,484,
LORETO ,9298,7504,83,218,
MAIOLATI SPONTINI ,4496,3715,50,103,
MERGO ,736,581,10,18,
MONSANO ,2463,2079,19,42,
MONTE ROBERTO ,2074,1714,15,50,
MONTE SAN VITO ,4959,4118,44,103,
MONTECAROTTO ,1501,1178,21,44,
MONTEMARCIANO ,7403,5952,50,126,
MONTERADO ,1528,1256,18,36,
MORRO D'ALBA ,1390,1123,20,46,
NUMANA ,2786,2259,16,39,
OFFAGNA ,1448,1227,18,39,
OSIMO ,24487,19878,202,541,
OSTRA ,4708,3650,77,155,
OSTRA VETERE ,2484,2021,42,87,
POGGIO SAN MARCELLO ,501,400,9,16,
POLVERIGI ,3233,2727,22,73,
RIPE ,3023,2399,38,72,
ROSORA ,1409,1088,17,37,
SAN MARCELLO ,1548,1276,25,43,
SAN PAOLO DI JESI ,633,535,14,27,
SANTA MARIA NUOVA ,2959,2400,39,89,
SASSOFERRATO ,5330,4040,59,175,
SENIGALLIA ,33221,26565,232,598,
SERRA DE' CONTI ,2586,2148,29,69,
SERRA SAN QUIRICO ,2102,1643,28,71,
SIROLO ,2973,2436,19,64,
STAFFOLO ,1601,1219,35,79,
