Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUASANTA TERME ,2354,1746,39,75,
ACQUAVIVA PICENA ,2844,2172,27,71,
APPIGNANO DEL TRONTO ,1409,1069,17,49,
ARQUATA DEL TRONTO ,1039,678,10,27,
ASCOLI PICENO ,38836,29335,267,837,
CARASSAI ,830,624,8,21,
CASTEL DI LAMA ,6022,4924,69,162,
CASTIGNANO ,2162,1654,44,96,
CASTORANO ,1695,1375,13,35,
COLLI DEL TRONTO ,2580,2072,21,61,
COMUNANZA ,2217,1750,46,85,
COSSIGNANO ,750,579,17,25,
CUPRA MARITTIMA ,3893,3003,38,107,
FOLIGNANO ,6655,5374,71,185,
FORCE ,1073,774,18,45,
GROTTAMMARE ,11310,8914,65,219,
MALTIGNANO ,1782,1440,15,43,
MASSIGNANO ,1178,902,15,35,
MONSAMPOLO DEL TRONTO ,3142,2456,20,72,
MONTALTO DELLE MARCHE ,1710,1340,29,52,
MONTEDINOVE ,411,313,12,15,
MONTEFIORE DELL'ASO ,1592,1221,17,34,
MONTEGALLO ,461,299,4,9,
MONTEMONACO ,502,334,6,18,
MONTEPRANDONE ,8641,6933,75,186,
OFFIDA ,3871,3094,28,93,
PALMIANO ,153,104,2,3,
RIPATRANSONE ,3238,2453,44,128,
ROCCAFLUVIONE ,1596,1211,23,56,
ROTELLA ,698,554,10,21,
SAN BENEDETTO DEL TRONTO ,35004,27065,230,604,
SPINETOLI ,4926,3972,61,155,
VENAROTTA ,1622,1234,28,58,
