Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUAVIVA COLLECROCE ,531,401,17,30,
BARANELLO ,2039,1574,131,231,
BOJANO ,5886,4735,207,369,
BONEFRO ,1178,860,44,88,
BUSSO ,1080,811,69,102,
CAMPOBASSO ,37868,30132,831,1760,
CAMPOCHIARO ,471,340,33,43,
CAMPODIPIETRA ,1811,1481,69,129,
CAMPOLIETO ,716,516,27,55,
CAMPOMARINO ,5545,4341,151,320,
CASACALENDA ,1704,1275,82,163,
CASALCIPRANO ,471,310,37,51,
CASTELBOTTACCIO ,285,188,10,16,
CASTELLINO DEL BIFERNO ,443,326,29,36,
CASTELMAURO ,1302,884,93,134,
CASTROPIGNANO ,782,594,38,74,
CERCEMAGGIORE ,2994,2292,235,336,
CERCEPICCOLA ,523,399,35,54,
CIVITACAMPOMARANO ,359,242,20,32,
COLLE D'ANCHISE ,638,490,42,54,
COLLETORTO ,1660,1289,49,109,
DURONIA ,368,248,19,29,
FERRAZZANO ,2420,1953,46,102,
FOSSALTO ,1105,777,53,89,
GAMBATESA ,1212,895,70,106,
GILDONE ,638,476,35,54,
GUARDIALFIERA ,826,642,47,72,
GUARDIAREGIA ,642,468,32,43,
GUGLIONESI ,3909,3140,107,226,
JELSI ,1370,1073,56,91,
LARINO ,5151,4162,145,350,
LIMOSANO ,639,493,44,54,
LUCITO ,600,398,41,52,
LUPARA ,437,328,32,46,
MACCHIA VALFORTORE ,509,370,28,39,
MAFALDA ,925,706,42,73,
MATRICE ,821,620,56,95,
MIRABELLO SANNITICO ,1591,1249,41,79,
MOLISE ,145,94,5,7,
MONACILIONI ,467,325,31,44,
MONTAGANO ,907,706,13,29,
MONTECILFONE ,1101,841,42,68,
MONTEFALCONE NEL SANNIO ,1171,1013,53,87,
MONTELONGO ,297,244,27,43,
MONTEMITRO ,320,253,9,15,
MONTENERO DI BISACCIA ,4904,3906,183,335,
MONTORIO NEI FRENTANI ,354,273,17,32,
MORRONE DEL SANNIO ,517,394,54,78,
ORATINO ,1200,992,37,66,
PALATA ,1385,1095,45,87,
PETACCIATO ,2671,2019,72,140,
PETRELLA TIFERNINA ,964,735,50,66,
PIETRACATELLA ,1077,855,76,115,
PIETRACUPA ,191,151,8,13,
PORTOCANNONE ,1845,1487,77,133,
PROVVIDENTI ,102,70,6,8,
RICCIA ,4078,3169,281,466,
RIPABOTTONI ,419,312,30,46,
RIPALIMOSANI ,2288,1855,71,135,
ROCCAVIVARA ,631,510,50,79,
ROTELLO ,920,752,37,59,
SALCITO ,561,409,19,49,
SAN BIASE ,181,127,16,25,
SAN FELICE DEL MOLISE ,537,410,27,36,
SAN GIACOMO DEGLI SCHIAVONI ,1026,804,14,39,
SAN GIOVANNI IN GALDO ,494,336,19,32,
SAN GIULIANO DEL SANNIO ,791,593,49,71,
SAN GIULIANO DI PUGLIA ,814,641,25,58,
SAN MARTINO IN PENSILIS ,3458,2978,154,238,
SAN MASSIMO ,693,554,45,62,
SAN POLO MATESE ,350,281,14,25,
SANT'ANGELO LIMOSANO ,293,241,23,30,
SANT'ELIA A PIANISI ,1511,1114,88,153,
SANTA CROCE DI MAGLIANO ,3446,2642,128,276,
SEPINO ,1557,980,70,117,
SPINETE ,1043,757,86,113,
TAVENNA ,672,488,37,67,
TERMOLI ,24347,19413,424,954,
TORELLA DEL SANNIO ,653,512,32,56,
TORO ,1155,849,50,76,
TRIVENTO ,3639,2753,185,304,
TUFARA ,764,626,64,95,
URURI ,2069,1691,78,126,
VINCHIATURO ,2426,1939,84,150,
