Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACCEGLIO ,138,90,3,7,
AISONE ,212,161,7,9,
ALBA ,21925,17201,139,575,
ALBARETTO DELLA TORRE ,178,147,2,11,
ALTO ,89,68,0,3,
ARGENTERA ,71,53,1,1,
ARGUELLO ,152,125,0,10,
BAGNASCO ,719,545,8,37,
BAGNOLO PIEMONTE ,4132,3116,45,175,
BALDISSERO D'ALBA ,773,623,16,32,
BARBARESCO ,459,367,10,16,
BARGE ,5153,3992,44,224,
BAROLO ,506,421,5,15,
BASTIA MONDOVI' ,422,335,6,13,
BATTIFOLLO ,198,138,1,4,
BEINETTE ,2286,1779,25,81,
BELLINO ,109,55,0,7,
BELVEDERE LANGHE ,251,194,3,17,
BENE VAGIENNA ,2496,1889,29,113,
BENEVELLO ,349,239,1,8,
BERGOLO ,51,32,1,3,
BERNEZZO ,2668,2192,21,108,
BONVICINO ,81,59,3,5,
BORGO SAN DALMAZZO ,8958,6988,66,278,
BORGOMALE ,294,211,5,9,
BOSIA ,137,86,2,7,
BOSSOLASCO ,501,370,3,18,
BOVES ,6894,5454,62,244,
BRA ,20254,15623,143,615,
BRIAGLIA ,235,181,0,8,
BRIGA ALTA ,43,22,0,1,
BRONDELLO ,214,157,5,13,
BROSSASCO ,848,655,6,33,
BUSCA ,7148,5694,64,277,
CAMERANA ,516,380,6,26,
CAMO ,157,115,2,4,
CANALE ,3691,2969,29,123,
CANOSIO ,66,48,2,5,
CAPRAUNA ,99,68,0,1,
CARAGLIO ,4730,3751,36,189,
CARAMAGNA PIEMONTE ,2134,1711,16,96,
CARDE' ,853,717,6,38,
CARRU' ,3170,2396,28,138,
CARTIGNANO ,136,103,0,3,
CASALGRASSO ,1067,852,10,37,
CASTAGNITO ,1324,1101,6,42,
CASTELDELFINO ,141,82,1,6,
CASTELLAR ,222,185,2,10,
CASTELLETTO STURA ,925,744,9,36,
CASTELLETTO UZZONE ,271,203,6,16,
CASTELLINALDO ,644,513,11,33,
CASTELLINO TANARO ,250,182,2,17,
CASTELMAGNO ,69,50,0,3,
CASTELNUOVO DI CEVA ,90,69,0,3,
CASTIGLIONE FALLETTO ,494,429,2,10,
CASTIGLIONE TINELLA ,646,486,12,23,
CASTINO ,355,242,13,27,
CAVALLERLEONE ,440,369,8,23,
CAVALLERMAGGIORE ,3677,3000,30,145,
CELLE DI MACRA ,85,53,0,2,
CENTALLO ,4592,3841,54,228,
CERESOLE ALBA ,1516,1275,16,53,
CERRETTO LANGHE ,324,232,1,16,
CERVASCA ,3536,2861,24,126,
CERVERE ,1490,1260,14,41,
CEVA ,3914,2875,40,157,
CHERASCO ,6098,4806,35,190,
CHIUSA DI PESIO ,2653,2036,28,104,
CIGLIE' ,151,106,1,8,
CISSONE ,57,43,0,0,
CLAVESANA ,652,479,7,31,
CORNELIANO D'ALBA ,1463,1144,13,52,
CORTEMILIA ,1738,1248,19,60,
COSSANO BELBO ,736,549,12,41,
COSTIGLIOLE SALUZZO ,2222,1765,27,92,
CRAVANZANA ,296,206,2,8,
CRISSOLO ,145,90,1,1,
CUNEO ,39409,31044,211,916,
