Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ARBUS ,5186,3350,47,128,
BARUMINI ,1019,706,16,31,
COLLINAS ,711,458,3,15,
FURTEI ,1297,959,20,37,
GENURI ,291,173,3,11,
GESTURI ,1025,647,12,28,
GONNOSFANADIGA ,5308,3543,34,148,
GUSPINI ,9488,6780,70,198,
LAS PLASSAS ,199,135,3,4,
LUNAMATRONA ,1428,1013,12,45,
PABILLONIS ,2194,1421,14,56,
PAULI ARBAREI ,507,311,7,10,
SAMASSI ,4135,2962,28,79,
SAN GAVINO MONREALE ,7060,5072,46,142,
SANLURI ,6542,4859,48,120,
SARDARA ,3271,2207,22,68,
SEGARIU ,958,660,6,26,
SERRAMANNA ,7168,5124,46,155,
SERRENTI ,3960,2804,34,98,
SETZU ,122,90,2,3,
SIDDI ,562,378,9,16,
TUILI ,881,581,12,27,
TURRI ,373,242,5,13,
USSARAMANNA ,458,336,5,14,
VILLACIDRO ,11001,8079,84,220,
VILLAMAR ,2117,1354,16,37,
VILLANOVAFORRU ,529,359,13,31,
VILLANOVAFRANCA ,1119,680,7,22,
