Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
BAGNO A RIPOLI ,19022,16099,97,365,
BARBERINO DI MUGELLO ,7671,6107,48,169,
BARBERINO VAL D'ELSA ,3082,2598,27,64,
BORGO SAN LORENZO ,12752,10553,81,312,
CALENZANO ,12645,10551,56,238,
CAMPI BISENZIO ,29051,23214,203,706,
CAPRAIA E LIMITE ,5405,4512,39,125,
CASTELFIORENTINO ,12293,10142,71,264,
CERRETO GUIDI ,7533,6307,64,158,
CERTALDO ,11501,9561,94,249,
DICOMANO ,4005,3251,33,89,
EMPOLI ,32769,27227,210,613,
FIESOLE ,10331,8671,56,204,
FIGLINE VALDARNO ,12147,9954,96,320,
FIRENZE ,259516,207580,1164,4444,
FIRENZUOLA ,3541,2533,46,128,
FUCECCHIO ,15492,12437,103,350,
GAMBASSI TERME ,3617,3010,21,76,
GREVE IN CHIANTI ,9505,7757,75,230,
IMPRUNETA ,10540,8893,51,196,
INCISA IN VAL D'ARNO ,4523,3738,31,111,
LASTRA A SIGNA ,13788,11230,94,328,
LONDA ,1325,1058,6,31,
MARRADI ,2515,1967,26,77,
MONTAIONE ,2740,2217,21,69,
MONTELUPO FIORENTINO ,9978,8453,76,269,
MONTESPERTOLI ,9534,7838,53,184,
PALAZZUOLO SUL SENIO ,952,698,13,37,
PELAGO ,5684,4771,31,124,
PONTASSIEVE ,15226,12928,77,342,
REGGELLO ,12075,10084,91,300,
RIGNANO SULL'ARNO ,6225,5183,75,129,
RUFINA ,5475,4519,60,131,
SAN CASCIANO IN VAL DI PESA ,12296,10200,86,315,
SAN GODENZO ,914,723,11,21,
SAN PIERO A SIEVE ,3002,2440,14,70,
SCANDICCI ,36298,30001,174,674,
SCARPERIA ,5492,4539,39,123,
SESTO FIORENTINO ,35114,29477,183,619,
SIGNA ,12535,9993,98,339,
TAVARNELLE VAL DI PESA ,5515,4486,42,129,
VAGLIA ,3835,3092,6,44,
VICCHIO ,5970,4893,45,151,
VINCI ,10265,8595,83,245,
