Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ABETONE ,516,346,3,18,
AGLIANA ,12428,10190,98,394,
BUGGIANO ,6414,5125,54,202,
CHIESINA UZZANESE ,3212,2556,23,90,
CUTIGLIANO ,1248,823,9,43,
LAMPORECCHIO ,5482,4433,35,156,
LARCIANO ,4691,3897,47,177,
MARLIANA ,2517,1699,21,78,
MASSA E COZZILE ,5687,4578,43,159,
MONSUMMANO TERME ,15479,12170,140,456,
MONTALE ,7995,6510,57,227,
MONTECATINI-TERME ,13757,10399,75,263,
PESCIA ,13968,10554,108,402,
PIEVE A NIEVOLE ,6794,5360,68,209,
PISTOIA ,66768,51709,394,1523,
PITEGLIO ,1411,965,7,40,
PONTE BUGGIANESE ,6403,5052,47,194,
QUARRATA ,17959,14291,147,557,
SAMBUCA PISTOIESE ,1265,782,6,28,
SAN MARCELLO PISTOIESE ,5342,3818,41,125,
SERRAVALLE PISTOIESE ,8466,6823,70,258,
UZZANO ,4015,3153,29,98,
