Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ACQUASPARTA ,3400,2609,38,115,
ALLERONA ,1401,1116,10,36,
ALVIANO ,1127,886,13,49,
AMELIA ,8908,7001,85,291,
ARRONE ,2055,1576,11,70,
ATTIGLIANO ,1337,1097,16,49,
AVIGLIANO UMBRO ,1867,1462,28,86,
BASCHI ,2096,1642,13,54,
CALVI DELL'UMBRIA ,1418,1047,13,56,
CASTEL GIORGIO ,1705,1274,19,58,
CASTEL VISCARDO ,2267,1766,28,70,
FABRO ,2092,1597,9,50,
FERENTILLO ,1433,1068,13,52,
FICULLE ,1232,961,7,24,
GIOVE ,1430,1142,15,38,
GUARDEA ,1404,1052,12,47,
LUGNANO IN TEVERINA ,1201,929,11,45,
MONTECASTRILLI ,3692,2921,44,127,
MONTECCHIO ,1285,963,15,41,
MONTEFRANCO ,948,742,9,34,
MONTEGABBIONE ,857,661,8,21,
MONTELEONE D'ORVIETO ,1140,895,5,31,
NARNI ,14939,11741,112,391,
ORVIETO ,15335,12309,107,380,
OTRICOLI ,1413,1070,11,42,
PARRANO ,428,311,6,15,
PENNA IN TEVERINA ,805,631,15,33,
POLINO ,193,141,1,5,
PORANO ,1483,1217,8,41,
SAN GEMINI ,3781,2969,30,106,
SAN VENANZO ,1689,1395,27,63,
STRONCONE ,3622,2749,49,118,
TERNI ,80667,61843,388,1736,
