Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,
ABANO TERME ,14239,11908,92,278,
AGNA ,2484,2017,37,90,
ALBIGNASEGO ,17788,15384,92,359,
ANGUILLARA VENETA ,3456,2744,26,97,
ARQUA' PETRARCA ,1449,1221,8,35,
ARRE ,1642,1391,25,52,
ARZERGRANDE ,3515,3035,31,107,
BAGNOLI DI SOPRA ,2657,2168,41,94,
BAONE ,2437,2086,28,61,
BARBONA ,530,404,6,19,
BATTAGLIA TERME ,2855,2410,18,68,
BOARA PISANI ,2016,1657,26,69,
BORGORICCO ,5678,4803,28,157,
BOVOLENTA ,2515,2119,15,44,
BRUGINE ,5002,4243,29,154,
CADONEGHE ,10938,9398,53,246,
CAMPO SAN MARTINO ,3995,3456,19,120,
CAMPODARSEGO ,9961,8564,66,309,
CAMPODORO ,1840,1586,5,45,
CAMPOSAMPIERO ,7688,6606,66,231,
CANDIANA ,1811,1466,21,54,
CARCERI ,1195,990,16,40,
CARMIGNANO DI BRENTA ,5249,4435,46,151,
CARTURA ,3429,2858,37,105,
CASALE DI SCODOSIA ,3448,2846,44,115,
CASALSERUGO ,4060,3511,37,126,
CASTELBALDO ,1182,964,14,34,
CERVARESE SANTA CROCE ,4074,3501,22,109,
CINTO EUGANEO ,1535,1212,12,42,
CITTADELLA ,14136,12232,103,405,
CODEVIGO ,4676,3889,47,136,
CONSELVE ,7258,5966,66,207,
CORREZZOLA ,4030,3382,37,135,
CURTAROLO ,4991,4252,38,147,
DUE CARRARE ,6493,5541,46,144,
ESTE ,12269,10220,81,311,
FONTANIVA ,5538,4741,49,168,
GALLIERA VENETA ,4818,4118,25,134,
GALZIGNANO TERME ,3342,2765,25,98,
GAZZO ,2895,2411,27,80,
GRANTORTO ,3079,2587,31,101,
GRANZE ,1456,1177,19,53,
LEGNARO ,6201,5362,49,171,
LIMENA ,5384,4660,17,113,
LOREGGIA ,4632,4005,33,148,
LOZZO ATESTINO ,2429,2036,38,82,
MASERA' DI PADOVA ,6456,5504,42,162,
MASI ,1326,1051,13,44,
MASSANZAGO ,3822,3237,24,98,
MEGLIADINO SAN FIDENZIO ,1421,1169,20,55,
MEGLIADINO SAN VITALE ,1426,1191,17,49,
MERLARA ,2142,1737,23,64,
MESTRINO ,7337,6289,48,168,
MONSELICE ,13007,10884,115,329,
MONTAGNANA ,6898,5644,71,191,
MONTEGROTTO TERME ,8183,6798,63,202,
NOVENTA PADOVANA ,7697,6513,34,126,
OSPEDALETTO EUGANEO ,4184,3518,29,111,
PADOVA ,145281,120193,629,2301,
PERNUMIA ,2883,2440,27,77,
PIACENZA D'ADIGE ,995,804,16,42,
PIAZZOLA SUL BRENTA ,7942,6761,54,218,
PIOMBINO DESE ,6145,5235,50,164,
PIOVE DI SACCO ,13700,11410,100,336,
POLVERARA ,2346,2070,32,92,
PONSO ,1813,1566,33,72,
PONTE SAN NICOLO' ,9626,8452,44,199,
PONTELONGO ,2704,2205,21,64,
POZZONOVO ,2697,2247,26,87,
ROVOLON ,3353,2839,29,91,
RUBANO ,11181,9281,50,205,
SACCOLONGO ,3627,3093,25,91,
SALETTO ,1993,1679,17,53,
SAN GIORGIO DELLE PERTICHE ,6639,5731,49,187,
SAN GIORGIO IN BOSCO ,4290,3727,37,130,
SAN MARTINO DI LUPARI ,8897,7593,45,241,
SAN PIETRO IN GU ,3115,2645,21,95,
SAN PIETRO VIMINARIO ,2234,1874,29,74,
SANT'ANGELO DI PIOVE DI SACCO ,5199,4472,40,141,
SANT'ELENA ,1763,1482,19,46,
SANT'URBANO ,1671,1340,18,51,
SANTA GIUSTINA IN COLLE ,4871,4174,34,137,
SANTA MARGHERITA D'ADIGE ,1716,1403,26,69,
SAONARA ,7025,6065,42,158,
SELVAZZANO DENTRO ,15869,13495,79,294,
SOLESINO ,5300,4339,53,160,
STANGHELLA ,3206,2644,23,80,
TEOLO ,6564,5635,48,182,
TERRASSA PADOVANA ,1918,1668,15,66,
TOMBOLO ,5486,4575,31,147,
TORREGLIA ,4602,3859,21,94,
TREBASELEGHE ,8458,7211,71,261,
TRIBANO ,3156,2671,44,92,
URBANA ,1659,1420,31,61,
VEGGIANO ,3062,2618,19,80,
VESCOVANA ,1356,1131,19,43,
VIGHIZZOLO D'ESTE ,723,591,14,33,
VIGODARZERE ,9175,7809,48,195,
VIGONZA ,15770,13471,98,360,
VILLA DEL CONTE ,3752,3268,15,82,
VILLA ESTENSE ,1737,1430,19,55,
VILLAFRANCA PADOVANA ,6966,5947,40,189,
VILLANOVA DI CAMPOSAMPIERO ,4133,3616,26,119,
VO' ,2580,2130,22,70,
